State,Measure ID,Measure Name,Score,Footnote,Measure Start Date,Measure End Date
GU,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,0.0,,07/01/2013,06/30/2014
GU,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.0,,07/01/2013,06/30/2014
GU,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
GU,OP_9,Mammography Follow-up Rates,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
HI,OP_10,Abdomen CT Use of Contrast Material,8.6,,07/01/2013,06/30/2014
HI,OP_11,Thorax CT Use of Contrast Material,0.4,,07/01/2013,06/30/2014
HI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.8,,07/01/2013,06/30/2014
HI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.5,,07/01/2013,06/30/2014
HI,OP_8,MRI Lumbar Spine for Low Back Pain,43.9,,07/01/2013,06/30/2014
HI,OP_9,Mammography Follow-up Rates,9.5,,07/01/2013,06/30/2014
IA,OP_10,Abdomen CT Use of Contrast Material,10.4,,07/01/2013,06/30/2014
IA,OP_11,Thorax CT Use of Contrast Material,2.9,,07/01/2013,06/30/2014
IA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.8,,07/01/2013,06/30/2014
IA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2013,06/30/2014
IA,OP_8,MRI Lumbar Spine for Low Back Pain,41.7,,07/01/2013,06/30/2014
IA,OP_9,Mammography Follow-up Rates,7.9,,07/01/2013,06/30/2014
ID,OP_10,Abdomen CT Use of Contrast Material,6.9,,07/01/2013,06/30/2014
ID,OP_11,Thorax CT Use of Contrast Material,1.9,,07/01/2013,06/30/2014
ID,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.3,,07/01/2013,06/30/2014
ID,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.9,,07/01/2013,06/30/2014
ID,OP_8,MRI Lumbar Spine for Low Back Pain,51.5,,07/01/2013,06/30/2014
ID,OP_9,Mammography Follow-up Rates,8.4,,07/01/2013,06/30/2014
IL,OP_10,Abdomen CT Use of Contrast Material,8.9,,07/01/2013,06/30/2014
IL,OP_11,Thorax CT Use of Contrast Material,2.3,,07/01/2013,06/30/2014
IL,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.1,,07/01/2013,06/30/2014
IL,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.6,,07/01/2013,06/30/2014
IL,OP_8,MRI Lumbar Spine for Low Back Pain,44.2,,07/01/2013,06/30/2014
IL,OP_9,Mammography Follow-up Rates,8.6,,07/01/2013,06/30/2014
IN,OP_10,Abdomen CT Use of Contrast Material,8.7,,07/01/2013,06/30/2014
IN,OP_11,Thorax CT Use of Contrast Material,4.1,,07/01/2013,06/30/2014
IN,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.1,,07/01/2013,06/30/2014
IN,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.7,,07/01/2013,06/30/2014
IN,OP_8,MRI Lumbar Spine for Low Back Pain,45.9,,07/01/2013,06/30/2014
IN,OP_9,Mammography Follow-up Rates,8.3,,07/01/2013,06/30/2014
KS,OP_10,Abdomen CT Use of Contrast Material,17.0,,07/01/2013,06/30/2014
KS,OP_11,Thorax CT Use of Contrast Material,3.8,,07/01/2013,06/30/2014
KS,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.7,,07/01/2013,06/30/2014
KS,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.1,,07/01/2013,06/30/2014
KS,OP_8,MRI Lumbar Spine for Low Back Pain,49.4,,07/01/2013,06/30/2014
KS,OP_9,Mammography Follow-up Rates,8.1,,07/01/2013,06/30/2014
KY,OP_10,Abdomen CT Use of Contrast Material,9.6,,07/01/2013,06/30/2014
KY,OP_11,Thorax CT Use of Contrast Material,4.0,,07/01/2013,06/30/2014
KY,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.0,,07/01/2013,06/30/2014
KY,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.1,,07/01/2013,06/30/2014
KY,OP_8,MRI Lumbar Spine for Low Back Pain,47.3,,07/01/2013,06/30/2014
KY,OP_9,Mammography Follow-up Rates,8.1,,07/01/2013,06/30/2014
LA,OP_10,Abdomen CT Use of Contrast Material,23.2,,07/01/2013,06/30/2014
LA,OP_11,Thorax CT Use of Contrast Material,6.5,,07/01/2013,06/30/2014
LA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.6,,07/01/2013,06/30/2014
LA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.8,,07/01/2013,06/30/2014
LA,OP_8,MRI Lumbar Spine for Low Back Pain,48.1,,07/01/2013,06/30/2014
LA,OP_9,Mammography Follow-up Rates,9.1,,07/01/2013,06/30/2014
MA,OP_10,Abdomen CT Use of Contrast Material,5.9,,07/01/2013,06/30/2014
MA,OP_11,Thorax CT Use of Contrast Material,0.3,,07/01/2013,06/30/2014
MA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.2,,07/01/2013,06/30/2014
MA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.4,,07/01/2013,06/30/2014
MA,OP_8,MRI Lumbar Spine for Low Back Pain,40.2,,07/01/2013,06/30/2014
MA,OP_9,Mammography Follow-up Rates,8.8,,07/01/2013,06/30/2014
MD,OP_10,Abdomen CT Use of Contrast Material,4.3,,07/01/2013,06/30/2014
MD,OP_11,Thorax CT Use of Contrast Material,1.0,,07/01/2013,06/30/2014
MD,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.8,,07/01/2013,06/30/2014
MD,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,4.5,,07/01/2013,06/30/2014
MD,OP_8,MRI Lumbar Spine for Low Back Pain,46.2,,07/01/2013,06/30/2014
MD,OP_9,Mammography Follow-up Rates,10.0,,07/01/2013,06/30/2014
ME,OP_10,Abdomen CT Use of Contrast Material,4.2,,07/01/2013,06/30/2014
ME,OP_11,Thorax CT Use of Contrast Material,0.5,,07/01/2013,06/30/2014
ME,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.6,,07/01/2013,06/30/2014
ME,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.6,,07/01/2013,06/30/2014
ME,OP_8,MRI Lumbar Spine for Low Back Pain,52.7,,07/01/2013,06/30/2014
ME,OP_9,Mammography Follow-up Rates,7.9,,07/01/2013,06/30/2014
MI,OP_10,Abdomen CT Use of Contrast Material,8.1,,07/01/2013,06/30/2014
MI,OP_11,Thorax CT Use of Contrast Material,3.4,,07/01/2013,06/30/2014
MI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2013,06/30/2014
MI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.3,,07/01/2013,06/30/2014
MI,OP_8,MRI Lumbar Spine for Low Back Pain,46.1,,07/01/2013,06/30/2014
MI,OP_9,Mammography Follow-up Rates,8.1,,07/01/2013,06/30/2014
MN,OP_10,Abdomen CT Use of Contrast Material,4.9,,07/01/2013,06/30/2014
MN,OP_11,Thorax CT Use of Contrast Material,0.9,,07/01/2013,06/30/2014
MN,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.3,,07/01/2013,06/30/2014
MN,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.4,,07/01/2013,06/30/2014
MN,OP_8,MRI Lumbar Spine for Low Back Pain,48.5,,07/01/2013,06/30/2014
MN,OP_9,Mammography Follow-up Rates,6.3,,07/01/2013,06/30/2014
MO,OP_10,Abdomen CT Use of Contrast Material,9.1,,07/01/2013,06/30/2014
MO,OP_11,Thorax CT Use of Contrast Material,1.6,,07/01/2013,06/30/2014
MO,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.4,,07/01/2013,06/30/2014
MO,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.3,,07/01/2013,06/30/2014
MO,OP_8,MRI Lumbar Spine for Low Back Pain,49.5,,07/01/2013,06/30/2014
MO,OP_9,Mammography Follow-up Rates,8.0,,07/01/2013,06/30/2014
MP,OP_10,Abdomen CT Use of Contrast Material,84.2,,07/01/2013,06/30/2014
MP,OP_11,Thorax CT Use of Contrast Material,59.3,,07/01/2013,06/30/2014
MP,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
MP,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,7.5,,07/01/2013,06/30/2014
MP,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
MP,OP_9,Mammography Follow-up Rates,0.0,,07/01/2013,06/30/2014
MS,OP_10,Abdomen CT Use of Contrast Material,12.1,,07/01/2013,06/30/2014
MS,OP_11,Thorax CT Use of Contrast Material,4.9,,07/01/2013,06/30/2014
MS,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.3,,07/01/2013,06/30/2014
MS,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.4,,07/01/2013,06/30/2014
MS,OP_8,MRI Lumbar Spine for Low Back Pain,49.4,,07/01/2013,06/30/2014
MS,OP_9,Mammography Follow-up Rates,8.8,,07/01/2013,06/30/2014
MT,OP_10,Abdomen CT Use of Contrast Material,9.7,,07/01/2013,06/30/2014
MT,OP_11,Thorax CT Use of Contrast Material,2.2,,07/01/2013,06/30/2014
MT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.6,,07/01/2013,06/30/2014
MT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.7,,07/01/2013,06/30/2014
MT,OP_8,MRI Lumbar Spine for Low Back Pain,51.5,,07/01/2013,06/30/2014
MT,OP_9,Mammography Follow-up Rates,7.0,,07/01/2013,06/30/2014
NC,OP_10,Abdomen CT Use of Contrast Material,5.4,,07/01/2013,06/30/2014
NC,OP_11,Thorax CT Use of Contrast Material,1.4,,07/01/2013,06/30/2014
NC,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.8,,07/01/2013,06/30/2014
NC,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.5,,07/01/2013,06/30/2014
NC,OP_8,MRI Lumbar Spine for Low Back Pain,39.6,,07/01/2013,06/30/2014
NC,OP_9,Mammography Follow-up Rates,7.9,,07/01/2013,06/30/2014
ND,OP_10,Abdomen CT Use of Contrast Material,10.4,,07/01/2013,06/30/2014
ND,OP_11,Thorax CT Use of Contrast Material,1.7,,07/01/2013,06/30/2014
ND,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.1,,07/01/2013,06/30/2014
ND,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2013,06/30/2014
ND,OP_8,MRI Lumbar Spine for Low Back Pain,42.9,,07/01/2013,06/30/2014
ND,OP_9,Mammography Follow-up Rates,7.1,,07/01/2013,06/30/2014
NE,OP_10,Abdomen CT Use of Contrast Material,7.7,,07/01/2013,06/30/2014
NE,OP_11,Thorax CT Use of Contrast Material,1.3,,07/01/2013,06/30/2014
NE,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.3,,07/01/2013,06/30/2014
NE,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.5,,07/01/2013,06/30/2014
NE,OP_8,MRI Lumbar Spine for Low Back Pain,45.3,,07/01/2013,06/30/2014
NE,OP_9,Mammography Follow-up Rates,8.1,,07/01/2013,06/30/2014
NH,OP_10,Abdomen CT Use of Contrast Material,4.6,,07/01/2013,06/30/2014
NH,OP_11,Thorax CT Use of Contrast Material,0.5,,07/01/2013,06/30/2014
NH,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.2,,07/01/2013,06/30/2014
NH,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.3,,07/01/2013,06/30/2014
NH,OP_8,MRI Lumbar Spine for Low Back Pain,44.8,,07/01/2013,06/30/2014
NH,OP_9,Mammography Follow-up Rates,8.1,,07/01/2013,06/30/2014
NJ,OP_10,Abdomen CT Use of Contrast Material,6.3,,07/01/2013,06/30/2014
NJ,OP_11,Thorax CT Use of Contrast Material,2.0,,07/01/2013,06/30/2014
NJ,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.6,,07/01/2013,06/30/2014
NJ,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.1,,07/01/2013,06/30/2014
NJ,OP_8,MRI Lumbar Spine for Low Back Pain,39.5,,07/01/2013,06/30/2014
NJ,OP_9,Mammography Follow-up Rates,13.2,,07/01/2013,06/30/2014
NM,OP_10,Abdomen CT Use of Contrast Material,9.4,,07/01/2013,06/30/2014
NM,OP_11,Thorax CT Use of Contrast Material,6.1,,07/01/2013,06/30/2014
NM,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.9,,07/01/2013,06/30/2014
NM,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.8,,07/01/2013,06/30/2014
NM,OP_8,MRI Lumbar Spine for Low Back Pain,48.7,,07/01/2013,06/30/2014
NM,OP_9,Mammography Follow-up Rates,9.1,,07/01/2013,06/30/2014
NV,OP_10,Abdomen CT Use of Contrast Material,6.1,,07/01/2013,06/30/2014
NV,OP_11,Thorax CT Use of Contrast Material,3.6,,07/01/2013,06/30/2014
NV,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.8,,07/01/2013,06/30/2014
NV,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.8,,07/01/2013,06/30/2014
NV,OP_8,MRI Lumbar Spine for Low Back Pain,44.5,,07/01/2013,06/30/2014
NV,OP_9,Mammography Follow-up Rates,7.6,,07/01/2013,06/30/2014
NY,OP_10,Abdomen CT Use of Contrast Material,6.8,,07/01/2013,06/30/2014
NY,OP_11,Thorax CT Use of Contrast Material,1.0,,07/01/2013,06/30/2014
NY,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.7,,07/01/2013,06/30/2014
NY,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.8,,07/01/2013,06/30/2014
NY,OP_8,MRI Lumbar Spine for Low Back Pain,41.3,,07/01/2013,06/30/2014
NY,OP_9,Mammography Follow-up Rates,14.5,,07/01/2013,06/30/2014
OH,OP_10,Abdomen CT Use of Contrast Material,6.0,,07/01/2013,06/30/2014
OH,OP_11,Thorax CT Use of Contrast Material,1.5,,07/01/2013,06/30/2014
OH,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.2,,07/01/2013,06/30/2014
OH,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.7,,07/01/2013,06/30/2014
OH,OP_8,MRI Lumbar Spine for Low Back Pain,42.6,,07/01/2013,06/30/2014
OH,OP_9,Mammography Follow-up Rates,8.7,,07/01/2013,06/30/2014
OK,OP_10,Abdomen CT Use of Contrast Material,19.0,,07/01/2013,06/30/2014
OK,OP_11,Thorax CT Use of Contrast Material,5.2,,07/01/2013,06/30/2014
OK,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2013,06/30/2014
OK,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2013,06/30/2014
OK,OP_8,MRI Lumbar Spine for Low Back Pain,44.5,,07/01/2013,06/30/2014
OK,OP_9,Mammography Follow-up Rates,8.4,,07/01/2013,06/30/2014
OR,OP_10,Abdomen CT Use of Contrast Material,6.0,,07/01/2013,06/30/2014
OR,OP_11,Thorax CT Use of Contrast Material,0.7,,07/01/2013,06/30/2014
OR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2013,06/30/2014
OR,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2013,06/30/2014
OR,OP_8,MRI Lumbar Spine for Low Back Pain,52.2,,07/01/2013,06/30/2014
OR,OP_9,Mammography Follow-up Rates,8.9,,07/01/2013,06/30/2014
PA,OP_10,Abdomen CT Use of Contrast Material,10.8,,07/01/2013,06/30/2014
PA,OP_11,Thorax CT Use of Contrast Material,1.9,,07/01/2013,06/30/2014
PA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.3,,07/01/2013,06/30/2014
PA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.1,,07/01/2013,06/30/2014
PA,OP_8,MRI Lumbar Spine for Low Back Pain,40.9,,07/01/2013,06/30/2014
PA,OP_9,Mammography Follow-up Rates,8.8,,07/01/2013,06/30/2014
PR,OP_10,Abdomen CT Use of Contrast Material,6.9,,07/01/2013,06/30/2014
PR,OP_11,Thorax CT Use of Contrast Material,5.8,,07/01/2013,06/30/2014
PR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.2,,07/01/2013,06/30/2014
PR,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.7,,07/01/2013,06/30/2014
PR,OP_8,MRI Lumbar Spine for Low Back Pain,54.0,,07/01/2013,06/30/2014
PR,OP_9,Mammography Follow-up Rates,40.7,,07/01/2013,06/30/2014
RI,OP_10,Abdomen CT Use of Contrast Material,4.5,,07/01/2013,06/30/2014
RI,OP_11,Thorax CT Use of Contrast Material,0.8,,07/01/2013,06/30/2014
RI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.1,,07/01/2013,06/30/2014
RI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.8,,07/01/2013,06/30/2014
RI,OP_8,MRI Lumbar Spine for Low Back Pain,47.0,,07/01/2013,06/30/2014
RI,OP_9,Mammography Follow-up Rates,8.6,,07/01/2013,06/30/2014
SC,OP_10,Abdomen CT Use of Contrast Material,8.4,,07/01/2013,06/30/2014
SC,OP_11,Thorax CT Use of Contrast Material,1.5,,07/01/2013,06/30/2014
SC,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2013,06/30/2014
SC,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.5,,07/01/2013,06/30/2014
SC,OP_8,MRI Lumbar Spine for Low Back Pain,45.2,,07/01/2013,06/30/2014
SC,OP_9,Mammography Follow-up Rates,7.9,,07/01/2013,06/30/2014
SD,OP_10,Abdomen CT Use of Contrast Material,8.2,,07/01/2013,06/30/2014
SD,OP_11,Thorax CT Use of Contrast Material,3.1,,07/01/2013,06/30/2014
SD,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2013,06/30/2014
SD,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.8,,07/01/2013,06/30/2014
SD,OP_8,MRI Lumbar Spine for Low Back Pain,41.6,,07/01/2013,06/30/2014
SD,OP_9,Mammography Follow-up Rates,8.7,,07/01/2013,06/30/2014
TN,OP_10,Abdomen CT Use of Contrast Material,7.6,,07/01/2013,06/30/2014
TN,OP_11,Thorax CT Use of Contrast Material,2.8,,07/01/2013,06/30/2014
TN,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2013,06/30/2014
TN,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.2,,07/01/2013,06/30/2014
TN,OP_8,MRI Lumbar Spine for Low Back Pain,41.3,,07/01/2013,06/30/2014
TN,OP_9,Mammography Follow-up Rates,8.3,,07/01/2013,06/30/2014
TX,OP_10,Abdomen CT Use of Contrast Material,14.5,,07/01/2013,06/30/2014
TX,OP_11,Thorax CT Use of Contrast Material,4.7,,07/01/2013,06/30/2014
TX,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.7,,07/01/2013,06/30/2014
TX,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.6,,07/01/2013,06/30/2014
TX,OP_8,MRI Lumbar Spine for Low Back Pain,47.9,,07/01/2013,06/30/2014
TX,OP_9,Mammography Follow-up Rates,8.0,,07/01/2013,06/30/2014
