"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.602","","10/01/2013","09/30/2014"
"AS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2013","09/30/2014"
"AZ","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.541","","10/01/2013","09/30/2014"
"CA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.437","","10/01/2013","09/30/2014"
"CO","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.525","","10/01/2013","09/30/2014"
"CT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.571","","10/01/2013","09/30/2014"
"DC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.601","","10/01/2013","09/30/2014"
"DE","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.615","","10/01/2013","09/30/2014"
"FL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.552","","10/01/2013","09/30/2014"
"GA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.668","","10/01/2013","09/30/2014"
"GU","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","3.265","","10/01/2013","09/30/2014"
"HI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.325","","10/01/2013","09/30/2014"
"IA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.594","","10/01/2013","09/30/2014"
"ID","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.505","","10/01/2013","09/30/2014"
"IL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.476","","10/01/2013","09/30/2014"
"IN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.677","","10/01/2013","09/30/2014"
"KS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.544","","10/01/2013","09/30/2014"
"KY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.637","","10/01/2013","09/30/2014"
"LA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.713","","10/01/2013","09/30/2014"
"MA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.453","","10/01/2013","09/30/2014"
"MD","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.608","","10/01/2013","09/30/2014"
"ME","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.861","","10/01/2013","09/30/2014"
"MI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.427","","10/01/2013","09/30/2014"
"MN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.485","","10/01/2013","09/30/2014"
"MO","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.444","","10/01/2013","09/30/2014"
"MP","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2013","09/30/2014"
"MS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.866","","10/01/2013","09/30/2014"
"MT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.989","","10/01/2013","09/30/2014"
"NC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.487","","10/01/2013","09/30/2014"
"ND","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.583","","10/01/2013","09/30/2014"
"NE","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.708","","10/01/2013","09/30/2014"
"NH","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.764","","10/01/2013","09/30/2014"
"NJ","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.654","","10/01/2013","09/30/2014"
"NM","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.755","","10/01/2013","09/30/2014"
"NV","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.562","","10/01/2013","09/30/2014"
"NY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.471","","10/01/2013","09/30/2014"
"OH","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.426","","10/01/2013","09/30/2014"
"OK","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.462","","10/01/2013","09/30/2014"
"OR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.365","","10/01/2013","09/30/2014"
"PA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.444","","10/01/2013","09/30/2014"
"PR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.837","","10/01/2013","09/30/2014"
"RI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.761","","10/01/2013","09/30/2014"
"SC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.538","","10/01/2013","09/30/2014"
"SD","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.478","","10/01/2013","09/30/2014"
"TN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.532","","10/01/2013","09/30/2014"
"TX","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.517","","10/01/2013","09/30/2014"
"UT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.575","","10/01/2013","09/30/2014"
"VA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.405","","10/01/2013","09/30/2014"
"VI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","4.005","","10/01/2013","09/30/2014"
"VT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.796","","10/01/2013","09/30/2014"
"WA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.519","","10/01/2013","09/30/2014"
"WI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.405","","10/01/2013","09/30/2014"
"WV","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.589","","10/01/2013","09/30/2014"
"WY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","1.331","","10/01/2013","09/30/2014"
"AK","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.276","","10/01/2013","09/30/2014"
"AL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.517","","10/01/2013","09/30/2014"
"AR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.428","","10/01/2013","09/30/2014"
"AS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2013","09/30/2014"
"AZ","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.406","","10/01/2013","09/30/2014"
"CA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.382","","10/01/2013","09/30/2014"
"CO","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.362","","10/01/2013","09/30/2014"
"CT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.382","","10/01/2013","09/30/2014"
"DC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.381","","10/01/2013","09/30/2014"
"DE","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.265","","10/01/2013","09/30/2014"
"FL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.482","","10/01/2013","09/30/2014"
"GA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.547","","10/01/2013","09/30/2014"
"GU","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.540","","10/01/2013","09/30/2014"
"HI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.098","","10/01/2013","09/30/2014"
"IA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.364","","10/01/2013","09/30/2014"
"ID","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.199","","10/01/2013","09/30/2014"
"IL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.381","","10/01/2013","09/30/2014"
"IN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.534","","10/01/2013","09/30/2014"
"KS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.344","","10/01/2013","09/30/2014"
"KY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.476","","10/01/2013","09/30/2014"
"LA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.554","","10/01/2013","09/30/2014"
"MA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.336","","10/01/2013","09/30/2014"
"MD","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.454","","10/01/2013","09/30/2014"
"ME","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.404","","10/01/2013","09/30/2014"
"MI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.338","","10/01/2013","09/30/2014"
"MN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.322","","10/01/2013","09/30/2014"
"MO","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.331","","10/01/2013","09/30/2014"
"MP","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2013","09/30/2014"
"MS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.631","","10/01/2013","09/30/2014"
"MT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.427","","10/01/2013","09/30/2014"
"NC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.385","","10/01/2013","09/30/2014"
"ND","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.256","","10/01/2013","09/30/2014"
"NE","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.423","","10/01/2013","09/30/2014"
"NH","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.330","","10/01/2013","09/30/2014"
"NJ","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.524","","10/01/2013","09/30/2014"
"NM","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.442","","10/01/2013","09/30/2014"
"NV","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.399","","10/01/2013","09/30/2014"
"NY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.399","","10/01/2013","09/30/2014"
"OH","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.341","","10/01/2013","09/30/2014"
"OK","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.327","","10/01/2013","09/30/2014"
"OR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.204","","10/01/2013","09/30/2014"
"PA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.369","","10/01/2013","09/30/2014"
"PR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.477","","10/01/2013","09/30/2014"
"RI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.388","","10/01/2013","09/30/2014"
"SC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.389","","10/01/2013","09/30/2014"
"SD","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.145","","10/01/2013","09/30/2014"
"TN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.421","","10/01/2013","09/30/2014"
"TX","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.453","","10/01/2013","09/30/2014"
"UT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.343","","10/01/2013","09/30/2014"
"VA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.298","","10/01/2013","09/30/2014"
"VI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.528","","10/01/2013","09/30/2014"
"VT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.227","","10/01/2013","09/30/2014"
"WA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.369","","10/01/2013","09/30/2014"
"WI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.268","","10/01/2013","09/30/2014"
"WV","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.385","","10/01/2013","09/30/2014"
"WY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.175","","10/01/2013","09/30/2014"
"AK","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.319","","10/01/2013","09/30/2014"
"AL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.926","","10/01/2013","09/30/2014"
"AR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.090","","10/01/2013","09/30/2014"
"AS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2013","09/30/2014"
"AZ","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.213","","10/01/2013","09/30/2014"
"CA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.215","","10/01/2013","09/30/2014"
"CO","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.857","","10/01/2013","09/30/2014"
"CT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.679","","10/01/2013","09/30/2014"
"DC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.889","","10/01/2013","09/30/2014"
"DE","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.384","","10/01/2013","09/30/2014"
"FL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.046","","10/01/2013","09/30/2014"
"GA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.391","","10/01/2013","09/30/2014"
"GU","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","5 - Results are not available for this reporting period.","10/01/2013","09/30/2014"
"HI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.742","","10/01/2013","09/30/2014"
"IA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.025","","10/01/2013","09/30/2014"
"ID","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.007","","10/01/2013","09/30/2014"
"IL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.107","","10/01/2013","09/30/2014"
"IN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.299","","10/01/2013","09/30/2014"
"KS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.120","","10/01/2013","09/30/2014"
"KY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.192","","10/01/2013","09/30/2014"
"LA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.995","","10/01/2013","09/30/2014"
"MA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.612","","10/01/2013","09/30/2014"
"MD","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.659","","10/01/2013","09/30/2014"
"ME","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.690","","10/01/2013","09/30/2014"
"MI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.299","","10/01/2013","09/30/2014"
"MN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.386","","10/01/2013","09/30/2014"
"MO","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.297","","10/01/2013","09/30/2014"
"MP","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2013","09/30/2014"
"MS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.192","","10/01/2013","09/30/2014"
"MT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.005","","10/01/2013","09/30/2014"
"NC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.264","","10/01/2013","09/30/2014"
"ND","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.790","","10/01/2013","09/30/2014"
"NE","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.421","","10/01/2013","09/30/2014"
"NH","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.145","","10/01/2013","09/30/2014"
"NJ","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.244","","10/01/2013","09/30/2014"
"NM","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.303","","10/01/2013","09/30/2014"
"NV","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.148","","10/01/2013","09/30/2014"
"NY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.241","","10/01/2013","09/30/2014"
"OH","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.029","","10/01/2013","09/30/2014"
"OK","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.900","","10/01/2013","09/30/2014"
"OR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.051","","10/01/2013","09/30/2014"
"PA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.179","","10/01/2013","09/30/2014"
"PR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.589","","10/01/2013","09/30/2014"
"RI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.366","","10/01/2013","09/30/2014"
"SC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.417","","10/01/2013","09/30/2014"
"SD","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.461","","10/01/2013","09/30/2014"
"TN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.303","","10/01/2013","09/30/2014"
"TX","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.143","","10/01/2013","09/30/2014"
"UT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.686","","10/01/2013","09/30/2014"
"VA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.117","","10/01/2013","09/30/2014"
"VI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","3.535","","10/01/2013","09/30/2014"
"VT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.063","","10/01/2013","09/30/2014"
"WA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.265","","10/01/2013","09/30/2014"
"WI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.169","","10/01/2013","09/30/2014"
"WV","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.847","","10/01/2013","09/30/2014"
"WY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.629","","10/01/2013","09/30/2014"
"AK","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.965","","10/01/2013","09/30/2014"
"AL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.008","","10/01/2013","09/30/2014"
"AR","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.230","","10/01/2013","09/30/2014"
"AS","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2013","09/30/2014"
"AZ","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.327","","10/01/2013","09/30/2014"
"CA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.265","","10/01/2013","09/30/2014"
"CO","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.972","","10/01/2013","09/30/2014"
"CT","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.850","","10/01/2013","09/30/2014"
"DC","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.083","","10/01/2013","09/30/2014"
"DE","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.753","","10/01/2013","09/30/2014"
"FL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.096","","10/01/2013","09/30/2014"
"GA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.482","","10/01/2013","09/30/2014"
"GU","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","2.786","","10/01/2013","09/30/2014"
"HI","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.987","","10/01/2013","09/30/2014"
"IA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.212","","10/01/2013","09/30/2014"
"ID","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.301","","10/01/2013","09/30/2014"
"IL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.186","","10/01/2013","09/30/2014"
"IN","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.407","","10/01/2013","09/30/2014"
"KS","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.277","","10/01/2013","09/30/2014"
"KY","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.307","","10/01/2013","09/30/2014"
"LA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.094","","10/01/2013","09/30/2014"
"MA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.727","","10/01/2013","09/30/2014"
"MD","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.805","","10/01/2013","09/30/2014"
