"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"NY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","112","3","36","","04/01/2011","03/31/2014"
"OH","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","132","2","23","","04/01/2011","03/31/2014"
"OK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","50","1","15","","04/01/2011","03/31/2014"
"OR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","38","1","11","","04/01/2011","03/31/2014"
"PA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","5","125","1","27","","04/01/2011","03/31/2014"
"PR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","7","0","26","","04/01/2011","03/31/2014"
"RI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","9","0","1","","04/01/2011","03/31/2014"
"SC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","43","0","12","","04/01/2011","03/31/2014"
"SD","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","18","0","2","","04/01/2011","03/31/2014"
"TN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","53","2","20","","04/01/2011","03/31/2014"
"TX","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","5","198","1","58","","04/01/2011","03/31/2014"
"UT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","29","0","4","","04/01/2011","03/31/2014"
"VA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","5","53","2","10","","04/01/2011","03/31/2014"
"VI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","1","0","1","","04/01/2011","03/31/2014"
"VT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","12","0","1","","04/01/2011","03/31/2014"
"WA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","55","0","7","","04/01/2011","03/31/2014"
"WI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","82","1","20","","04/01/2011","03/31/2014"
"WV","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","24","0","7","","04/01/2011","03/31/2014"
"WY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","13","0","5","","04/01/2011","03/31/2014"
"AK","Serious complications","PSI_90_SAFETY","1","8","0","Not Available","","07/01/2012","06/30/2014"
"AL","Serious complications","PSI_90_SAFETY","5","83","2","Not Available","","07/01/2012","06/30/2014"
"AR","Serious complications","PSI_90_SAFETY","3","38","5","Not Available","","07/01/2012","06/30/2014"
"AS","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"AZ","Serious complications","PSI_90_SAFETY","4","58","2","Not Available","","07/01/2012","06/30/2014"
"CA","Serious complications","PSI_90_SAFETY","19","282","8","Not Available","","07/01/2012","06/30/2014"
"CO","Serious complications","PSI_90_SAFETY","3","44","0","Not Available","","07/01/2012","06/30/2014"
"CT","Serious complications","PSI_90_SAFETY","4","28","0","Not Available","","07/01/2012","06/30/2014"
"DC","Serious complications","PSI_90_SAFETY","2","5","0","Not Available","","07/01/2012","06/30/2014"
"DE","Serious complications","PSI_90_SAFETY","0","6","0","Not Available","","07/01/2012","06/30/2014"
"FL","Serious complications","PSI_90_SAFETY","8","155","8","Not Available","","07/01/2012","06/30/2014"
"GA","Serious complications","PSI_90_SAFETY","9","97","1","Not Available","","07/01/2012","06/30/2014"
"GU","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"HI","Serious complications","PSI_90_SAFETY","0","12","0","Not Available","","07/01/2012","06/30/2014"
"IA","Serious complications","PSI_90_SAFETY","0","32","2","Not Available","","07/01/2012","06/30/2014"
"ID","Serious complications","PSI_90_SAFETY","0","14","0","Not Available","","07/01/2012","06/30/2014"
"IL","Serious complications","PSI_90_SAFETY","11","110","7","Not Available","","07/01/2012","06/30/2014"
"IN","Serious complications","PSI_90_SAFETY","3","86","2","Not Available","","07/01/2012","06/30/2014"
"KS","Serious complications","PSI_90_SAFETY","1","52","1","Not Available","","07/01/2012","06/30/2014"
"KY","Serious complications","PSI_90_SAFETY","2","61","2","Not Available","","07/01/2012","06/30/2014"
"LA","Serious complications","PSI_90_SAFETY","3","95","3","Not Available","","07/01/2012","06/30/2014"
"MA","Serious complications","PSI_90_SAFETY","4","55","2","Not Available","","07/01/2012","06/30/2014"
"MD","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"ME","Serious complications","PSI_90_SAFETY","2","18","0","Not Available","","07/01/2012","06/30/2014"
"MI","Serious complications","PSI_90_SAFETY","14","77","5","Not Available","","07/01/2012","06/30/2014"
"MN","Serious complications","PSI_90_SAFETY","2","48","2","Not Available","","07/01/2012","06/30/2014"
"MO","Serious complications","PSI_90_SAFETY","5","72","3","Not Available","","07/01/2012","06/30/2014"
"MP","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"MS","Serious complications","PSI_90_SAFETY","5","57","3","Not Available","","07/01/2012","06/30/2014"
"MT","Serious complications","PSI_90_SAFETY","0","12","1","Not Available","","07/01/2012","06/30/2014"
"NC","Serious complications","PSI_90_SAFETY","7","76","5","Not Available","","07/01/2012","06/30/2014"
"ND","Serious complications","PSI_90_SAFETY","0","7","0","Not Available","","07/01/2012","06/30/2014"
"NE","Serious complications","PSI_90_SAFETY","2","21","2","Not Available","","07/01/2012","06/30/2014"
"NH","Serious complications","PSI_90_SAFETY","1","11","1","Not Available","","07/01/2012","06/30/2014"
"NJ","Serious complications","PSI_90_SAFETY","11","48","6","Not Available","","07/01/2012","06/30/2014"
"NM","Serious complications","PSI_90_SAFETY","0","32","0","Not Available","","07/01/2012","06/30/2014"
"NV","Serious complications","PSI_90_SAFETY","2","21","1","Not Available","","07/01/2012","06/30/2014"
"NY","Serious complications","PSI_90_SAFETY","14","147","1","Not Available","","07/01/2012","06/30/2014"
"OH","Serious complications","PSI_90_SAFETY","8","124","3","Not Available","","07/01/2012","06/30/2014"
"OK","Serious complications","PSI_90_SAFETY","2","87","2","Not Available","","07/01/2012","06/30/2014"
"OR","Serious complications","PSI_90_SAFETY","4","29","1","Not Available","","07/01/2012","06/30/2014"
"PA","Serious complications","PSI_90_SAFETY","15","140","0","Not Available","","07/01/2012","06/30/2014"
"PR","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"RI","Serious complications","PSI_90_SAFETY","0","11","0","Not Available","","07/01/2012","06/30/2014"
"SC","Serious complications","PSI_90_SAFETY","3","49","4","Not Available","","07/01/2012","06/30/2014"
"SD","Serious complications","PSI_90_SAFETY","1","21","0","Not Available","","07/01/2012","06/30/2014"
"TN","Serious complications","PSI_90_SAFETY","3","94","4","Not Available","","07/01/2012","06/30/2014"
"TX","Serious complications","PSI_90_SAFETY","11","301","16","Not Available","","07/01/2012","06/30/2014"
"UT","Serious complications","PSI_90_SAFETY","5","29","0","Not Available","","07/01/2012","06/30/2014"
"VA","Serious complications","PSI_90_SAFETY","3","71","5","Not Available","","07/01/2012","06/30/2014"
"VI","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"VT","Serious complications","PSI_90_SAFETY","0","6","0","Not Available","","07/01/2012","06/30/2014"
"WA","Serious complications","PSI_90_SAFETY","7","41","0","Not Available","","07/01/2012","06/30/2014"
"WI","Serious complications","PSI_90_SAFETY","3","62","0","Not Available","","07/01/2012","06/30/2014"
"WV","Serious complications","PSI_90_SAFETY","1","28","0","Not Available","","07/01/2012","06/30/2014"
"WY","Serious complications","PSI_90_SAFETY","0","11","0","Not Available","","07/01/2012","06/30/2014"
"AK","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","9","0","0","","07/01/2012","06/30/2014"
"AL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","88","0","1","","07/01/2012","06/30/2014"
"AR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","45","0","0","","07/01/2012","06/30/2014"
"AS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"AZ","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","64","0","0","","07/01/2012","06/30/2014"
"CA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","3","305","0","0","","07/01/2012","06/30/2014"
"CO","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","45","0","1","","07/01/2012","06/30/2014"
"CT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","30","0","1","","07/01/2012","06/30/2014"
"DC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","6","0","0","","07/01/2012","06/30/2014"
"DE","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","6","0","0","","07/01/2012","06/30/2014"
"FL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","169","0","0","","07/01/2012","06/30/2014"
"GA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","106","0","0","","07/01/2012","06/30/2014"
"GU","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"HI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","12","0","0","","07/01/2012","06/30/2014"
"IA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","34","0","0","","07/01/2012","06/30/2014"
"ID","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","1","","07/01/2012","06/30/2014"
"IL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","128","0","0","","07/01/2012","06/30/2014"
"IN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","91","0","0","","07/01/2012","06/30/2014"
"KS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","52","0","2","","07/01/2012","06/30/2014"
"KY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","65","0","0","","07/01/2012","06/30/2014"
"LA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","96","0","5","","07/01/2012","06/30/2014"
"MA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","61","0","0","","07/01/2012","06/30/2014"
"MD","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"ME","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","20","0","0","","07/01/2012","06/30/2014"
"MI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","96","0","0","","07/01/2012","06/30/2014"
"MN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","52","0","0","","07/01/2012","06/30/2014"
"MO","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","80","0","0","","07/01/2012","06/30/2014"
"MP","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"MS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","62","0","3","","07/01/2012","06/30/2014"
"MT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","0","","07/01/2012","06/30/2014"
"NC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","88","0","0","","07/01/2012","06/30/2014"
"ND","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","7","0","0","","07/01/2012","06/30/2014"
"NE","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","24","0","1","","07/01/2012","06/30/2014"
"NH","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","12","0","0","","07/01/2012","06/30/2014"
"NJ","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","63","1","0","","07/01/2012","06/30/2014"
"NM","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","32","0","0","","07/01/2012","06/30/2014"
"NV","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","24","0","0","","07/01/2012","06/30/2014"
"NY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","160","0","0","","07/01/2012","06/30/2014"
"OH","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","133","0","2","","07/01/2012","06/30/2014"
"OK","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","88","0","2","","07/01/2012","06/30/2014"
"OR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","34","0","0","","07/01/2012","06/30/2014"
"PA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","153","0","1","","07/01/2012","06/30/2014"
"PR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"RI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","11","0","0","","07/01/2012","06/30/2014"
"SC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","56","0","0","","07/01/2012","06/30/2014"
"SD","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","21","0","1","","07/01/2012","06/30/2014"
"TN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","100","0","0","","07/01/2012","06/30/2014"
"TX","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","3","317","0","8","","07/01/2012","06/30/2014"
"UT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","32","0","2","","07/01/2012","06/30/2014"
"VA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","74","0","4","","07/01/2012","06/30/2014"
"VI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"VT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","6","0","0","","07/01/2012","06/30/2014"
"WA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","48","0","0","","07/01/2012","06/30/2014"
"WI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","63","0","0","","07/01/2012","06/30/2014"
"WV","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","29","0","0","","07/01/2012","06/30/2014"
"WY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","11","0","0","","07/01/2012","06/30/2014"
"AK","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","8","0","0","","07/01/2012","06/30/2014"
"AL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","6","58","4","9","","07/01/2012","06/30/2014"
"AR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","35","8","1","","07/01/2012","06/30/2014"
"AS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"AZ","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","56","4","2","","07/01/2012","06/30/2014"
"CA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","14","262","16","7","","07/01/2012","06/30/2014"
"CO","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","42","1","0","","07/01/2012","06/30/2014"
"CT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","7","22","0","0","","07/01/2012","06/30/2014"
"DC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","5","0","0","","07/01/2012","06/30/2014"
"DE","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","5","0","0","","07/01/2012","06/30/2014"
"FL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","13","143","9","1","","07/01/2012","06/30/2014"
"GA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","7","89","1","6","","07/01/2012","06/30/2014"
"GU","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"HI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","12","0","0","","07/01/2012","06/30/2014"
"IA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","31","3","0","","07/01/2012","06/30/2014"
"ID","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","11","1","1","","07/01/2012","06/30/2014"
"IL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","22","100","2","2","","07/01/2012","06/30/2014"
"IN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","80","7","0","","07/01/2012","06/30/2014"
"KS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","44","3","3","","07/01/2012","06/30/2014"
"KY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","55","5","2","","07/01/2012","06/30/2014"
"LA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","80","1","10","","07/01/2012","06/30/2014"
"MA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","7","47","4","2","","07/01/2012","06/30/2014"
"MD","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"ME","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","19","1","0","","07/01/2012","06/30/2014"
"MI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","9","77","7","0","","07/01/2012","06/30/2014"
"MN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","47","3","0","","07/01/2012","06/30/2014"
"MO","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","6","60","5","3","","07/01/2012","06/30/2014"
"MP","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"MS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","4","38","2","8","","07/01/2012","06/30/2014"
"MT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","10","2","1","","07/01/2012","06/30/2014"
"NC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","79","4","1","","07/01/2012","06/30/2014"
"ND","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","4","2","0","","07/01/2012","06/30/2014"
"NE","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","18","4","1","","07/01/2012","06/30/2014"
"NH","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","10","2","0","","07/01/2012","06/30/2014"
"NJ","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","18","44","2","0","","07/01/2012","06/30/2014"
"NM","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","24","0","3","","07/01/2012","06/30/2014"
"NV","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","4","17","0","0","","07/01/2012","06/30/2014"
"NY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","21","130","2","2","","07/01/2012","06/30/2014"
"OH","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","9","121","0","2","","07/01/2012","06/30/2014"
"OK","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","60","3","19","","07/01/2012","06/30/2014"
"OR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","28","2","1","","07/01/2012","06/30/2014"
"PA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","16","135","0","1","","07/01/2012","06/30/2014"
"PR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"RI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","10","1","0","","07/01/2012","06/30/2014"
"SC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","6","41","5","4","","07/01/2012","06/30/2014"
"SD","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","16","2","2","","07/01/2012","06/30/2014"
"TN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","76","6","6","","07/01/2012","06/30/2014"
"TX","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","6","247","15","23","","07/01/2012","06/30/2014"
"UT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","29","0","2","","07/01/2012","06/30/2014"
"VA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","6","59","4","2","","07/01/2012","06/30/2014"
"VI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"VT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","6","0","0","","07/01/2012","06/30/2014"
"WA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","42","5","0","","07/01/2012","06/30/2014"
"WI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","60","3","0","","07/01/2012","06/30/2014"
"WV","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","24","0","2","","07/01/2012","06/30/2014"
"WY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","9","2","0","","07/01/2012","06/30/2014"
"AK","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","7","0","1","","07/01/2012","06/30/2014"
"AL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","54","0","17","","07/01/2012","06/30/2014"
"AR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","30","0","13","","07/01/2012","06/30/2014"
"AS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"AZ","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","47","0","8","","07/01/2012","06/30/2014"
"CA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","240","0","52","","07/01/2012","06/30/2014"
"CO","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","39","0","6","","07/01/2012","06/30/2014"
"CT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","29","0","0","","07/01/2012","06/30/2014"
