Provider Number,Hospital Name,Address,City,State,Zip Code,County Name,SCIP-Inf-1 Performance Rate,SCIP-Inf-1 Achievement Points,SCIP-Inf-1 Improvement Points,SCIP-Inf-1 Measure Score,SCIP-Inf-2 Performance Rate,SCIP-Inf-2 Achievement Points,SCIP-Inf-2 Improvement Points,SCIP-Inf-2 Measure Score,SCIP-Inf-3 Performance Rate,SCIP-Inf-3 Achievement Points,SCIP-Inf-3 Improvement Points,SCIP-Inf-3 Measure Score,SCIP-Inf-4 Performance Rate,SCIP-Inf-4 Achievement Points,SCIP-Inf-4 Improvement Points,SCIP-Inf-4 Measure Score,SCIP-Inf-9 Performance Rate,SCIP-Inf-9 Achievement Points,SCIP-Inf-9 Improvement Points,SCIP-Inf-9 Measure Score,HAI Condition/Procedure Score
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","Opelika","AL","36801","LEE","0.99675","7 out of 10","2 out of 9","7 out of 10","0.99566","7 out of 10","1 out of 9","7 out of 10","0.99331","7 out of 10","0 out of 9","7 out of 10","0.98370","6 out of 10","0 out of 9","6 out of 10","0.99599","9 out of 10","0 out of 9","9 out of 10","36"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","Wedowee","AL","36278","RANDOLPH","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","Birmingham","AL","35249","JEFFERSON","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99743","8 out of 10","9 out of 9","9 out of 10","0.99206","7 out of 10","7 out of 9","7 out of 10","0.96429","2 out of 10","6 out of 9","6 out of 10","0.96933","4 out of 10","6 out of 9","6 out of 10","38"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","Tallassee","AL","36078","ELMORE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","Cullman","AL","35058","CULLMAN","0.99650","7 out of 10","0 out of 9","7 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99291","7 out of 10","0 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.99559","9 out of 10","0 out of 9","9 out of 10","33"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","Andalusia","AL","36420","COVINGTON","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99454","6 out of 10","7 out of 9","7 out of 10","0.98901","6 out of 10","0 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","33"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","Anniston","AL","36207","CALHOUN","0.96875","0 out of 10","0 out of 9","0 out of 10","0.97917","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.97273","5 out of 10","5 out of 9","5 out of 10","15"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","Huntsville","AL","35801","MADISON","0.98185","0 out of 10","4 out of 9","4 out of 10","0.99271","5 out of 10","0 out of 9","5 out of 10","0.99046","6 out of 10","5 out of 9","6 out of 10","0.99390","9 out of 10","6 out of 9","9 out of 10","0.98137","6 out of 10","8 out of 9","8 out of 10","32"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","Gadsden","AL","35903","ETOWAH","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98789","2 out of 10","4 out of 9","4 out of 10","0.92924","0 out of 10","0 out of 9","0 out of 10","0.97546","4 out of 10","3 out of 9","4 out of 10","0.92000","0 out of 10","0 out of 9","0 out of 10","18"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","Hamilton","AL","35570","MARION","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","Fayette","AL","35555","FAYETTE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","Gadsden","AL","35901","ETOWAH","0.99636","7 out of 10","0 out of 9","7 out of 10","0.97818","0 out of 10","0 out of 9","0 out of 10","0.96748","0 out of 10","0 out of 9","0 out of 10","0.88571","0 out of 10","0 out of 9","0 out of 10","0.98932","8 out of 10","3 out of 9","8 out of 10","15"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA AVENUE","Georgiana","AL","36033","BUTLER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","Enterprise","AL","36330","COFFEE","0.99648","7 out of 10","0 out of 9","7 out of 10","0.99648","7 out of 10","0 out of 9","7 out of 10","0.99296","7 out of 10","0 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.99605","9 out of 10","0 out of 9","9 out of 10","30"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","Dadeville","AL","36853","TALLAPOOSA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010054","DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS","1874 BELTLINE RD SW","Decatur","AL","35601","MORGAN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","Dothan","AL","36302","HOUSTON","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99883","9 out of 10","6 out of 9","9 out of 10","0.99200","8 out of 10","0 out of 9","8 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","47"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","Birmingham","AL","35205","JEFFERSON","0.99393","5 out of 10","7 out of 9","7 out of 10","0.99595","7 out of 10","3 out of 9","7 out of 10","0.99787","9 out of 10","8 out of 9","9 out of 10","0.98473","7 out of 10","5 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","40"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","Moulton","AL","35650","LAWRENCE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","Scottsboro","AL","35768","JACKSON","0.95833","0 out of 10","0 out of 9","0 out of 10","0.95745","0 out of 10","4 out of 9","4 out of 10","0.97872","2 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","0.91667","0 out of 10","0 out of 9","0 out of 10","10"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","Geneva","AL","36340","GENEVA","0.27273","0 out of 10","0 out of 9","0 out of 10","0.18182","0 out of 10","0 out of 9","0 out of 10","0.09091","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","Alexander City","AL","35010","TALLAPOOSA","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97531","1 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","0.93617","0 out of 10","0 out of 9","0 out of 10","26"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","Eufaula","AL","36027","BARBOUR","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","Ashland","AL","36251","CLAY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","Anniston","AL","36207","CALHOUN","0.98992","3 out of 10","2 out of 9","3 out of 10","0.98589","0 out of 10","0 out of 9","0 out of 10","0.97746","1 out of 10","5 out of 9","5 out of 10","0.95918","1 out of 10","2 out of 9","2 out of 10","0.95968","2 out of 10","6 out of 9","6 out of 10","16"
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","Athens","AL","35611","LIMESTONE","0.99363","5 out of 10","0 out of 9","5 out of 10","0.98089","0 out of 10","5 out of 9","5 out of 10","0.96689","0 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","25"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","Foley","AL","36535","BALDWIN","0.99524","6 out of 10","0 out of 9","6 out of 10","0.99048","3 out of 10","0 out of 9","3 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","29"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","Decatur","AL","35601","MORGAN","0.99461","6 out of 10","0 out of 9","6 out of 10","0.99282","5 out of 10","6 out of 9","6 out of 10","0.99094","6 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","0.99798","9 out of 10","6 out of 9","9 out of 10","27"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","Winfield","AL","35594","MARION","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","Mobile","AL","36617","MOBILE","0.99213","4 out of 10","7 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.88793","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","37"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","Jasper","AL","35502","WALKER","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99035","3 out of 10","0 out of 9","3 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.99385","8 out of 10","0 out of 9","8 out of 10","31"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","Mobile","AL","36608","MOBILE","0.99736","8 out of 10","8 out of 9","8 out of 10","0.99734","8 out of 10","7 out of 9","8 out of 10","0.98300","3 out of 10","0 out of 9","3 out of 10","0.99291","8 out of 10","0 out of 9","8 out of 10","0.99707","9 out of 10","7 out of 9","9 out of 10","36"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","Grove Hill","AL","36451","CLARKE","0.94444","0 out of 10","Not Available","0 out of 10","1.00000","10 out of 10","Not Available","10 out of 10","0.72222","0 out of 10","Not Available","0 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","10"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","Tuscaloosa","AL","35401","TUSCALOOSA","0.99349","5 out of 10","1 out of 9","5 out of 10","0.99129","4 out of 10","0 out of 9","4 out of 10","0.98413","4 out of 10","2 out of 9","4 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99155","8 out of 10","8 out of 9","8 out of 10","31"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","Wetumpka","AL","36092","ELMORE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","Brewton","AL","36426","ESCAMBIA","0.95714","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","0.98507","4 out of 10","0 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","24"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","Fairhope","AL","36532","BALDWIN","0.98754","1 out of 10","5 out of 9","5 out of 10","0.99065","3 out of 10","0 out of 9","3 out of 10","0.99042","6 out of 10","0 out of 9","6 out of 10","0.99200","8 out of 10","9 out of 9","9 out of 10","0.96135","3 out of 10","0 out of 9","3 out of 10","26"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","Talladega","AL","35160","TALLADEGA","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.90000","0 out of 10","0 out of 9","0 out of 10","30"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","Birmingham","AL","35211","JEFFERSON","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99561","7 out of 10","0 out of 9","7 out of 10","0.99849","9 out of 10","6 out of 9","9 out of 10","0.97122","4 out of 10","0 out of 9","4 out of 10","0.98698","7 out of 10","6 out of 9","7 out of 10","37"
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","Birmingham","AL","35213","JEFFERSON","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99867","9 out of 10","6 out of 9","9 out of 10","0.99862","9 out of 10","7 out of 9","9 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99363","8 out of 10","0 out of 9","8 out of 10","46"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","Prattville","AL","36067","AUTAUGA","1.00000","10 out of 10","9 out of 9","10 out of 10","0.90000","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON DRIVE","Carrollton","AL","35447","PICKENS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","105 HIGHWAY 80 EAST","Demopolis","AL","36732","MARENGO","0.77273","0 out of 10","0 out of 9","0 out of 10","0.90909","0 out of 10","0 out of 9","0 out of 10","0.18182","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0"
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","Mobile","AL","36607","MOBILE","0.99828","8 out of 10","9 out of 9","9 out of 10","0.99483","6 out of 10","3 out of 9","6 out of 10","0.98891","6 out of 10","8 out of 9","8 out of 10","0.98765","7 out of 10","8 out of 9","8 out of 10","0.99364","8 out of 10","9 out of 9","9 out of 10","40"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","Bessemer","AL","35022","JEFFERSON","0.98585","0 out of 10","6 out of 9","6 out of 10","0.98113","0 out of 10","0 out of 9","0 out of 10","0.97129","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.91919","0 out of 10","0 out of 9","0 out of 10","6"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","Selma","AL","36701","DALLAS","1.00000","10 out of 10","0 out of 9","10 out of 10","0.97368","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","30"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","Monroeville","AL","36460","MONROE","1.00000","10 out of 10","9 out of 9","10 out of 10","0.93333","0 out of 10","5 out of 9","5 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","25"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","Haleyville","AL","35565","WINSTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","Troy","AL","36081","PIKE","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","40"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","Bay Minette","AL","36507","BALDWIN","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","40"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","Pell City","AL","35125","SAINT CLAIR","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","Huntsville","AL","35801","MADISON","0.99896","9 out of 10","0 out of 9","9 out of 10","0.99896","9 out of 10","6 out of 9","9 out of 10","0.99362","7 out of 10","4 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","35"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","Birmingham","AL","35209","JEFFERSON","0.99754","8 out of 10","0 out of 9","8 out of 10","0.99507","6 out of 10","0 out of 9","6 out of 10","0.98462","4 out of 10","0 out of 9","4 out of 10","0.99605","9 out of 10","9 out of 9","9 out of 10","0.98998","8 out of 10","0 out of 9","8 out of 10","35"
"010144","SPRINGHILL MEMORIAL HOSPITAL","3719 DAUPHIN STREET","Mobile","AL","36608","MOBILE","0.99376","5 out of 10","6 out of 9","6 out of 10","0.98753","1 out of 10","5 out of 9","5 out of 10","0.99557","8 out of 10","7 out of 9","8 out of 10","0.92784","0 out of 10","4 out of 9","4 out of 10","0.99647","9 out of 10","1 out of 9","9 out of 10","32"
"010146","RMC JACKSONVILLE","1701 SOUTH PELHAM ROAD","Jacksonville","AL","36265","CALHOUN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","Evergreen","AL","36401","CONECUH","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","Montgomery","AL","36117","MONTGOMERY","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97059","0 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available","0.96939","4 out of 10","3 out of 9","4 out of 10","26"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","Greenville","AL","36037","BUTLER","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","0.97368","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","30"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","Muscle Shoals","AL","35661","COLBERT","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98889","2 out of 10","9 out of 9","9 out of 10","0.98837","5 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","0.98958","8 out of 10","7 out of 9","8 out of 10","35"
