Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-2_1-12_Rate_Per_1000,HBIPS-2_1-12_Num,HBIPS-2_1-12_Den,HBIPS-2_1-12_Footnote,HBIPS-2_13-17_Rate_Per_1000,HBIPS-2_13-17_Num,HBIPS-2_13-17_Den,HBIPS-2_13-17_Footnote,HBIPS-2_18-64_Rate_Per_1000,HBIPS-2_18-64_Num,HBIPS-2_18-64_Den,HBIPS-2_18-64_Footnote,HBIPS-2_65_Over_Rate_Per_1000,HBIPS-2_65_Over_Num,HBIPS-2_65_Over_Den,HBIPS-2_65_Over_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-3_1-12_Rate_Per_1000,HBIPS-3_1-12_Num,HBIPS-3_1-12_Den,HBIPS-3_1-12_Footnote,HBIPS-3_13-17_Rate_Per_1000,HBIPS-3_13-17_Num,HBIPS-3_13-17_Den,HBIPS-3_13-17_Footnote,HBIPS-3_18-64_Rate_Per_1000,HBIPS-3_18-64_Num,HBIPS-3_18-64_Den,HBIPS-3_18-64_Footnote,HBIPS-3_65_Over_Rate_Per_1000,HBIPS-3_65_Over_Num,HBIPS-3_65_Over_Den,HBIPS-3_65_Over_Footnote,HBIPS-4_Measure_Description,HBIPS-4_Overall_%_of_Total,HBIPS-4_Overall_Num,HBIPS-4_Overall_Den,HBIPS-4_Overall_Footnote,HBIPS-4_1-12_%_of_Total,HBIPS-4_1-12_Num,HBIPS-4_1-12_Den,HBIPS-4_1-12_Footnote,HBIPS-4_13-17_%_of_Total,HBIPS-4_13-17_Num,HBIPS-4_13-17_Den,HBIPS-4_13-17_Footnote,HBIPS-4_18-64_%_of_Total,HBIPS-4_18-64_Num,HBIPS-4_18-64_Den,HBIPS-4_18-64_Footnote,HBIPS-4_65_Over_%_of_Total,HBIPS-4_65_Over_Num,HBIPS-4_65_Over_Den,HBIPS-4_65_Over_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-5_1-12_%_of_Total,HBIPS-5_1-12_Num,HBIPS-5_1-12_Den,HBIPS-5_1-12_Footnote,HBIPS-5_13-17_%_of_Total,HBIPS-5_13-17_Num,HBIPS-5_13-17_Den,HBIPS-5_13-17_Footnote,HBIPS-5_18-64_%_of_Total,HBIPS-5_18-64_Num,HBIPS-5_18-64_Den,HBIPS-5_18-64_Footnote,HBIPS-5_65_Over_%_of_Total,HBIPS-5_65_Over_Num,HBIPS-5_65_Over_Den,HBIPS-5_65_Over_Footnote,HBIPS-6_Measure_Description,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-6_1-12_%_of_Total,HBIPS-6_1-12_Num,HBIPS-6_1-12_Den,HBIPS-6_1-12_Footnote,HBIPS-6_13-17_%_of_Total,HBIPS-6_13-17_Num,HBIPS-6_13-17_Den,HBIPS-6_13-17_Footnote,HBIPS-6_18-64_%_of_Total,HBIPS-6_18-64_Num,HBIPS-6_18-64_Den,HBIPS-6_18-64_Footnote,HBIPS-6_65_Over_%_of_Total,HBIPS-6_65_Over_Num,HBIPS-6_65_Over_Den,HBIPS-6_65_Over_Footnote,HBIPS-7_Measure_Description,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,HBIPS-7_1-12_%_of_Total,HBIPS-7_1-12_Num,HBIPS-7_1-12_Den,HBIPS-7_1-12_Footnote,HBIPS-7_13-17_%_of_Total,HBIPS-7_13-17_Num,HBIPS-7_13-17_Den,HBIPS-7_13-17_Footnote,HBIPS-7_18-64_%_of_Total,HBIPS-7_18-64_Num,HBIPS-7_18-64_Den,HBIPS-7_18-64_Footnote,HBIPS-7_65_Over_%_of_Total,HBIPS-7_65_Over_Num,HBIPS-7_65_Over_Den,HBIPS-7_65_Over_Footnote,Start_Date,End_Date
"150115","MEMORIAL HOSPITAL AND HEALTH CARE CENTER","800 W 9TH ST","JASPER","IN","47546","DUBOIS","Hours of physical-restraint use","0.69","43.94","2670","","Not Available","0","0","7","Not Available","0","0","7","1.03","37.27","1513","","0.24","6.67","1157","","Hours of seclusion","6.23","399.3","2670","","Not Available","0","0","7","Not Available","0","0","7","10.61","385.12","1513","","0.51","14.18","1157","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","0.00","0","400","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","271","","0.00","0","129","","04/01/2013","12/31/2013"
"150169","COMMUNITY HOSPITAL NORTH","7150 CLEARVISTA DR","INDIANAPOLIS","IN","46256","MARION","Hours of physical-restraint use","1.16","70.59","2542","","Not Available","0","0","7","Not Available","0","0","7","0.00",".02","378","","1.36","70.57","2164","","Hours of seclusion","1.47","89.47","2542","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","378","","1.72","89.47","2164","","Patients discharged on multiple antipsychotic medications","15.63","20","128","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","97.53","158","162","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","97.53","158","162","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"151320","JAY COUNTY HOSPITAL","500 W VOTAW ST","PORTLAND","IN","47371","JAY","Hours of physical-restraint use","0.00","0","1863","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","136","","0.00","0","1727","","Hours of seclusion","0.00","0","1863","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","136","","0.00","0","1727","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.33","149","150","","Not Available","0","0","7","Not Available","0","0","7","100.00","16","16","","99.25","133","134","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.33","149","150","","Not Available","0","0","7","Not Available","0","0","7","100.00","16","16","","99.25","133","134","","04/01/2013","12/31/2013"
"151325","ST MARY'S HEALTH, INC","1116 MILLIS AVE","BOONVILLE","IN","47601","WARRICK","Hours of physical-restraint use","0.00","0","2428","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","166","","0.00","0","2262","","Hours of seclusion","0.00","0","2428","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","166","","0.00","0","2262","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","60.78","124","204","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","29.41","60","204","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"151330","ADAMS MEMORIAL HOSPITAL","1100 MERCER AVE","DECATUR","IN","46733","ADAMS","Hours of physical-restraint use","0.00","0","1275","","Not Available","0","0","7","0.00","0","55","","0.00","0","962","","0.00","0","258","","Hours of seclusion","0.00","0","1275","","Not Available","0","0","7","0.00","0","55","","0.00","0","962","","0.00","0","258","","Patients discharged on multiple antipsychotic medications","0.00","0","1275","","Not Available","0","0","7","0.00","0","55","","0.00","0","962","","0.00","0","258","","Patients discharged on multiple antipsychotic medications with appropriate justification","0.00","0","1275","","Not Available","0","0","7","0.00","0","55","","0.00","0","962","","0.00","0","258","","Post-discharge continuing care plan created","55.62","94","169","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.61","254","255","","Not Available","0","0","7","100.00","12","12","","99.50","200","201","","100.00","42","42","","04/01/2013","12/31/2013"
"154005","RIVER BEND HOSPITAL","2900 N RIVER RD","WEST LAFAYETTE","IN","47906","TIPPECANOE","Hours of physical-restraint use","0.48","32.6","2834","","Not Available","0","0","7","Not Available","0","0","7","0.49","32.6","2758","","0.00","0","76","","Hours of seclusion","0.08","5.3","2834","","Not Available","0","0","7","Not Available","0","0","7","0.08","5.3","2758","","0.00","0","76","","Patients discharged on multiple antipsychotic medications","9.93","14","141","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","78.57","11","14","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.29","140","141","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","83.69","118","141","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154008","LARUE D CARTER MEMORIAL HOSPITAL","2601 COLD SPRING RD","INDIANAPOLIS","IN","46222","MARION","Hours of physical-restraint use","0.37","312.43","34798","","0.61","40.5","2750","","0.77","132.75","7227","","0.26","138.99","22137","","0.00",".19","2684","","Hours of seclusion","0.04","33.06","34798","","0.24","16.02","2750","","0.09","15.17","7227","","0.00","1.87","22137","","0.00","0","2684","","Patients discharged on multiple antipsychotic medications","48.89","22","45","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00","52","52","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00","52","52","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154009","HAMILTON CENTER INC","620 8TH AVE","TERRE HAUTE","IN","47804","VIGO","Hours of physical-restraint use","0.27","24.75","3821","","Not Available","0","0","7","Not Available","0","0","7","0.27","24.75","3821","","Not Available","0","0","7","Hours of seclusion","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications","15.18","17","112","","Not Available","0","0","7","Not Available","0","0","7","17.71","17","96","","0.00","0","16","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","49.33","74","150","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","26.00","39","150","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154011","COMMUNITY MENTAL HEALTH CENTER INC","285 BIELBY RD","LAWRENCEBURG","IN","47025","DEARBORN","Hours of physical-restraint use","0.11","2.57","949","","Not Available","0","0","7","Not Available","0","0","7","0.12","2.57","881","","0.00","0","68","","Hours of seclusion","0.47","10.67","949","","Not Available","0","0","7","Not Available","0","0","7","0.50","10.67","881","","0.00","0","68","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.48","191","192","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.48","191","192","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154014","OTIS R BOWEN CENTER FOR HUMAN SERVICES INC","1535 PROVIDENT DR","WARSAW","IN","46580","KOSCIUSKO","Hours of physical-restraint use","0.03","1.17","1808","","Not Available","0","0","7","Not Available","0","0","7","0.03","1.17","1668","","0.00","0","140","","Hours of seclusion","0.03","1.38","1808","","Not Available","0","0","7","Not Available","0","0","7","0.03","1.38","1668","","0.00","0","140","","Patients discharged on multiple antipsychotic medications","15.05","14","93","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","89.18","173","194","","Not Available","0","0","7","Not Available","0","0","7","91.07","153","168","","76.92","20","26","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","79.90","155","194","","Not Available","0","0","7","Not Available","0","0","7","80.95","136","168","","73.08","19","26","","04/01/2013","12/31/2013"
"154018","RICHMOND STATE HOSPITAL","498 NW 18TH ST","RICHMOND","IN","47374","WAYNE","Hours of physical-restraint use","0.11","18.27","6942","","Not Available","0","0","7","Not Available","0","0","7","0.07","10.1","6364","","0.59","8.17","578","","Hours of seclusion","0.00","0","6942","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","6364","","0.00","0","578","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","94.12","16","17","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","76.47","13","17","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154019","MADISON STATE HOSPITAL","711 GREEN RD","MADISON","IN","47250","JEFFERSON","Hours of physical-restraint use","0.35","248.3","29224","","Not Available","0","0","7","Not Available","0","0","7","0.38","231.33","25271","","0.18","16.97","3953","","Hours of seclusion","0.10","68.7","29224","","Not Available","0","0","7","Not Available","0","0","7","0.09","57.05","25271","","0.12","11.65","3953","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00","38","38","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00","38","38","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154020","REGIONAL MENTAL HEALTH CENTER","8555 TAFT ST","MERRILLVILLE","IN","46410","LAKE","Hours of physical-restraint use","0.29","21.52","3077","","Not Available","0","0","7","Not Available","0","0","7","0.30","21.52","3019","","0.00","0","58","","Hours of seclusion","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications","21.26","64","301","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","67.19","43","64","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00","349","349","","Not Available","0","0","7","Not Available","0","0","7","100.00","338","338","","100.00","11","11","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00","347","347","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154021","GRANT-BLACKFORD MENTAL HEALTH, INC","505 WABASH AVE","MARION","IN","46952","GRANT","Hours of physical-restraint use","0.46","18","1637","","0.00","0","19","","0.56","6","443","","0.49","12","1020","","0.00","0","155","","Hours of seclusion","1.04","41","1637","","0.00","0","19","","1.03","11","443","","1.23","30","1020","","0.00","0","155","","Patients discharged on multiple antipsychotic medications","6.25","23","368","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00","23","23","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","94.99","360","379","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","50.14","185","369","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154024","BHC VALLE VISTA HOSPITAL","898 E MAIN ST","GREENWOOD","IN","46143","JOHNSON","Hours of physical-restraint use","0.03","6.87","8313","","0.02",".1","259","","0.08","4.15","2044","","0.02","2.62","5758","","0.00","0","252","","Hours of seclusion","0.19","37.75","8313","","0.40","2.47","259","","0.22","10.55","2044","","0.18","24.73","5758","","0.00","0","252","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.22","507","511","","100.00","50","50","","98.37","181","184","","99.60","249","250","","100.00","27","27","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","95.50","488","511","","98.00","49","50","","94.57","174","184","","96.00","240","250","","92.59","25","27","","04/01/2013","12/31/2013"
"154031","OAKLAWN PSYCHIATRIC CENTER INC","330 LAKEVIEW DR","GOSHEN","IN","46527","ELKHART","Hours of physical-restraint use","0.03","3","3877","","Not Available","0","0","7","Not Available","0","0","7","0.03","3","3688","","0.00","0","189","","Hours of seclusion","0.21","20","3877","","Not Available","0","0","7","Not Available","0","0","7","0.23","20","3688","","0.00","0","189","","Patients discharged on multiple antipsychotic medications","15.79","24","152","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00","24","24","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","92.57","137","148","","Not Available","0","0","7","Not Available","0","0","7","92.59","125","135","","92.31","12","13","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","97.97","145","148","","Not Available","0","0","7","Not Available","0","0","7","97.78","132","135","","100.00","13","13","","04/01/2013","12/31/2013"
"154035","FOUR COUNTY COUNSELING CENTER","1015 MICHIGAN AVE","LOGANSPORT","IN","46947","CASS","Hours of physical-restraint use","0.05","2.36","1789","","Not Available","0","0","7","Not Available","0","0","7","0.04","1.57","1537","","0.13",".79","252","","Hours of seclusion","1.42","61.08","1789","","Not Available","0","0","7","Not Available","0","0","7","1.34","49.58","1537","","1.90","11.5","252","","Patients discharged on multiple antipsychotic medications","13.10","19","145","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.32","290","292","","Not Available","0","0","7","Not Available","0","0","7","99.64","279","280","","91.67","11","12","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","95.89","280","292","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154041","BLOOMINGTON MEADOWS HOSPITAL","3600 N PROW RD","BLOOMINGTON","IN","47404","MONROE","Hours of physical-restraint use","0.28","39.21","5733","","0.80","34.44","1802","","0.06","3.73","2710","","0.04","1.04","1214","","0.00","0","7","","Hours of seclusion","0.12","16.68","5733","","0.34","14.59","1802","","0.02","1.62","2710","","0.02",".47","1214","","0.00","0","7","","Patients discharged on multiple antipsychotic medications","6.04","20","331","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","70.59","12","17","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00","542","542","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.63","540","542","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154047","MICHIANA BEHAVIORAL HEALTH CENTER","1800 N OAK RD","PLYMOUTH","IN","46563","MARSHALL","Hours of physical-restraint use","0.31","51.21","6786","","0.70","44.05","2612","","0.09","6.16","2781","","0.03","1","1358","","0.00","0","35","","Hours of seclusion","0.00","0","6786","","0.00","0","2612","","0.00","0","2781","","0.00","0","1358","","0.00","0","35","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.63","535","537","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.44","534","537","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"154050","NORTHEASTERN CENTER","1850 WESLEY RD","AUBURN","IN","46706","DE KALB","Hours of physical-restraint use","0.18","9.08","2139","","Not Available","0","0","7","Not Available","0","0","7","0.19","9.08","2040","","0.00","0","99","","Hours of seclusion","0.31","16","2139","","Not Available","0","0","7","Not Available","0","0","7","0.33","16","2040","","0.00","0","99","","Patients discharged on multiple antipsychotic medications","15.53","25","161","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00","161","161","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00","156","156","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
