Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PN-3b Performance Rate,PN-3b Achievement Points,PN-3b Improvement Points,PN-3b Measure Score,PN-6 Performance Rate,PN-6 Achievement Points,PN-6 Improvement Points,PN-6 Measure Score,PN Condition/Procedure Score
"100009","UNIVERSITY OF MIAMI HOSPITAL","1400 NW 12TH AVE","Miami","FL","33136","DADE","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"240207","FAIRVIEW RIDGES HOSPITAL","201 EAST NICOLLET BOULEVARD","Burnsville","MN","55337","DAKOTA","0.99620","8 out of 10","8 out of 9","8 out of 10","0.98765","7 out of 10","7 out of 9","7 out of 10","15"
"520095","SAUK PRAIRIE HOSPITAL","260 26TH STREET","Prairie Du Sac","WI","53578","SAUK","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"100206","MEMORIAL HOSPITAL OF TAMPA","2901 W SWANN AVE","Tampa","FL","33609","HILLSBOROUGH","0.99242","6 out of 10","0 out of 9","6 out of 10","0.97000","3 out of 10","0 out of 9","3 out of 10","9"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","Huntsville","AL","35801","MADISON","0.96970","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"230029","ST JOSEPH MERCY OAKLAND","44405 WOODWARD AVE","Pontiac","MI","48341","OAKLAND","0.98936","5 out of 10","0 out of 9","5 out of 10","0.99010","7 out of 10","8 out of 9","8 out of 10","13"
"360170","BERGER HOSPITAL","600 NORTH PICKAWAY STREET","Circleville","OH","43113","PICKAWAY","0.98925","5 out of 10","0 out of 9","5 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","15"
"060034","SWEDISH MEDICAL CENTER","501 E HAMPDEN AVENUE","Englewood","CO","801132702","ARAPAHOE","1.00000","10 out of 10","0 out of 9","10 out of 10","0.92754","0 out of 10","0 out of 9","0 out of 10","10"
"330202","KINGS COUNTY HOSPITAL CENTER","451 CLARKSON AVENUE","Brooklyn","NY","11203","KINGS","0.93491","0 out of 10","2 out of 9","2 out of 10","0.98802","7 out of 10","4 out of 9","7 out of 10","9"
"390304","ROXBOROUGH MEMORIAL HOSPITAL","5800 RIDGE AVE","Philadelphia","PA","19128","PHILADELPHIA","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"250057","KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN","P O BOX 948/427 HIGHWAY 51 NORTH","Brookhaven","MS","39601","LINCOLN","0.99259","6 out of 10","0 out of 9","6 out of 10","0.96875","3 out of 10","2 out of 9","3 out of 10","9"
"360080","EAST OHIO REGIONAL HOSPITAL","90 NORTH FOURTH STREET","Martins Ferry","OH","43935","BELMONT","0.94366","0 out of 10","0 out of 9","0 out of 10","0.91736","0 out of 10","2 out of 9","2 out of 10","2"
"320061","GALLUP INDIAN MEDICAL CENTER","516 E NIZHONI BLVD","Gallup","NM","87301","MCKINLEY","0.95833","0 out of 10","7 out of 9","7 out of 10","0.89362","0 out of 10","5 out of 9","5 out of 10","12"
"450352","HUNT REGIONAL MEDICAL CENTER","4215 JOE RAMSEY BLVD","Greenville","TX","75401","HUNT","0.98134","2 out of 10","0 out of 9","2 out of 10","0.95364","0 out of 10","0 out of 9","0 out of 10","2"
"310041","COMMUNITY MEDICAL CENTER","99 RT 37 WEST","Toms River","NJ","08755","OCEAN","0.93814","0 out of 10","0 out of 9","0 out of 10","0.96639","2 out of 10","0 out of 9","2 out of 10","2"
"240084","ESSENTIA HEALTH VIRGINIA","901 9TH STREET NORTH","Virginia","MN","55792","ST. LOUIS","0.88679","0 out of 10","0 out of 9","0 out of 10","0.89744","0 out of 10","0 out of 9","0 out of 10","0"
"310092","CAPITAL HEALTH SYSTEM-FULD CAMPUS","750 BRUNSWICK AVE","Trenton","NJ","08638","MERCER","0.99010","5 out of 10","2 out of 9","5 out of 10","0.97143","3 out of 10","1 out of 9","3 out of 10","8"
"050394","COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA","147 N BRENT ST","Ventura","CA","93003","VENTURA","0.95238","0 out of 10","0 out of 9","0 out of 10","0.96250","1 out of 10","2 out of 9","2 out of 10","2"
"320013","HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS","1397 WEIMER ROAD","Taos","NM","87571","TAOS","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98734","7 out of 10","6 out of 9","7 out of 10","17"
"330008","WYOMING COUNTY COMMUNITY HOSPITAL","400 NORTH MAIN STREET","Warsaw","NY","14569","WYOMING","0.98925","5 out of 10","8 out of 9","8 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","18"
"330078","SISTERS OF CHARITY HOSPITAL","2157 MAIN STREET","Buffalo","NY","14214","ERIE","0.99415","7 out of 10","6 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","17"
"050523","SUTTER DELTA MEDICAL CENTER","3901 LONE TREE WAY","Antioch","CA","94509","CONTRA COSTA","0.97802","1 out of 10","0 out of 9","1 out of 10","0.97368","4 out of 10","0 out of 9","4 out of 10","5"
"330028","RICHMOND UNIVERSITY MEDICAL CENTER","355 BARD AVENUE","Staten Island","NY","10310","RICHMOND","0.91852","0 out of 10","0 out of 9","0 out of 10","0.92593","0 out of 10","0 out of 9","0 out of 10","0"
"670056","SETON MEDICAL CENTER HAYS","6001 KYLE PKWY","Kyle","TX","78640","HAYS","0.98974","5 out of 10","6 out of 9","6 out of 10","0.91919","0 out of 10","0 out of 9","0 out of 10","6"
"370114","ST JOHN MEDICAL CENTER, INC","1923 SOUTH UTICA AVENUE","Tulsa","OK","74104","TULSA","0.96646","0 out of 10","0 out of 9","0 out of 10","0.93909","0 out of 10","3 out of 9","3 out of 10","3"
"340127","GRANVILLE HEALTH SYSTEMS","COLLEGE ST BOX 947","Oxford","NC","27565","GRANVILLE","0.91176","0 out of 10","0 out of 9","0 out of 10","0.89796","0 out of 10","0 out of 9","0 out of 10","0"
"360020","SUMMA HEALTH SYSTEMS HOSPITALS","525 EAST MARKET STREET","Akron","OH","44309","SUMMIT","0.99275","7 out of 10","9 out of 9","9 out of 10","0.98795","7 out of 10","5 out of 9","7 out of 10","16"
"370001","HILLCREST MEDICAL CENTER","1120 SOUTH UTICA AVENUE","Tulsa","OK","74104","TULSA","0.96863","0 out of 10","0 out of 9","0 out of 10","0.98496","6 out of 10","2 out of 9","6 out of 10","6"
"440063","JOHNSON CITY MEDICAL CENTER","400 N STATE OF FRANKLIN RD","Johnson City","TN","37604","WASHINGTON","0.97778","0 out of 10","7 out of 9","7 out of 10","0.95313","0 out of 10","3 out of 9","3 out of 10","10"
"050724","BAKERSFIELD HEART HOSPITAL","3001 SILLECT AVENUE","Bakersfield","CA","93308","KERN","0.93233","0 out of 10","0 out of 9","0 out of 10","0.95313","0 out of 10","0 out of 9","0 out of 10","0"
"070019","MILFORD HOSPITAL, INC","300 SEASIDE AVENUE","Milford","CT","06460","NEW HAVEN","0.95556","0 out of 10","3 out of 9","3 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","13"
"310024","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","865 STONE ST","Rahway","NJ","07065","UNION","0.98765","4 out of 10","5 out of 9","5 out of 10","0.96591","2 out of 10","4 out of 9","4 out of 10","9"
"140186","RIVERSIDE MEDICAL CENTER","350 N WALL ST","Kankakee","IL","60901","KANKAKEE","1.00000","10 out of 10","9 out of 9","10 out of 10","0.96552","2 out of 10","5 out of 9","5 out of 10","15"
"520136","WHEATON FRANCISCAN ST JOSEPH","5000 W CHAMBERS ST","Milwaukee","WI","53210","MILWAUKEE","0.99454","7 out of 10","2 out of 9","7 out of 10","0.99065","7 out of 10","0 out of 9","7 out of 10","14"
"260179","ST LUKES HOSPITAL","232 S WOODS MILL RD","Chesterfield","MO","63017","ST. LOUIS","0.99174","6 out of 10","5 out of 9","6 out of 10","0.95833","0 out of 10","3 out of 9","3 out of 10","9"
"360266","MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL","7333 SMITH'S MILL ROAD","New Albany","OH","43054","FRANKLIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450370","COLUMBUS COMMUNITY HOSPITAL","110 SHULT DR","Columbus","TX","78934","COLORADO","1.00000","10 out of 10","0 out of 9","10 out of 10","0.96429","2 out of 10","0 out of 9","2 out of 10","12"
"450801","CHRISTUS ST MICHAEL HEALTH SYSTEM","2600 ST MICHAEL DR","Texarkana","TX","75504","BOWIE","0.97698","0 out of 10","6 out of 9","6 out of 10","0.97464","4 out of 10","7 out of 9","7 out of 10","13"
"190263","HEART HOSPITAL OF LAFAYETTE","1105 KALISTE SALOOM ROAD","Lafayette","LA","70508","LAFAYETTE","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","10"
"040018","SUMMIT MEDICAL CENTER","EAST MAIN AND SOUTH 20TH STREET","Van Buren","AR","72957-0409","CRAWFORD","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"050110","LOMPOC VALLEY MEDICAL CENTER","1515 E OCEAN AVENUE","Lompoc","CA","93436","SANTA BARBARA","0.93750","0 out of 10","1 out of 9","1 out of 10","0.90789","0 out of 10","1 out of 9","1 out of 10","2"
"450825","CORNERSTONE REGIONAL HOSPITAL","2302 CORNERSTONE BOULEVARD","Edinburg","TX","78539","HIDALGO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450871","ARISE AUSTIN MEDICAL CENTER","3003 BEE CAVES ROAD","Austin","TX","78746","TRAVIS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500031","GRAYS HARBOR COMMUNITY HOSPITAL","915 ANDERSON DRIVE","Aberdeen","WA","98520","GRAYS HARBOR","0.93293","0 out of 10","0 out of 9","0 out of 10","0.87050","0 out of 10","0 out of 9","0 out of 10","0"
"360148","POMERENE HOSPITAL","981 WOOSTER ROAD","Millersburg","OH","44654","HOLMES","0.98913","5 out of 10","0 out of 9","5 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","15"
"190053","JENNINGS AMERICAN LEGION HOSPITAL","1634 ELTON ROAD","Jennings","LA","70546","JEFFERSON DAVIS","1.00000","10 out of 10","0 out of 9","10 out of 10","0.98851","7 out of 10","6 out of 9","7 out of 10","17"
"500021","ST CLARE HOSPITAL","11315 BRIDGEPORT WAY S W","Lakewood","WA","98499","PIERCE","0.98315","3 out of 10","0 out of 9","3 out of 10","0.96739","2 out of 10","0 out of 9","2 out of 10","5"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","Monroeville","AL","36460","MONROE","1.00000","10 out of 10","9 out of 9","10 out of 10","0.83871","0 out of 10","0 out of 9","0 out of 10","10"
"670047","SIERRA PROVIDENCE EAST MEDICAL CENTER","3280 JOE BATTLE BLVD","El Paso","TX","79938","EL PASO","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"330232","ST MARY'S HOSPITAL ( TROY )","1300 MASSACHUSETTS AVENUE","Troy","NY","12180","RENSSELAER","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97802","5 out of 10","3 out of 9","5 out of 10","15"
"520139","AURORA WEST ALLIS MEDICAL CENTER","8901 W LINCOLN AVE","West Allis","WI","53227","MILWAUKEE","0.99476","7 out of 10","0 out of 9","7 out of 10","0.99497","8 out of 10","8 out of 9","8 out of 10","15"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","Troy","AL","36081","PIKE","1.00000","10 out of 10","9 out of 9","10 out of 10","0.92857","0 out of 10","2 out of 9","2 out of 10","12"
"030131","OASIS HOSPITAL","750 NORTH 40TH STREET","Phoenix","AZ","85008","MARICOPA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330115","ONEIDA HEALTHCARE CENTER","321 GENESEE STREET","Oneida","NY","13421","MADISON","0.96078","0 out of 10","0 out of 9","0 out of 10","0.90196","0 out of 10","0 out of 9","0 out of 10","0"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","Little Rock","AR","72205","PULASKI","0.98969","5 out of 10","2 out of 9","5 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","15"
"310010","UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO","ONE-FIVE PLAINSBORO ROAD","Plainsboro","NJ","08536","MIDDLESEX","0.99379","7 out of 10","0 out of 9","7 out of 10","0.97872","5 out of 10","0 out of 9","5 out of 10","12"
"260180","CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST","11133 DUNN ROAD","Saint Louis","MO","63136-6119","ST. LOUIS","0.98953","5 out of 10","0 out of 9","5 out of 10","0.98795","7 out of 10","2 out of 9","7 out of 10","12"
"360133","GRANDVIEW HOSPITAL & MEDICAL CENTER","405 GRAND AVENUE","Dayton","OH","45405","MONTGOMERY","0.99153","6 out of 10","7 out of 9","7 out of 10","0.97368","4 out of 10","0 out of 9","4 out of 10","11"
"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","7400 EAST THOMPSON PEAK PARKWAY","Scottsdale","AZ","85255","MARICOPA","0.99265","7 out of 10","2 out of 9","7 out of 10","0.95294","0 out of 10","1 out of 9","1 out of 10","8"
"250072","MERIT HEALTH CENTRAL","1850 CHADWICK DR","Jackson","MS","39204","HINDS","1.00000","10 out of 10","0 out of 9","10 out of 10","0.97015","3 out of 10","0 out of 9","3 out of 10","13"
"050636","POMERADO HOSPITAL","15615 POMERADO ROAD","Poway","CA","92064","SAN DIEGO","0.98742","4 out of 10","8 out of 9","8 out of 10","0.99130","8 out of 10","6 out of 9","8 out of 10","16"
"100006","ORLANDO HEALTH","1414 KUHL AVE","Orlando","FL","32806","ORANGE","0.94444","0 out of 10","2 out of 9","2 out of 10","0.93117","0 out of 10","0 out of 9","0 out of 10","2"
"450099","PAMPA REGIONAL MEDICAL CENTER","1 MEDICAL PLAZA","Pampa","TX","79065","GRAY","0.96429","0 out of 10","0 out of 9","0 out of 10","0.97561","4 out of 10","3 out of 9","4 out of 10","4"
"370093","O U MEDICAL CENTER","700 NE 13TH STREET","Oklahoma City","OK","73104","OKLAHOMA","0.98556","4 out of 10","0 out of 9","4 out of 10","0.95902","0 out of 10","0 out of 9","0 out of 10","4"
"440067","LAKEWAY REGIONAL HOSPITAL","726 MCFARLAND ST","Morristown","TN","37814","HAMBLEN","0.99010","5 out of 10","0 out of 9","5 out of 10","0.96610","2 out of 10","0 out of 9","2 out of 10","7"
"360052","GOOD SAMARITAN HOSPITAL","2222 PHILADELPHIA DRIVE","Dayton","OH","45406","MONTGOMERY","0.98039","2 out of 10","4 out of 9","4 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","14"
"450662","VALLEY REGIONAL MEDICAL CENTER","100 A ALTON GLOOR","Brownsville","TX","78526","CAMERON","0.99432","7 out of 10","0 out of 9","7 out of 10","0.98058","5 out of 10","4 out of 9","5 out of 10","12"
"370091","SAINT FRANCIS HOSPITAL, INC","6161 SOUTH YALE","Tulsa","OK","74136","TULSA","0.97205","0 out of 10","0 out of 9","0 out of 10","0.92229","0 out of 10","1 out of 9","1 out of 10","1"
"360112","MERCY ST VINCENT MEDICAL CENTER","2213 CHERRY STREET","Toledo","OH","43608","LUCAS","0.98958","5 out of 10","6 out of 9","6 out of 10","0.96907","3 out of 10","0 out of 9","3 out of 10","9"
"410001","MEMORIAL HOSPITAL OF RHODE ISLAND","111 BREWSTER STREET","Pawtucket","RI","02860","PROVIDENCE","0.94595","0 out of 10","0 out of 9","0 out of 10","0.93651","0 out of 10","0 out of 9","0 out of 10","0"
"330136","MARY IMOGENE BASSETT HOSPITAL","ONE ATWELL ROAD","Cooperstown","NY","13326","OTSEGO","1.00000","10 out of 10","9 out of 9","10 out of 10","0.92105","0 out of 10","0 out of 9","0 out of 10","10"
"090011","MEDSTAR WASHINGTON HOSPITAL CENTER","110 IRVING ST NW","Washington","DC","20010","DISTRICT OF COLUMBIA","0.95050","0 out of 10","5 out of 9","5 out of 10","0.94928","0 out of 10","0 out of 9","0 out of 10","5"
"110115","ATLANTA MEDICAL CENTER","303 PARKWAY DR NE","Atlanta","GA","30312","FULTON","0.97619","0 out of 10","0 out of 9","0 out of 10","0.96954","3 out of 10","0 out of 9","3 out of 10","3"
"670012","HOUSTON ORTHOPEDIC AND SPINE HOSPITAL","5410 WEST LOOP SOUTH","Bellaire","TX","77401","HARRIS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"250138","MERIT HEALTH RIVER OAKS","1030 RIVER OAKS DRIVE","Jackson","MS","39208","RANKIN","1.00000","10 out of 10","0 out of 9","10 out of 10","0.98333","6 out of 10","0 out of 9","6 out of 10","16"
"200039","MAINEGENERAL MEDICAL CENTER","35 MEDICAL CENTER PARKWAY","Augusta","ME","04330","KENNEBEC","0.97792","1 out of 10","0 out of 9","1 out of 10","0.98805","7 out of 10","6 out of 9","7 out of 10","8"
"390081","DELAWARE COUNTY MEMORIAL HOSPITAL","501 NORTH LANSDOWNE AVE","Drexel Hill","PA","19026","DELAWARE","0.99457","7 out of 10","7 out of 9","7 out of 10","0.97368","4 out of 10","0 out of 9","4 out of 10","11"
"450193","ST LUKES EPISCOPAL HOSPITAL","6720 BERTNER","Houston","TX","77030","HARRIS","0.99324","7 out of 10","2 out of 9","7 out of 10","0.94186","0 out of 10","0 out of 9","0 out of 10","7"
"440228","SAINT FRANCIS BARTLETT MEDICAL CENTER","2986 KATE BOND RD","Bartlett","TN","38133","SHELBY","0.97238","0 out of 10","0 out of 9","0 out of 10","0.96183","1 out of 10","2 out of 9","2 out of 10","2"
"290051","SIERRA SURGERY HOSPITAL","1400 MEDICAL PKWY","Carson City","NV","89703","CARSON CITY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390201","POCONO MEDICAL CENTER","206 EAST BROWN STREET","East Stroudsburg","PA","18301","MONROE","0.98225","2 out of 10","7 out of 9","7 out of 10","0.94118","0 out of 10","1 out of 9","1 out of 10","8"
"510070","RALEIGH GENERAL HOSPITAL","1710 HARPER ROAD","Beckley","WV","25801","RALEIGH","0.97742","0 out of 10","0 out of 9","0 out of 10","0.99005","7 out of 10","4 out of 9","7 out of 10","7"
"450023","CITIZENS MEDICAL CENTER","2701 HOSPITAL DRIVE","Victoria","TX","77901","VICTORIA","0.97647","0 out of 10","3 out of 9","3 out of 10","0.96907","3 out of 10","6 out of 9","6 out of 10","9"
"450674","WOMANS HOSPITAL OF TEXAS,THE","7600 FANNIN","Houston","TX","77054","HARRIS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"110230","EMORY JOHNS CREEK HOSPITAL","6325 HOSPITAL PARKWAY","Johns Creek","GA","30097","CHATTOOGA","0.98026","1 out of 10","2 out of 9","2 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","12"
"450035","ST JOSEPH MEDICAL CENTER","1401 ST. JOSEPH PARKWAY","Houston","TX","77002","HARRIS","0.96429","0 out of 10","0 out of 9","0 out of 10","0.97600","4 out of 10","7 out of 9","7 out of 10","7"
"490007","SENTARA NORFOLK GENERAL HOSPITAL","600 GRESHAM DR","Norfolk","VA","23507","NORFOLK CITY","0.98394","3 out of 10","4 out of 9","4 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","14"
"450044","UT SOUTHWESTERN UNIVERSITY HOSPITAL ST PAUL","6201 HARRY HINES BLVD","Dallas","TX","75390","DALLAS","0.99130","6 out of 10","0 out of 9","6 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","16"
"240001","NORTH MEMORIAL MEDICAL CENTER","3300 OAKDALE NORTH","Robbinsdale","MN","55422","HENNEPIN","1.00000","10 out of 10","9 out of 9","10 out of 10","0.94667","0 out of 10","3 out of 9","3 out of 10","13"
"220052","SIGNATURE HEALTHCARE BROCKTON HOSPITAL","680 CENTER STREET","Brockton","MA","02302","PLYMOUTH","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99219","8 out of 10","0 out of 9","8 out of 10","18"
"050281","ALHAMBRA HOSPITAL MEDICAL CENTER","100 S RAYMOND AVE","Alhambra","CA","91801","LOS ANGELES","0.96947","0 out of 10","2 out of 9","2 out of 10","0.98667","7 out of 10","5 out of 9","7 out of 10","9"
"160067","COVENANT MEDICAL CENTER","3421 WEST NINTH STREET","Waterloo","IA","507025401","BLACK HAWK","0.98387","3 out of 10","0 out of 9","3 out of 10","0.92000","0 out of 10","1 out of 9","1 out of 10","4"
"220036","ST ELIZABETH'S MEDICAL CENTER","736 CAMBRIDGE STREET","Brighton","MA","02135","SUFFOLK","0.99000","5 out of 10","0 out of 9","5 out of 10","0.98529","6 out of 10","3 out of 9","6 out of 10","11"
"140223","ADVOCATE LUTHERAN GENERAL HOSPITAL","1775 DEMPSTER ST","Park Ridge","IL","60068","COOK","0.99270","7 out of 10","0 out of 9","7 out of 10","0.97143","3 out of 10","3 out of 9","3 out of 10","10"
"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","19829 NORTH 27TH AVENUE","Phoenix","AZ","850274002","MARICOPA","0.98026","1 out of 10","4 out of 9","4 out of 10","0.98198","6 out of 10","0 out of 9","6 out of 10","10"
"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE ST","Greenfield","IN","46140","HANCOCK","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98667","7 out of 10","7 out of 9","7 out of 10","17"
"340119","STANLY REGIONAL MEDICAL CENTER","301 YADKIN ST","Albemarle","NC","28001","STANLY","0.99479","7 out of 10","0 out of 9","7 out of 10","0.96296","1 out of 10","3 out of 9","3 out of 10","10"
"030094","ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","Glendale","AZ","853087101","MARICOPA","0.99430","7 out of 10","7 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","17"
"220126","NORWOOD HOSPITAL","800 WASHINGTON STREET","Norwood","MA","02062","NORFOLK","0.91736","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"050588","SAN DIMAS COMMUNITY HOSPITAL","1350 W COVINA BLVD","San Dimas","CA","91773","LOS ANGELES","0.96774","0 out of 10","0 out of 9","0 out of 10","0.91111","0 out of 10","1 out of 9","1 out of 10","1"
"230095","WEST BRANCH REGIONAL MEDICAL CENTER","2463 SOUTH M-30","West Branch","MI","48661","OGEMAW","0.90000","0 out of 10","0 out of 9","0 out of 10","0.68657","0 out of 10","0 out of 9","0 out of 10","0"
"110130","IRWIN COUNTY HOSPITAL","710 N IRWIN AVENUE","Ocilla","GA","31774","IRWIN","0.80000","0 out of 10","Not Available","0 out of 10","0.87500","0 out of 10","Not Available","0 out of 10","0"
"150175","THE HEART HOSPITAL AT DEACONESS GATEWAY LLC","4007 GATEWAY BLVD","Newburgh","IN","47630","WARRICK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100140","BAPTIST MEDICAL CENTER - NASSAU","1250 S 18TH ST","Fernandina Beach","FL","32034","NASSAU","0.98101","2 out of 10","1 out of 9","2 out of 10","0.98095","5 out of 10","2 out of 9","5 out of 10","7"
"110035","WELLSTAR KENNESTONE HOSPITAL","677 CHURCH STREET","Marietta","GA","30060","COBB","0.98824","5 out of 10","0 out of 9","5 out of 10","0.97509","4 out of 10","3 out of 9","4 out of 10","9"
"280040","THE NEBRASKA METHODIST HOSPITAL","8303 DODGE ST","Omaha","NE","68114","DOUGLAS","0.99531","8 out of 10","9 out of 9","9 out of 10","0.96599","2 out of 10","6 out of 9","6 out of 10","15"
"260034","BATES COUNTY MEMORIAL HOSPITAL","615 W NURSERY ST","Butler","MO","64730","BATES","0.93506","0 out of 10","0 out of 9","0 out of 10","0.95455","0 out of 10","8 out of 9","8 out of 10","8"
