Hospital_Name,Provider ID,State,Fiscal Year,Domain_1_Score,AHRQ_PSI_90_Score,Domain_1_Start_Date,Domain_1_End_Date,Domain_2_Score,CLABSI_Score,CAUTI_Score,Domain_2_Start_Date,Domain_2_End_Date,Total_HAC_Score,Footnotes
"MEDINA MEMORIAL HOSPITAL","330053","NY","2015","8.0000","8","07/01/2011","06/30/2013","6.0000","N/A","6","01/01/2012","12/31/2013","6.7000",""
"NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS","330055","NY","2015","3.0000","3","07/01/2011","06/30/2013","4.0000","4","4","01/01/2012","12/31/2013","3.6500",""
"BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","330056","NY","2015","9.0000","9","07/01/2011","06/30/2013","8.5000","9","8","01/01/2012","12/31/2013","8.6750",""
"ST PETER'S HOSPITAL","330057","NY","2015","2.0000","2","07/01/2011","06/30/2013","8.0000","8","8","01/01/2012","12/31/2013","5.9000",""
"GENEVA GENERAL HOSPITAL","330058","NY","2015","8.0000","8","07/01/2011","06/30/2013","3.0000","1","5","01/01/2012","12/31/2013","4.7500",""
"MONTEFIORE MEDICAL CENTER","330059","NY","2015","10.0000","10","07/01/2011","06/30/2013","6.5000","4","9","01/01/2012","12/31/2013","7.7250",""
"LAWRENCE HOSPITAL CENTER","330061","NY","2015","3.0000","3","07/01/2011","06/30/2013","8.0000","7","9","01/01/2012","12/31/2013","6.2500",""
"NIAGARA FALLS MEMORIAL MEDICAL CENTER","330065","NY","2015","1.0000","1","07/01/2011","06/30/2013","6.0000","8","4","01/01/2012","12/31/2013","4.2500",""
"F F THOMPSON HOSPITAL","330074","NY","2015","6.0000","6","07/01/2011","06/30/2013","5.0000","1","9","01/01/2012","12/31/2013","5.3500",""
"SISTERS OF CHARITY HOSPITAL","330078","NY","2015","1.0000","1","07/01/2011","06/30/2013","6.5000","8","5","01/01/2012","12/31/2013","4.5750",""
"MEADOWBROOK REHABILITATION HOSPITAL","170180","KS","2015","N/A","N/A","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","N/A",""
"KANSAS SURGERY & RECOVERY CENTER","170183","KS","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"SAINT LUKE'S SOUTH HOSPITAL","170185","KS","2015","3.0000","3","07/01/2011","06/30/2013","9.5000","10","9","01/01/2012","12/31/2013","7.2250",""
"KANSAS CITY ORTHOPAEDIC INSTITUTE","170188","KS","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"MANHATTAN SURGICAL HOSPITAL LLC","170190","KS","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"GREAT BEND REGIONAL HOSPITAL","170191","KS","2015","1.0000","1","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","1.0000",""
"ST ELIZABETH FT THOMAS","180001","KY","2015","4.0000","4","07/01/2011","06/30/2013","5.5000","5","6","01/01/2012","12/31/2013","4.9750",""
"MUHLENBERG COMMUNITY HOSPITAL","180004","KY","2015","10.0000","10","07/01/2011","06/30/2013","6.0000","N/A","6","01/01/2012","12/31/2013","7.4000",""
"HIGHLANDS REGIONAL MEDICAL CENTER","180005","KY","2015","10.0000","10","07/01/2011","06/30/2013","2.5000","4","1","01/01/2012","12/31/2013","5.1250",""
"SAINT JOSEPH HOSPITAL","180010","KY","2015","4.0000","4","07/01/2011","06/30/2013","4.0000","5","3","01/01/2012","12/31/2013","4.0000",""
"SAINT JOSEPH LONDON","180011","KY","2015","8.0000","8","07/01/2011","06/30/2013","2.5000","1","4","01/01/2012","12/31/2013","4.4250",""
"HARDIN MEMORIAL HOSPITAL","180012","KY","2015","3.0000","3","07/01/2011","06/30/2013","3.0000","3","3","01/01/2012","12/31/2013","3.0000",""
"THE MEDICAL CENTER AT BOWLING GREEN","180013","KY","2015","1.0000","1","07/01/2011","06/30/2013","6.0000","8","4","01/01/2012","12/31/2013","4.2500",""
"JEWISH HOSPITAL - SHELBYVILLE","180016","KY","2015","10.0000","10","07/01/2011","06/30/2013","4.0000","N/A","4","01/01/2012","12/31/2013","6.1000",""
"T J SAMSON COMMUNITY HOSPITAL","180017","KY","2015","1.0000","1","07/01/2011","06/30/2013","7.0000","N/A","7","01/01/2012","12/31/2013","4.9000",""
"ST CLAIRE REGIONAL MEDICAL CENTER","180018","KY","2015","9.0000","9","07/01/2011","06/30/2013","3.5000","5","2","01/01/2012","12/31/2013","5.4250",""
"MEADOWVIEW REGIONAL MEDICAL CENTER","180019","KY","2015","2.0000","2","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","1.3500",""
"MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT","180020","KY","2015","4.0000","4","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.0500",""
"PINEVILLE COMMUNITY HOSPITAL","180021","KY","2015","2.0000","2","07/01/2011","06/30/2013","3.5000","1","6","01/01/2012","12/31/2013","2.9750",""
"SPRING VIEW HOSPITAL","180024","KY","2015","5.0000","5","07/01/2011","06/30/2013","2.0000","N/A","2","01/01/2012","12/31/2013","3.0500",""
"FLAGET MEMORIAL HOSPITAL (MEMBER OF SAINT JOSEPH H","180025","KY","2015","4.0000","4","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.0500",""
"MURRAY-CALLOWAY COUNTY HOSPITAL","180027","KY","2015","1.0000","1","07/01/2011","06/30/2013","8.0000","10","6","01/01/2012","12/31/2013","5.5500",""
"HAZARD ARH REGIONAL MEDICAL CENTER","180029","KY","2015","2.0000","2","07/01/2011","06/30/2013","1.5000","1","2","01/01/2012","12/31/2013","1.6750",""
"ST ELIZABETH MEDICAL CENTER","180035","KY","2015","8.0000","8","07/01/2011","06/30/2013","6.5000","6","7","01/01/2012","12/31/2013","7.0250",""
"OUR LADY OF BELLEFONTE HOSPITAL","180036","KY","2015","8.0000","8","07/01/2011","06/30/2013","4.0000","6","2","01/01/2012","12/31/2013","5.4000",""
"OWENSBORO HEALTH REGIONAL HOSPITAL","180038","KY","2015","2.0000","2","07/01/2011","06/30/2013","6.5000","8","5","01/01/2012","12/31/2013","4.9250",""
"JEWISH HOSPITAL & ST MARY'S HEALTHCARE","180040","KY","2015","10.0000","10","07/01/2011","06/30/2013","9.0000","10","8","01/01/2012","12/31/2013","9.3500",""
"MEMORIAL HOSPITAL","180043","KY","2015","3.0000","3","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","1.7000",""
"BOURBON COMMUNITY HOSPITAL","180046","KY","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER","180048","KY","2015","4.0000","4","07/01/2011","06/30/2013","5.5000","1","10","01/01/2012","12/31/2013","4.9750",""
"BAPTIST HEALTH RICHMOND","180049","KY","2015","1.0000","1","07/01/2011","06/30/2013","3.5000","1","6","01/01/2012","12/31/2013","2.6250",""
"JENNIE STUART MEDICAL CENTER","180051","KY","2015","1.0000","1","07/01/2011","06/30/2013","10.0000","10","10","01/01/2012","12/31/2013","6.8500",""
"FLEMING COUNTY HOSPITAL","180053","KY","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"METHODIST HOSPITAL","180056","KY","2015","2.0000","2","07/01/2011","06/30/2013","6.5000","10","3","01/01/2012","12/31/2013","4.9250",""
"SAINT JOSEPH MOUNT STERLING","180064","KY","2015","10.0000","10","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","4.1500",""
"LOGAN MEMORIAL HOSPITAL","180066","KY","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"TUG VALLEY ARH REGIONAL MEDICAL CENTER","180069","KY","2015","4.0000","4","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.0500",""
"TWIN LAKES REGIONAL MEDICAL CENTER","180070","KY","2015","6.0000","6","07/01/2011","06/30/2013","5.0000","N/A","5","01/01/2012","12/31/2013","5.3500",""
"PAUL B HALL REGIONAL MEDICAL CENTER","180078","KY","2015","3.0000","3","07/01/2011","06/30/2013","3.0000","N/A","3","01/01/2012","12/31/2013","3.0000",""
"HARRISON MEMORIAL HOSPITAL","180079","KY","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"BAPTIST HEALTH CORBIN","180080","KY","2015","3.0000","3","07/01/2011","06/30/2013","9.0000","9","9","01/01/2012","12/31/2013","6.9000",""
"TAYLOR REGIONAL HOSPITAL","180087","KY","2015","6.0000","6","07/01/2011","06/30/2013","6.5000","10","3","01/01/2012","12/31/2013","6.3250",""
"CRITTENDEN HEALTH SYSTEM","180095","KY","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"BAPTIST HEALTH LEXINGTON","180103","KY","2015","2.0000","2","07/01/2011","06/30/2013","5.5000","2","9","01/01/2012","12/31/2013","4.2750",""
"BAPTIST HEALTH PADUCAH","180104","KY","2015","3.0000","3","07/01/2011","06/30/2013","9.0000","9","9","01/01/2012","12/31/2013","6.9000",""
"MONROE COUNTY MEDICAL CENTER","180105","KY","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"CLINTON COUNTY HOSPITAL, INC","180106","KY","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"CARY MEDICAL CENTER","200031","ME","2015","5.0000","5","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.4000",""
"EASTERN MAINE MEDICAL CENTER","200033","ME","2015","8.0000","8","07/01/2011","06/30/2013","8.0000","7","9","01/01/2012","12/31/2013","8.0000",""
"ST MARYS REGIONAL MEDICAL CENTER","200034","ME","2015","10.0000","10","07/01/2011","06/30/2013","7.5000","9","6","01/01/2012","12/31/2013","8.3750",""
"FRANKLIN MEMORIAL HOSPITAL","200037","ME","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"MAINEGENERAL MEDICAL CENTER","200039","ME","2015","10.0000","10","07/01/2011","06/30/2013","8.0000","6","10","01/01/2012","12/31/2013","8.7000",""
"INLAND HOSPITAL","200041","ME","2015","8.0000","8","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","8.0000",""
"MAINE COAST MEMORIAL HOSPITAL","200050","ME","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"NORTHERN MAINE MEDICAL CENTER","200052","ME","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"PENOBSCOT BAY MEDICAL CENTER","200063","ME","2015","1.0000","1","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","1.0000",""
"MERITUS MEDICAL CENTER","210001","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","7.0000","7","7","01/01/2012","12/31/2013","7.0000*",""
"UNIVERSITY OF MARYLAND MEDICAL CENTER","210002","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","8.5000","7","10","01/01/2012","12/31/2013","8.5000*",""
"HOLY CROSS HOSPITAL","210004","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","6.0000","7","5","01/01/2012","12/31/2013","6.0000*",""
"FREDERICK MEMORIAL HOSPITAL","210005","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","8.5000","7","10","01/01/2012","12/31/2013","8.5000*",""
"UNIVERSITY OF MARYLAND HARFORD MEMORIAL HOSPITAL","210006","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","7.5000","9","6","01/01/2012","12/31/2013","7.5000*",""
"MERCY MEDICAL CENTER INC","210008","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","6.0000","6","N/A","01/01/2012","12/31/2013","6.0000*",""
"JOHNS HOPKINS HOSPITAL, THE","210009","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","5.0000","5","N/A","01/01/2012","12/31/2013","5.0000*",""
"SAINT AGNES HOSPITAL","210011","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","4.5000","5","4","01/01/2012","12/31/2013","4.5000*",""
"SINAI HOSPITAL OF BALTIMORE","210012","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","9.5000","9","10","01/01/2012","12/31/2013","9.5000*",""
"BON SECOURS HOSPITAL","210013","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","7.5000","8","7","01/01/2012","12/31/2013","7.5000*",""
"ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL","210016","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","5.5000","6","5","01/01/2012","12/31/2013","5.5000*",""
"GARRETT COUNTY MEMORIAL HOSPITAL","210017","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","1.0000*",""
"MEDSTAR MONTGOMERY MEDICAL CENTER","210018","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","5.0000","4","6","01/01/2012","12/31/2013","5.0000*",""
"ANNE ARUNDEL MEDICAL CENTER","210023","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","N/A*",""
"MEDSTAR UNION MEMORIAL HOSPITAL","210024","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","2.5000","2","3","01/01/2012","12/31/2013","2.5000*",""
"WESTERN MARYLAND REGIONAL MEDICAL CENTER","210027","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","4.5000","3","6","01/01/2012","12/31/2013","4.5000*",""
"JOHNS HOPKINS BAYVIEW MEDICAL CENTER","210029","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","7.0000","6","8","01/01/2012","12/31/2013","7.0000*",""
"UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN","210030","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","9.0000","9","N/A","01/01/2012","12/31/2013","9.0000*",""
"CARROLL HOSPITAL CENTER","210033","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","3.5000","3","4","01/01/2012","12/31/2013","3.5000*",""
"MEDSTAR HARBOR HOSPITAL","210034","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","1.0000*",""
"UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON","210037","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","N/A*",""
"UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS","210038","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","2.0000","1","3","01/01/2012","12/31/2013","2.0000*",""
"CALVERT MEMORIAL HOSPITAL","210039","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","1.0000*",""
"NORTHWEST HOSPITAL CENTER","210040","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","7.0000","4","10","01/01/2012","12/31/2013","7.0000*",""
"UNIVERITY OF MD BALTO WASHINGTON  MEDICAL CENTER","210043","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","N/A*",""
"GREATER BALTIMORE MEDICAL CENTER","210044","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","6.5000","7","6","01/01/2012","12/31/2013","6.5000*",""
"EDWARD MCCREADY MEMORIAL HOSPITAL","210045","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","N/A*",""
"HOWARD COUNTY GENERAL HOSPITAL","210048","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","6.0000","6","N/A","01/01/2012","12/31/2013","6.0000*",""
"UNIVERSITY OF M D UPPER CHESAPEAKE MEDICAL CENTER","210049","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","6.5000","3","10","01/01/2012","12/31/2013","6.5000*",""
"DOCTORS'  COMMUNITY HOSPITAL","210051","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","3.0000","2","4","01/01/2012","12/31/2013","3.0000*",""
"LAUREL REGIONAL MEDICAL CENTER","210055","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","7.5000","10","5","01/01/2012","12/31/2013","7.5000*",""
"ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER","210057","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","6.5000","6","7","01/01/2012","12/31/2013","6.5000*",""
"UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE","210058","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","N/A*",""
"FORT WASHINGTON HOSPITAL","210060","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","1.0000*",""
"ATLANTIC GENERAL HOSPITAL","210061","MD","2015","N/A*","N/A*","07/01/2011","06/30/2013","9.0000","9","N/A","01/01/2012","12/31/2013","9.0000*",""
"HEALTHALLIANCE HOSPITALS, INC","220001","MA","2015","4.0000","4","07/01/2011","06/30/2013","4.5000","4","5","01/01/2012","12/31/2013","4.3250",""
"MOUNT AUBURN HOSPITAL","220002","MA","2015","10.0000","10","07/01/2011","06/30/2013","5.0000","3","7","01/01/2012","12/31/2013","6.7500",""
"STURDY MEMORIAL HOSPITAL","220008","MA","2015","8.0000","8","07/01/2011","06/30/2013","7.0000","6**","8","01/01/2012","12/31/2013","7.3500",""
"LAWRENCE GENERAL HOSPITAL","220010","MA","2015","5.0000","5","07/01/2011","06/30/2013","5.0000","4","6","01/01/2012","12/31/2013","5.0000",""
"CAMBRIDGE HEALTH ALLIANCE","220011","MA","2015","5.0000","5","07/01/2011","06/30/2013","4.0000","1","7","01/01/2012","12/31/2013","4.3500",""
"CAPE COD HOSPITAL","220012","MA","2015","2.0000","2","07/01/2011","06/30/2013","5.5000","2","9","01/01/2012","12/31/2013","4.2750",""
"COOLEY DICKINSON HOSPITAL INC,THE","220015","MA","2015","6.0000","6","07/01/2011","06/30/2013","7.0000","4","10","01/01/2012","12/31/2013","6.6500",""
"BAYSTATE FRANKLIN MEDICAL CENTER","220016","MA","2015","1.0000","1","07/01/2011","06/30/2013","10.0000","N/A","10","01/01/2012","12/31/2013","6.8500",""
"HARRINGTON MEMORIAL HOSPITAL","220019","MA","2015","5.0000","5","07/01/2011","06/30/2013","2.5000","1","4","01/01/2012","12/31/2013","3.3750",""
"SAINT ANNE'S HOSPITAL","220020","MA","2015","2.0000","2","07/01/2011","06/30/2013","3.5000","4","3","01/01/2012","12/31/2013","2.9750",""
"HOLYOKE MEDICAL CENTER","220024","MA","2015","10.0000","10","07/01/2011","06/30/2013","6.5000","10","3","01/01/2012","12/31/2013","7.7250",""
"BAYSTATE WING HOSPITAL AND MEDICAL CENTERS","220030","MA","2015","2.0000","2","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","1.3500",""
"BOSTON MEDICAL CENTER CORPORATION","220031","MA","2015","10.0000","10","07/01/2011","06/30/2013","5.5000","4","7","01/01/2012","12/31/2013","7.0750",""
"BEVERLY HOSPITAL CORPORATION","220033","MA","2015","2.0000","2","07/01/2011","06/30/2013","3.0000","5","1","01/01/2012","12/31/2013","2.6500",""
"NORTH SHORE MEDICAL CENTER","220035","MA","2015","8.0000","8","07/01/2011","06/30/2013","10.0000","10","10","01/01/2012","12/31/2013","9.3000",""
"BERKSHIRE MEDICAL CENTER INC","220046","MA","2015","2.0000","2","07/01/2011","06/30/2013","2.0000","1","3","01/01/2012","12/31/2013","2.0000",""
"MARLBOROUGH HOSPITAL","220049","MA","2015","2.0000","2","07/01/2011","06/30/2013","6.0000","7","5","01/01/2012","12/31/2013","4.6000",""
"BAYSTATE MARY LANE HOSPITAL","220050","MA","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"SIGNATURE HEALTHCARE BROCKTON HOSPITAL","220052","MA","2015","1.0000","1","07/01/2011","06/30/2013","4.5000","5","4","01/01/2012","12/31/2013","3.2750",""
"CLINTON HOSPITAL ASSOCIATION","220058","MA","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH","220060","MA","2015","9.0000","9","07/01/2011","06/30/2013","7.0000","9","5","01/01/2012","12/31/2013","7.7000",""
"ADCARE HOSPITAL OF WORCESTER INC","220062","MA","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"LOWELL GENERAL HOSPITAL","220063","MA","2015","1.0000","1","07/01/2011","06/30/2013","5.5000","7","4","01/01/2012","12/31/2013","3.9250",""
"NORTH OTTAWA COMMUNITY HEALTH CENTER","230174","MI","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"OAKWOOD HOSPITAL - SOUTHSHORE","230176","MI","2015","9.0000","9","07/01/2011","06/30/2013","9.5000","9","10","01/01/2012","12/31/2013","9.3250",""
"MIDMICHIGAN MEDICAL CENTER-CLARE","230180","MI","2015","10.0000","10","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","4.1500",""
"ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER","230195","MI","2015","6.0000","6","07/01/2011","06/30/2013","5.0000","4","6","01/01/2012","12/31/2013","5.3500",""
"MCLAREN OAKLAND","230207","MI","2015","7.0000","7","07/01/2011","06/30/2013","3.0000","3","3","01/01/2012","12/31/2013","4.4000",""
"CARSON CITY HOSPITAL","230208","MI","2015","10.0000","10","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","10.0000",""
"PORT HURON HOSPITAL","230216","MI","2015","4.0000","4","07/01/2011","06/30/2013","7.0000","9","5","01/01/2012","12/31/2013","5.9500",""
"MIDMICHIGAN MEDICAL CENTER-MIDLAND","230222","MI","2015","4.0000","4","07/01/2011","06/30/2013","3.0000","3","3","01/01/2012","12/31/2013","3.3500",""
"MCLAREN MACOMB","230227","MI","2015","9.0000","9","07/01/2011","06/30/2013","6.5000","3","10","01/01/2012","12/31/2013","7.3750",""
"EDWARD W SPARROW HOSPITAL","230230","MI","2015","2.0000","2","07/01/2011","06/30/2013","4.0000","3","5","01/01/2012","12/31/2013","3.3000",""
"METRO HEALTH HOSPITAL","230236","MI","2015","9.0000","9","07/01/2011","06/30/2013","3.5000","3","4","01/01/2012","12/31/2013","5.4250",""
"CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL","230239","MI","2015","4.0000","4","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","2.0500",""
"ST JOHN RIVER DISTRICT HOSPITAL","230241","MI","2015","5.0000","5","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.4000",""
"GARDEN CITY HOSPITAL","230244","MI","2015","5.0000","5","07/01/2011","06/30/2013","7.5000","10","5","01/01/2012","12/31/2013","6.6250",""
"CRITTENTON HOSPITAL MEDICAL CENTER","230254","MI","2015","9.0000","9","07/01/2011","06/30/2013","6.0000","6","6","01/01/2012","12/31/2013","7.0500",""
"SOUTHEAST MICHIGAN SURGICAL HOSPITAL","230264","MI","2015","7.0000","7","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","7.0000",""
