Provider_ID,Hospital_Name,Measure_ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Start_Date,End_Date
"010073","CLAY COUNTY HOSPITAL","OP-26","174","115","0","3","8","0","1","01/01/2013","12/31/2013"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","OP-26","1502","461","288","701","1319","661","1243","01/01/2013","12/31/2013"
"010079","ATHENS-LIMESTONE HOSPITAL","OP-26","1142","335","150","338","43","105","52","01/01/2013","12/31/2013"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","OP-26","3766","277","865","1614","2773","552","170","01/01/2013","12/31/2013"
"010085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","OP-26","1264","32","81","952","2377","1563","307","01/01/2013","12/31/2013"
"010086","NORTHWEST MEDICAL CENTER","OP-26","458","243","13","169","2059","44","71","01/01/2013","12/31/2013"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","OP-26","54","0","16","411","0","0","181","01/01/2013","12/31/2013"
"010089","WALKER BAPTIST MEDICAL CENTER","OP-26","3415","953","3524","695","20","385","61","01/01/2013","12/31/2013"
"010090","PROVIDENCE HOSPITAL","OP-26","4455","1171","1728","425","106","931","379","01/01/2013","12/31/2013"
"010091","GROVE HILL MEMORIAL HOSPITAL","OP-26","489","0","0","0","16","0","2","01/01/2013","12/31/2013"
"010092","D C H REGIONAL MEDICAL CENTER","OP-26","2978","96","8574","3147","23566","1139","2070","01/01/2013","12/31/2013"
"010095","HALE COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010097","ELMORE COMMUNITY HOSPITAL","OP-26","45","92","3","29","31","31","0","01/01/2013","12/31/2013"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","OP-26","258","0","6","33","43","19","39","01/01/2013","12/31/2013"
"010100","GULF HEALTH HOSPITALS, INC., D/B/A/THOMAS HOSPITAL","OP-26","1382","332","1469","1139","87","367","170","01/01/2013","12/31/2013"
"010101","CITIZENS BMC","OP-26","1949","450","522","91","57","61","16","01/01/2013","12/31/2013"
"010102","J PAUL JONES HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","OP-26","5601","1066","1544","503","253","165","432","01/01/2013","12/31/2013"
"010104","TRINITY MEDICAL CENTER","OP-26","1165","360","1720","1781","1237","847","205","01/01/2013","12/31/2013"
"010108","PRATTVILLE BAPTIST HOSPITAL","OP-26","1831","447","2","28","13","0","28","01/01/2013","12/31/2013"
"010109","PICKENS COUNTY MEDICAL CENTER","OP-26","50","0","0","1","11","0","1","01/01/2013","12/31/2013"
"010110","BULLOCK COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010112","BRYAN W WHITFIELD MEM HOSP INC","OP-26","513","157","87","121","238","99","21","01/01/2013","12/31/2013"
"010113","MOBILE INFIRMARY ASSOCIATION, D/B/A MOBILE INFIRMARY","OP-26","5002","197","4017","385","205","965","1091","01/01/2013","12/31/2013"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","OP-26","2376","922","666","371","653","117","804","01/01/2013","12/31/2013"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","OP-26","589","204","51","104","304","180","217","01/01/2013","12/31/2013"
"010120","MONROE COUNTY HOSPITAL","OP-26","954","31","0","6","9","0","0","01/01/2013","12/31/2013"
"010125","LAKELAND COMMUNITY HOSPITAL","OP-26","210","83","1","1","46","0","6","01/01/2013","12/31/2013"
"010126","TROY REGIONAL MEDICAL CENTER","OP-26","1404","0","240","103","468","73","20","01/01/2013","12/31/2013"
"010128","JACKSON MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010129","GULF HEALTH HOSPITALS, INC., D/B/A NORTH BALDWIN INFIRMARY","OP-26","447","115","157","52","37","19","27","01/01/2013","12/31/2013"
"010130","ST VINCENT'S ST CLAIR","OP-26","785","76","41","75","669","3","54","01/01/2013","12/31/2013"
"010131","CRESTWOOD MEDICAL CENTER","OP-26","4274","0","3091","1637","1845","385","38","01/01/2013","12/31/2013"
"010138","HILL HOSPITAL OF SUMTER COUNTY","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010139","BROOKWOOD MEDICAL CENTER","OP-26","2036","634","3987","2205","3823","1579","750","01/01/2013","12/31/2013"
"010144","SPRINGHILL MEDICAL CENTER","OP-26","3495","0","397","335","389","812","280","01/01/2013","12/31/2013"
"010146","RMC JACKSONVILLE","OP-26","326","109","0","183","63","59","0","01/01/2013","12/31/2013"
"010148","EVERGREEN MEDICAL CENTER","OP-26","179","2","46","2","0","0","0","01/01/2013","12/31/2013"
"010149","BAPTIST MEDICAL CENTER EAST","OP-26","4429","0","20","168","27","222","105","01/01/2013","12/31/2013"
"010150","L V STABLER MEMORIAL HOSPITAL","OP-26","511","0","29","177","402","0","2","01/01/2013","12/31/2013"
"010157","SHOALS HOSPITAL","OP-26","1805","0","33","198","24","18","0","01/01/2013","12/31/2013"
"010158","RUSSELLVILLE HOSPITAL","OP-26","461","155","155","188","57","5","17","01/01/2013","12/31/2013"
"010164","COOSA VALLEY MEDICAL CENTER","OP-26","562","403","6","431","672","159","65","01/01/2013","12/31/2013"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","OP-26","357","0","0","3231","0","0","0","01/01/2013","12/31/2013"
"010169","ATMORE COMMUNITY HOSPITAL","OP-26","506","0","45","3","11","6","12","01/01/2013","12/31/2013"
"011300","WASHINGTON COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"011302","RED BAY HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"011304","CHOCTAW GENERAL HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"011305","ST. VINCENT'S BLOUNT","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","OP-26","2890","642","16","268","304","386","85","01/01/2013","12/31/2013"
"020006","MAT-SU REGIONAL MEDICAL CENTER","OP-26","2826","404","0","298","120","199","382","01/01/2013","12/31/2013"
"020008","BARTLETT REGIONAL HOSPITAL","OP-26","720","40","86","259","3","129","12","01/01/2013","12/31/2013"
"020012","FAIRBANKS MEMORIAL HOSPITAL","OP-26","3792","604","1772","535","164","159","125","01/01/2013","12/31/2013"
"020017","ALASKA REGIONAL HOSPITAL","OP-26","1794","418","28","537","39","219","185","01/01/2013","12/31/2013"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","OP-26","937","177","461","382","15","82","39","01/01/2013","12/31/2013"
"020026","ALASKA NATIVE MEDICAL CENTER","OP-26","1453","913","574","2302","2246","461","152","01/01/2013","12/31/2013"
"021306","PROVIDENCE KODIAK ISLAND MEDICAL CENTER","OP-26","373","0","0","68","6","7","3","01/01/2013","12/31/2013"
"021311","PEACEHEALTH KETCHIKAN MEDICAL CENTER","OP-26","1122","13","137","254","33","59","16","01/01/2013","12/31/2013"
"021313","SOUTH PENINSULA HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"030001","MARYVALE HOSPITAL","OP-26","232","0","3","3","7","5","22","01/01/2013","12/31/2013"
"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","OP-26","2910","0","58","1026","2084","351","1360","01/01/2013","12/31/2013"
"030006","TUCSON MEDICAL CENTER","OP-26","1969","162","6154","2270","4288","1140","1444","01/01/2013","12/31/2013"
"030007","VERDE VALLEY MEDICAL CENTER","OP-26","2210","0","392","468","20","190","294","01/01/2013","12/31/2013"
"030010","CARONDELET ST  MARYS HOSPITAL","OP-26","3248","0","122","425","104","166","394","01/01/2013","12/31/2013"
"030011","CARONDELET ST JOSEPH'S HOSPITAL","OP-26","865","1187","184","753","209","454","229","01/01/2013","12/31/2013"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","OP-26","2331","0","45","150","26","197","65","01/01/2013","12/31/2013"
"030013","YUMA REGIONAL MEDICAL CENTER","OP-26","970","167","61","595","51","624","1346","01/01/2013","12/31/2013"
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","OP-26","1140","3","685","600","219","222","283","01/01/2013","12/31/2013"
"030016","BANNER CASA GRANDE MEDICAL CENTER","OP-26","962","0","0","1058","97","1388","38","01/01/2013","12/31/2013"
"030022","MARICOPA MEDICAL CENTER","OP-26","111","242","29","49","121","113","16","01/01/2013","12/31/2013"
"030023","FLAGSTAFF MEDICAL CENTER","OP-26","328","11","101","388","86","144","149","01/01/2013","12/31/2013"
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","OP-26","2295","0","70","263","297","1169","389","01/01/2013","12/31/2013"
"030030","PHOENIX BAPTIST HOSPITAL","OP-26","2226","0","441","1402","3607","205","892","01/01/2013","12/31/2013"
"030033","PAYSON REGIONAL MEDICAL CENTER","OP-26","970","196","382","123","437","25","61","01/01/2013","12/31/2013"
"030036","CHANDLER REGIONAL MEDICAL CENTER","OP-26","1784","0","87","377","5757","942","987","01/01/2013","12/31/2013"
"030037","ST LUKE'S MEDICAL CENTER","OP-26","989","1129","7079","1127","2041","10","505","01/01/2013","12/31/2013"
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","OP-26","2840","143","116","722","71","99","41","01/01/2013","12/31/2013"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER","OP-26","4071","0","0","347","18","120","34","01/01/2013","12/31/2013"
"030055","KINGMAN REGIONAL MEDICAL CENTER","OP-26","702","0","1659","1463","2006","38","643","01/01/2013","12/31/2013"
"030061","BANNER BOSWELL MEDICAL CENTER","OP-26","3591","0","352","1079","937","565","866","01/01/2013","12/31/2013"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","OP-26","1103","12","506","655","1492","222","279","01/01/2013","12/31/2013"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","OP-26","2656","118","334","6098","2266","1634","1394","01/01/2013","12/31/2013"
"030065","BANNER DESERT MEDICAL CENTER","OP-26","3417","0","411","882","468","513","909","01/01/2013","12/31/2013"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","OP-26","1160","0","6","491","43","8","16","01/01/2013","12/31/2013"
"030069","HAVASU REGIONAL MEDICAL CENTER","OP-26","1859","0","2263","1487","3815","198","334","01/01/2013","12/31/2013"
"030077","SAN CARLOS INDIAN HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"030083","PARADISE VALLEY HOSPITAL","OP-26","699","0","112","2209","2636","254","178","01/01/2013","12/31/2013"
"030085","NORTHWEST MEDICAL CENTER","OP-26","3304","211","394","2640","5034","499","331","01/01/2013","12/31/2013"
"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","OP-26","3097","0","192","1343","80","1402","45","01/01/2013","12/31/2013"
"030088","BANNER BAYWOOD MEDICAL CENTER","OP-26","2197","0","84","454","1711","476","686","01/01/2013","12/31/2013"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","OP-26","3882","0","50","1366","823","656","749","01/01/2013","12/31/2013"
"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","OP-26","3572","0","326","831","121","699","287","01/01/2013","12/31/2013"
"030093","BANNER DEL E WEBB MEDICAL CENTER","OP-26","3730","0","97","2048","147","693","435","01/01/2013","12/31/2013"
"030094","ARROWHEAD HOSPITAL","OP-26","1891","0","672","531","246","596","488","01/01/2013","12/31/2013"
"030101","WESTERN ARIZONA REGIONAL MEDICAL CENTER","OP-26","1671","0","184","246","1746","59","103","01/01/2013","12/31/2013"
"030103","MAYO CLINIC HOSPITAL","OP-26","3397","0","2336","1981","975","557","781","01/01/2013","12/31/2013"
"030105","BANNER HEART HOSPITAL","OP-26","3","0","0","0","2","0","457","01/01/2013","12/31/2013"
"030107","ARIZONA SPINE AND JOINT HOSPITAL","OP-26","0","0","0","400","0","0","0","01/01/2013","12/31/2013"
"030108","THE SURGICAL HOSPITAL OF PHOENIX","OP-26","105","0","191","325","6","0","1","01/01/2013","12/31/2013"
"030110","WEST VALLEY HOSPITAL","OP-26","2693","0","37","216","976","272","279","01/01/2013","12/31/2013"
"030111","UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE","OP-26","2105","145","15","348","73","147","9","01/01/2013","12/31/2013"
"030112","ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL","OP-26","0","0","0","2825","0","0","0","01/01/2013","12/31/2013"
"030114","ORO VALLEY HOSPITAL","OP-26","1822","64","79","366","26","278","188","01/01/2013","12/31/2013"
"030115","BANNER ESTRELLA MEDICAL CENTER","OP-26","2772","0","44","375","126","970","369","01/01/2013","12/31/2013"
"030117","VALLEY VIEW MEDICAL CENTER","OP-26","535","110","362","557","2080","125","142","01/01/2013","12/31/2013"
"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS","OP-26","10","0","12","282","9","34","29","01/01/2013","12/31/2013"
"030119","MERCY GILBERT MEDICAL CENTER","OP-26","1164","0","101","730","68","428","373","01/01/2013","12/31/2013"
"030120","GILBERT HOSPITAL","OP-26","7","0","0","2","0","0","0","01/01/2013","12/31/2013"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","OP-26","1752","153","358","973","806","486","298","01/01/2013","12/31/2013"
"030122","BANNER GATEWAY MEDICAL CENTER","OP-26","1823","0","26","188","301","481","575","01/01/2013","12/31/2013"
"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","OP-26","1574","0","7","134","14","254","9","01/01/2013","12/31/2013"
"030130","BANNER IRONWOOD MEDICAL CENTER","OP-26","768","0","4","173","26","72","18","01/01/2013","12/31/2013"
"030131","OASIS HOSPITAL","OP-26","0","0","0","681","0","0","0","01/01/2013","12/31/2013"
"030132","FLORENCE HOSPITAL AT ANTHEM, LLC","OP-26","14","0","0","0","0","21","0","01/01/2013","12/31/2013"
"030134","BANNER GOLDFIELD MEDICAL CENTER","OP-26","2","0","0","0","1","1","8","01/01/2013","12/31/2013"
"031300","WICKENBURG COMMUNITY HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"031304","PAGE HOSPITAL","OP-26","264","0","167","16","8","12","16","01/01/2013","12/31/2013"
"031309","SAGE MEMORIAL HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"031313","CARONDELET HOLY CROSS HOSPITAL","OP-26","516","0","0","2","2","38","0","01/01/2013","12/31/2013"
"031314","COBRE VALLEY REGIONAL MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"031315","WHITE MOUNTAIN REGIONAL MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"040001","SILOAM SPRINGS REGIONAL HOSPITAL","OP-26","541","446","6","65","5","2","9","01/01/2013","12/31/2013"
"040002","JOHNSON REGIONAL MEDICAL CENTER","OP-26","642","86","80","20","13","120","43","01/01/2013","12/31/2013"
"040004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","OP-26","1135","0","230","1381","3073","369","1497","01/01/2013","12/31/2013"
"040007","ST VINCENT INFIRMARY MEDICAL CENTER","OP-26","754","0","364","532","3594","1275","1090","01/01/2013","12/31/2013"
"040010","MERCY HOSPITAL NORTHWEST ARKANSAS","OP-26","6443","0","5456","734","5050","603","766","01/01/2013","12/31/2013"
"040011","CHAMBERS MEMORIAL HOSPITAL","OP-26","479","506","0","12","331","0","0","01/01/2013","12/31/2013"
"040014","WHITE COUNTY MEDICAL CENTER","OP-26","747","0","104","259","53","267","111","01/01/2013","12/31/2013"
"040015","MENA REGIONAL HEALTH SYSTEM","OP-26","519","203","0","45","14","61","7","01/01/2013","12/31/2013"
"040016","UAMS MEDICAL CENTER","OP-26","1671","740","133","767","104","416","50","01/01/2013","12/31/2013"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","OP-26","70","0","0","885","45","180","0","01/01/2013","12/31/2013"
"040018","SUMMIT MEDICAL CENTER","OP-26","0","0","0","28","237","37","0","01/01/2013","12/31/2013"
"040019","FORREST CITY MEDICAL CENTER","OP-26","257","0","8","10","14","21","7","01/01/2013","12/31/2013"
"040020","ST BERNARDS MEDICAL CENTER","OP-26","1392","0","298","831","7159","819","1075","01/01/2013","12/31/2013"
"040022","NORTHWEST MEDICAL CENTER-SPRINGDALE","OP-26","2356","56","515","1090","2388","433","319","01/01/2013","12/31/2013"
"040026","ST VINCENT HOT SPRINGS","OP-26","2632","1794","338","834","101","909","527","01/01/2013","12/31/2013"
"040027","BAXTER REGIONAL MEDICAL CENTER","OP-26","700","50","50","500","50","150","350","01/01/2013","12/31/2013"
"040029","CONWAY REGIONAL MEDICAL CENTER","OP-26","1320","729","786","768","121","509","343","01/01/2013","12/31/2013"
"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","OP-26","757","0","56","872","2520","589","695","01/01/2013","12/31/2013"
"040039","ARKANSAS METHODIST MEDICAL CENTER","OP-26","964","72","186","23","13","78","85","01/01/2013","12/31/2013"
"040041","ST MARYS REGIONAL MEDICAL CENTER","OP-26","1797","314","0","667","0","197","1048","01/01/2013","12/31/2013"
"040047","FIVE RIVERS MEDICAL CENTER","OP-26","452","0","0","86","16","0","10","01/01/2013","12/31/2013"
"040050","OUACHITA COUNTY MEDICAL CENTER","OP-26","414","429","170","20","30","174","18","01/01/2013","12/31/2013"
"040051","DREW MEMORIAL HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"040055","SPARKS REGIONAL MEDICAL CENTER","OP-26","345","0","141","120","3048","81","902","01/01/2013","12/31/2013"
"040062","MERCY HOSPITAL FORT SMITH","OP-26","221","250","6219","1412","2536","254","365","01/01/2013","12/31/2013"
"040067","MAGNOLIA REGIONAL MEDICAL CENTER","OP-26","37","412","0","109","12","0","6","01/01/2013","12/31/2013"
"040069","GREAT RIVER MEDICAL CENTER","OP-26","329","0","121","15","12","180","10","01/01/2013","12/31/2013"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","OP-26","301","0","58","255","1018","159","158","01/01/2013","12/31/2013"
"040072","BAPTIST HEALTH MEDICAL CENTER - STUTTGART","OP-26","200","89","16","47","50","60","4","01/01/2013","12/31/2013"
"040074","NORTH METRO MEDICAL CENTER","OP-26","18","0","82","62","7","24","5","01/01/2013","12/31/2013"
"040076","BAPTIST HEALTH MEDICAL CENTER - HOT SPRING CO","OP-26","241","0","0","1","25","3","5","01/01/2013","12/31/2013"
"040078","NATIONAL PARK MEDICAL CENTER","OP-26","800","0","173","497","88","62","515","01/01/2013","12/31/2013"
"040080","HARRIS HOSPITAL INC","OP-26","173","50","0","9","20","28","3","01/01/2013","12/31/2013"
"040084","SALINE MEMORIAL HOSPITAL","OP-26","77","546","312","353","471","22","26","01/01/2013","12/31/2013"
"040085","HELENA REGIONAL MEDICAL CENTER","OP-26","129","22","0","0","9","1","5","01/01/2013","12/31/2013"
"040088","MEDICAL CENTER SOUTH ARKANSAS","OP-26","244","194","282","134","754","155","266","01/01/2013","12/31/2013"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","OP-26","1024","611","644","1547","1006","986","1454","01/01/2013","12/31/2013"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","OP-26","1114","196","1078","1131","1458","148","392","01/01/2013","12/31/2013"
"040119","WHITE RIVER MEDICAL CENTER","OP-26","2795","0","6712","3760","1676","1172","778","01/01/2013","12/31/2013"
"040132","LEVI HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"040134","ARKANSAS HEART HOSPITAL, LLC","OP-26","98","0","0","0","4","3","254","01/01/2013","12/31/2013"
"040137","ST VINCENT MEDICAL CENTER NORTH","OP-26","98","0","123","99","4","39","32","01/01/2013","12/31/2013"
"040147","ARKANSAS SURGICAL HOSPITAL","OP-26","0","0","42","24","45","0","48","01/01/2013","12/31/2013"
"040152","PHYSICIANS' SPECIALTY HOSPITAL","OP-26","128","0","0","1748","0","110","0","01/01/2013","12/31/2013"
"040153","WADLEY REGIONAL MEDICAL CENTER AT HOPE","OP-26","29","0","1","58","414","0","0","01/01/2013","12/31/2013"
"041302","RIVER VALLEY MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"041307","CROSSRIDGE COMMUNITY HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"041308","MCGEHEE HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"041310","STONE COUNTY MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"041311","HOWARD MEMORIAL HOSPITAL","OP-26","478","660","0","57","793","99","17","01/01/2013","12/31/2013"
"041312","BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS","OP-26","632","209","16","90","29","10","23","01/01/2013","12/31/2013"
"041313","OZARK HEALTH","OP-26","2","0","0","0","0","8","0","01/01/2013","12/31/2013"
"041321","BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA","OP-26","94","372","18","66","384","2","0","01/01/2013","12/31/2013"
"041323","ASHLEY COUNTY MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"041327","BRADLEY COUNTY MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"041328","CHICOT MEMORIAL MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"041329","MERCY HOSPITAL BERRYVILLE","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"041331","OZARKS COMMUNITY HOSPITAL OF GRAVETTE","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"050002","ST ROSE HOSPITAL","OP-26","477","0","109","404","904","98","123","01/01/2013","12/31/2013"
"050006","ST JOSEPH HOSPITAL","OP-26","1699","30","1337","646","60","307","490","01/01/2013","12/31/2013"
