Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,AMI-7a Performance Rate,AMI-7a Achievement Points,AMI-7a Improvement Points,AMI-7a Measure Score,AMI-8a Performance Rate,AMI-8a Achievement Points,AMI-8a Improvement Points,AMI-8a Measure Score,AMI Condition/Procedure Score
"510007","ST MARY'S MEDICAL CENTER","2900 1ST AVENUE","Huntington","WV","25702","CABELL","Not Available","Not Available","Not Available","Not Available","0.94118","0 out of 10","0 out of 9","0 out of 10","0"
"340014","NOVANT HEALTH FORSYTH MEDICAL CENTER","3333 SILAS CREEK PARKWAY","Winston-Salem","NC","27103","FORSYTH","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"110095","TIFT REGIONAL MEDICAL CENTER","901 E 18TH STREET","Tifton","GA","31793","TIFT","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"040026","MERCY HOSPITAL HOT SPRINGS","300 WERNER STREET","Hot Springs","AR","71903","GARLAND","Not Available","Not Available","Not Available","Not Available","0.98214","6 out of 10","9 out of 9","9 out of 10","9"
"110043","ST JOSEPH'S HOSPITAL - SAVANNAH","11705 MERCY BOULEVARD","Savannah","GA","31419","CHATHAM","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"330353","FOREST HILLS HOSPITAL","102 - 01 66TH ROAD","Forest Hills","NY","11375","QUEENS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450011","ST JOSEPH REGIONAL HEALTH CENTER","2801 FRANCISCAN DR","Bryan","TX","77802","BRAZOS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"330399","ST BARNABAS HOSPITAL","4422 THIRD AVENUE","Bronx","NY","10457","BRONX","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"330268","COBLESKILL REGIONAL HOSPITAL","178 GRANDVIEW DRIVE","Cobleskill","NY","12043","SCHOHARIE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390042","WASHINGTON HOSPITAL, THE","155 WILSON AVENUE","Washington","PA","15301","WASHINGTON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"140002","ALTON MEMORIAL HOSPITAL","ONE MEMORIAL DRIVE","Alton","IL","62002","MADISON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","Foley","AL","36535","BALDWIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"180066","LOGAN MEMORIAL HOSPITAL","1625 NASHVILLE STREET","Russellville","KY","42276","LOGAN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"190145","LASALLE GENERAL HOSPITAL","187 NINTH ST/HWY 84 WEST","Jena","LA","71342","LA SALLE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"060016","CENTURA HEALTH-ST THOMAS MORE HOSPITAL","1338 PHAY AVE","Canon City","CO","81212","FREMONT","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"230029","ST JOSEPH MERCY OAKLAND","44405 WOODWARD AVE","Pontiac","MI","48341","OAKLAND","Not Available","Not Available","Not Available","Not Available","0.98630","7 out of 10","8 out of 9","8 out of 10","8"
"100072","FLORIDA HOSPITAL FISH MEMORIAL","1055 SAXON BLVD","Orange City","FL","32763","VOLUSIA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360058","MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL","800 WEST MAIN STREET","Coldwater","OH","45828","MERCER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100086","BROWARD HEALTH NORTH","201 E SAMPLE RD","Deerfield Beach","FL","33064","BROWARD","Not Available","Not Available","Not Available","Not Available","0.91304","0 out of 10","Not Available","0 out of 10","0"
"390133","LEHIGH VALLEY HOSPITAL","1200 SOUTH CEDAR CREST BOULVARD","Allentown","PA","18105","LEHIGH","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"460017","BRIGHAM CITY COMMUNITY HOSPITAL","950 SOUTH MEDICAL DRIVE","Brigham City","UT","84302","BOX ELDER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"250049","BEACHAM MEMORIAL HOSPITAL","205 N CHERRY ST","Magnolia","MS","39652","PIKE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"150133","KOSCIUSKO COMMUNITY HOSPITAL","2101 E DUBOIS DR","Warsaw","IN","46580","KOSCIUSKO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"160013","TRINITY MUSCATINE","1518 MULBERRY AVENUE","Muscatine","IA","52761","MUSCATINE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360011","MARION GENERAL HOSPITAL","1000 MCKINLEY PARK DRIVE","Marion","OH","43302","MARION","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"160122","FORT MADISON COMMUNITY HOSPITAL","5445 AVE O","Fort Madison","IA","52627","LEE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360080","EAST OHIO REGIONAL HOSPITAL","90 NORTH FOURTH STREET","Martins Ferry","OH","43935","BELMONT","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"380014","GOOD SAMARITAN REGIONAL MEDICAL CENTER","3600 NW SAMARITAN DRIVE","Corvallis","OR","97339","BENTON","Not Available","Not Available","Not Available","Not Available","0.97368","4 out of 10","7 out of 9","7 out of 10","7"
"260020","MERCY HOSPITAL ST LOUIS","615 NEW BALLAS ROAD","Saint Louis","MO","63141-8221","ST. LOUIS","Not Available","Not Available","Not Available","Not Available","0.97674","5 out of 10","8 out of 9","8 out of 10","8"
"160024","IOWA LUTHERAN HOSPITAL","700 EAST UNIVERSITY AVENUE","Des Moines","IA","50316","POLK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"320061","GALLUP INDIAN MEDICAL CENTER","516 E NIZHONI BLVD","Gallup","NM","87301","MCKINLEY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450018","UNIVERSITY OF TEXAS MEDICAL BRANCH GAL","301 UNIVERSITY BOULEVARD","Galveston","TX","77555","GALVESTON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"330223","MASSENA MEMORIAL HOSPITAL","1 HOSPITAL DRIVE","Massena","NY","13662","ST. LAWRENCE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"140182","ADVOCATE ILLINOIS MASONIC MEDICAL CENTER","836 WEST WELLINGTON AVENUE","Chicago","IL","60657","COOK","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"320013","HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS","1397 WEIMER ROAD","Taos","NM","87571","TAOS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"190045","ST TAMMANY PARISH HOSPITAL","1202 S TYLER STREET","Covington","LA","70433","ST. TAMMANY","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"100315","VIERA HOSPITAL","8745 N WICKHAM RD","Melbourne","FL","32940","BREVARD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"190164","BYRD REGIONAL HOSPITAL","1020 FERTITTA BLVD","Leesville","LA","71446","VERNON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"110183","EMORY-ADVENTIST HOSPITAL","3949 SOUTH COBB DRIVE","Smyrna","GA","30080","COBB","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500108","ST JOSEPH MEDICAL CENTER","1717 SOUTH J STREET","Tacoma","WA","98405","PIERCE","Not Available","Not Available","Not Available","Not Available","0.95082","0 out of 10","5 out of 9","5 out of 10","5"
"180124","GREENVIEW REGIONAL HOSPITAL","1801 ASHLEY CIRCLE","Bowling Green","KY","42104","WARREN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"140211","DELNOR COMMUNITY HOSPITAL","300 RANDALL RD","Geneva","IL","60134","KANE","Not Available","Not Available","Not Available","Not Available","0.95455","1 out of 10","0 out of 9","1 out of 10","1"
"360098","LAKE HEALTH","7590 AUBURN ROAD","Concord","OH","44077","LAKE","Not Available","Not Available","Not Available","Not Available","0.98361","6 out of 10","6 out of 9","6 out of 10","6"
"360109","COSHOCTON COUNTY MEMORIAL HOSPITAL","1460 ORANGE STREET","Coshocton","OH","43812","COSHOCTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"310024","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","865 STONE ST","Rahway","NJ","07065","UNION","Not Available","Not Available","Not Available","Not Available","0.92857","0 out of 10","Not Available","0 out of 10","0"
"320085","MOUNTAIN VIEW REGIONAL MEDICAL CENTER","4311 EAST LOHMAN AVENUE","Las Cruces","NM","88011","DONA ANA","Not Available","Not Available","Not Available","Not Available","0.92308","0 out of 10","5 out of 9","5 out of 10","5"
"050060","COMMUNITY REGIONAL MEDICAL CENTER","2823 FRESNO STREET","Fresno","CA","93721","FRESNO","Not Available","Not Available","Not Available","Not Available","0.96721","3 out of 10","7 out of 9","7 out of 10","7"
"260179","ST LUKES HOSPITAL","232 S WOODS MILL RD","Chesterfield","MO","63017","ST. LOUIS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"390223","PENN PRESBYTERIAN MEDICAL CENTER","51 NORTH 39TH STREET","Philadelphia","PA","19104","PHILADELPHIA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"160029","MERCY HOSPITAL","500 E MARKET STREET","Iowa City","IA","52245","JOHNSON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"360266","MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL","7333 SMITH'S MILL ROAD","New Albany","OH","43054","FRANKLIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100168","BOCA RATON REGIONAL HOSPITAL","800 MEADOWS RD","Boca Raton","FL","33486","PALM BEACH","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"450890","BAYLOR REGIONAL MEDICAL CENTER AT PLANO","4700 ALLIANCE BOULEVARD","Plano","TX","75093","COLLIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450370","COLUMBUS COMMUNITY HOSPITAL","110 SHULT DR","Columbus","TX","78934","COLORADO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050132","SAN GABRIEL VALLEY MEDICAL CENTER","438 W LAS TUNAS DRIVE","San Gabriel","CA","91776","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"510022","CHARLESTON AREA MEDICAL CENTER","501 MORRIS STREET","Charleston","WV","25301","KANAWHA","Not Available","Not Available","Not Available","Not Available","0.90000","0 out of 10","5 out of 9","5 out of 10","5"
"450634","DENTON REGIONAL MEDICAL CENTER","3535 SOUTH I35 EAST","Denton","TX","76210","DENTON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"390222","RIDDLE MEMORIAL HOSPITAL","1068 WEST BALTIMORE PIKE","Media","PA","19063","DELAWARE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"450825","CORNERSTONE REGIONAL HOSPITAL","2302 CORNERSTONE BOULEVARD","Edinburg","TX","78539","HIDALGO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450871","ARISE AUSTIN MEDICAL CENTER","3003 BEE CAVES ROAD","Austin","TX","78746","TRAVIS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330394","UNITED HEALTH SERVICES HOSPITALS, INC","33-57 HARRISON STREET","Johnson City","NY","13790","BROOME","Not Available","Not Available","Not Available","Not Available","0.96053","2 out of 10","6 out of 9","6 out of 10","6"
"330261","PHELPS MEMORIAL HOSPITAL ASSN","701 NORTH BROADWAY","Sleepy Hollow","NY","10591","WESTCHESTER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360148","POMERENE HOSPITAL","981 WOOSTER ROAD","Millersburg","OH","44654","HOLMES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330103","OLEAN GENERAL HOSPITAL","515 MAIN STREET","Olean","NY","14760","CATTARAUGUS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"120005","HILO MEDICAL CENTER","1190 WAIANUENUE AVENUE","Hilo","HI","96720","HAWAII","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"190050","BEAUREGARD MEMORIAL HOSPITAL","600 S PINE STREET","Deridder","LA","70634","BEAUREGARD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050047","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET","San Francisco","CA","94115","SAN FRANCISCO","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"450469","WILSON N JONES REGIONAL MEDICAL CENTER","500 N HIGHLAND AVENUE","Sherman","TX","75091","GRAYSON","Not Available","Not Available","Not Available","Not Available","0.94737","0 out of 10","2 out of 9","2 out of 10","2"
"390019","PALMERTON HOSPITAL","135 LAFAYETTE AVENUE","Palmerton","PA","18071","CARBON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030131","OASIS HOSPITAL","750 NORTH 40TH STREET","Phoenix","AZ","85008","MARICOPA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"420087","ROPER HOSPITAL","316 CALHOUN ST","Charleston","SC","29401","CHARLESTON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"110083","PIEDMONT HOSPITAL","1968 PEACHTREE RD NW","Atlanta","GA","30309","FULTON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"050739","CENTINELA HOSPITAL MEDICAL CENTER","555 EAST HARDY STREET","Inglewood","CA","90301","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050686","KAISER FOUNDATION HOSPITAL, RIVERSIDE","10800 MAGNOLIA AVENUE","Riverside","CA","92505","RIVERSIDE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"060006","MONTROSE MEMORIAL HOSPITAL","800 S 3RD ST","Montrose","CO","81401","MONTROSE","Not Available","Not Available","Not Available","Not Available","0.94118","0 out of 10","5 out of 9","5 out of 10","5"
"440061","VOLUNTEER COMMUNITY HOSPITAL","161 MOUNT PELIA RD","Martin","TN","38237","WEAKLEY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"070004","SHARON HOSPITAL","50 HOSPITAL HILL ROAD, PO BOX 789","Sharon","CT","06069","LITCHFIELD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"180013","THE MEDICAL CENTER AT BOWLING GREEN","250 PARK STREET","Bowling Green","KY","42101","WARREN","Not Available","Not Available","Not Available","Not Available","0.97143","4 out of 10","7 out of 9","7 out of 10","7"
"450669","MEDICAL CENTER OF LEWISVILLE","500 WEST MAIN STREET","Lewisville","TX","75057","DENTON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"420004","MUSC MEDICAL CENTER","169 ASHLEY AVE","Charleston","SC","29425","CHARLESTON","Not Available","Not Available","Not Available","Not Available","0.97727","5 out of 10","7 out of 9","7 out of 10","7"
"410001","MEMORIAL HOSPITAL OF RHODE ISLAND","111 BREWSTER STREET","Pawtucket","RI","02860","PROVIDENCE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"060114","PARKER ADVENTIST HOSPITAL","9395 CROWN CREST BLVD","Parker","CO","80138","DOUGLAS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"100211","BAYFRONT HEALTH DADE CITY","13100 FT KING RD","Dade City","FL","33525","PASCO","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"670012","HOUSTON ORTHOPEDIC AND SPINE HOSPITAL","5410 WEST LOOP SOUTH","Bellaire","TX","77401","HARRIS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"250138","MERIT HEALTH RIVER OAKS","1030 RIVER OAKS DRIVE","Jackson","MS","39208","RANKIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100189","NORTHWEST MEDICAL CENTER","2801 N STATE RD 7","Margate","FL","33063","BROWARD","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"340120","VIDANT DUPLIN  HOSPITAL","401 N MAIN ST","Kenansville","NC","28349","DUPLIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450584","WILBARGER GENERAL HOSPITAL","920 HILLCREST DR","Vernon","TX","76384","WILBARGER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050454","UCSF MEDICAL CENTER","505 PARNASSUS AVE, BOX 0296","San Francisco","CA","94143","SAN FRANCISCO","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"360064","ST ELIZABETH HEALTH CENTER","1044 BELMONT AVENUE","Youngstown","OH","44501","MAHONING","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"450085","GRAHAM REGIONAL MEDICAL CENTER","1301 MONTGOMERY ROAD","Graham","TX","76450","YOUNG","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"380009","OHSU HOSPITAL AND CLINICS","3181 SW SAM JACKSON PARK ROAD","Portland","OR","97239","MULTNOMAH","Not Available","Not Available","Not Available","Not Available","0.95652","1 out of 10","6 out of 9","6 out of 10","6"
"450580","EAST TEXAS MEDICAL CENTER CROCKETT","1100 LOOP 304 EAST","Crockett","TX","75835","HOUSTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"340091","MOSES H CONE MEMORIAL HOSPITAL, THE","1200 N ELM ST","Greensboro","NC","27401","GUILFORD","Not Available","Not Available","Not Available","Not Available","0.99270","8 out of 10","8 out of 9","8 out of 10","8"
"340015","NOVANT HEALTH ROWAN MEDICAL CENTER","612 MOCKSVILLE AVE","Salisbury","NC","28144","ROWAN","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"340024","SAMPSON REGIONAL MEDICAL CENTER","607 BEAMAN ST","Clinton","NC","28328","SAMPSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"340023","PARK RIDGE HEALTH","100 HOSPITAL DRIVE","Fletcher","NC","28732","HENDERSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"290051","SIERRA SURGERY HOSPITAL","1400 MEDICAL PKWY","Carson City","NV","89703","CARSON CITY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"180048","EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER","217 SOUTH THIRD STREET","Danville","KY","40422","BOYLE","Not Available","Not Available","Not Available","Not Available","0.93548","0 out of 10","3 out of 9","3 out of 10","3"
"180002","WHITESBURG ARH HOSPITAL","240 HOSPITAL ROAD","Whitesburg","KY","41858","LETCHER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390116","MERCY SUBURBAN HOSPITAL","2701 DEKALB PIKE","Norristown","PA","19401","MONTGOMERY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390201","POCONO MEDICAL CENTER","206 EAST BROWN STREET","East Stroudsburg","PA","18301","MONROE","Not Available","Not Available","Not Available","Not Available","0.98507","7 out of 10","0 out of 9","7 out of 10","7"
"150158","IU HEALTH WEST HOSPITAL","1111 N RONALD REAGAN PKWY","Avon","IN","46123","HENDRICKS","Not Available","Not Available","Not Available","Not Available","0.90909","0 out of 10","Not Available","0 out of 10","0"
"450023","CITIZENS MEDICAL CENTER","2701 HOSPITAL DRIVE","Victoria","TX","77901","VICTORIA","Not Available","Not Available","Not Available","Not Available","0.96552","3 out of 10","0 out of 9","3 out of 10","3"
"450674","WOMANS HOSPITAL OF TEXAS,THE","7600 FANNIN","Houston","TX","77054","HARRIS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050704","MISSION COMMUNITY HOSPITAL","14850 ROSCOE BLVD","Panorama City","CA","91402","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"340060","MOREHEAD MEMORIAL HOSPITAL","117 E KINGS HIGHWAY","Eden","NC","27288","ROCKINGHAM","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","Scottsboro","AL","35768","JACKSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"150048","REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","Richmond","IN","47374","WAYNE","Not Available","Not Available","Not Available","Not Available","0.95833","1 out of 10","0 out of 9","1 out of 10","1"
"450056","SETON MEDICAL CENTER AUSTIN","1201 W 38TH ST","Austin","TX","78705","TRAVIS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"240014","NORTHFIELD HOSPITAL","2000 NORTH AVENUE","Northfield","MN","55057","DAKOTA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050373","LAC+USC MEDICAL CENTER","1200 N STATE ST, ROOM C2K100","Los Angeles","CA","90033","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","0.89362","0 out of 10","1 out of 9","1 out of 10","1"
"100128","TAMPA GENERAL HOSPITAL","1 TAMPA GENERAL CIR","Tampa","FL","33606","HILLSBOROUGH","Not Available","Not Available","Not Available","Not Available","0.93023","0 out of 10","4 out of 9","4 out of 10","4"
"230080","MCLAREN CENTRAL MICHIGAN","1221 SOUTH DRIVE","Mount Pleasant","MI","48858","ISABELLA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"220010","LAWRENCE GENERAL HOSPITAL","ONE GENERAL STREET","Lawrence","MA","01842","ESSEX","Not Available","Not Available","Not Available","Not Available","0.94286","0 out of 10","3 out of 9","3 out of 10","3"
"510050","WHEELING HOSPITAL","1 MEDICAL PARK","Wheeling","WV","26003","OHIO","Not Available","Not Available","Not Available","Not Available","0.98039","6 out of 10","5 out of 9","6 out of 10","6"
"140145","ST JOSEPHS HOSPITAL","9515 HOLY CROSS LN","Breese","IL","62230","CLINTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390217","EXCELA HEALTH FRICK HOSPITAL","508 SOUTH CHURCH STREET","Mount Pleasant","PA","15666","WESTMORELAND","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100142","JACKSON HOSPITAL","4250 HOSPITAL DR","Marianna ","FL","32446","JACKSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
