Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","Tallassee","AL","36078","ELMORE","0.858994","Not Available","Not Available","Not Available","0.887278","3 out of 10","3 out of 9","3 out of 10","0.892336","5 out of 10","Not Available","5 out of 10","0.467993","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","Cullman","AL","35058","CULLMAN","0.847627","1 out of 10","3 out of 9","3 out of 10","0.882412","1 out of 10","1 out of 9","1 out of 10","0.897081","7 out of 10","1 out of 9","7 out of 10","0.405235","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","Andalusia","AL","36420","COVINGTON","0.848182","Not Available","Not Available","Not Available","0.877387","0 out of 10","0 out of 9","0 out of 10","0.862282","0 out of 10","1 out of 9","1 out of 10","0.534620","5 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","Anniston","AL","36207","CALHOUN","0.844719","Not Available","Not Available","Not Available","0.887825","4 out of 10","0 out of 9","4 out of 10","0.890428","4 out of 10","5 out of 9","5 out of 10","0.568267","3 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","Huntsville","AL","35801","MADISON","0.857331","6 out of 10","7 out of 9","7 out of 10","0.868575","0 out of 10","3 out of 9","3 out of 10","0.868810","0 out of 10","3 out of 9","3 out of 10","0.554172","4 out of 10","3 out of 9","4 out of 10","0.633","0 out of 10","5 out of 9","5 out of 10"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","Gadsden","AL","35903","ETOWAH","0.863050","10 out of 10","9 out of 9","10 out of 10","0.862110","0 out of 10","0 out of 9","0 out of 10","0.855129","0 out of 10","0 out of 9","0 out of 10","0.615884","1 out of 10","4 out of 9","4 out of 10","0.230","5 out of 10","0 out of 9","5 out of 10"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","Hamilton","AL","35570","MARION","Not Available","Not Available","Not Available","Not Available","0.878159","Not Available","Not Available","Not Available","0.879911","0 out of 10","0 out of 9","0 out of 10","0.485022","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","Fayette","AL","35555","FAYETTE","0.856699","Not Available","Not Available","Not Available","0.872778","Not Available","Not Available","Not Available","0.895555","6 out of 10","7 out of 9","7 out of 10","0.467523","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","Gadsden","AL","35901","ETOWAH","0.846757","Not Available","Not Available","Not Available","0.871549","0 out of 10","0 out of 9","0 out of 10","0.903768","9 out of 10","9 out of 9","9 out of 10","0.301327","10 out of 10","9 out of 9","10 out of 10","1.936","0 out of 10","0 out of 9","0 out of 10"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA AVENUE","Georgiana","AL","36033","BUTLER","0.857298","Not Available","Not Available","Not Available","0.881165","Not Available","Not Available","Not Available","0.893331","5 out of 10","Not Available","5 out of 10","0.497430","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","Enterprise","AL","36330","COFFEE","0.850249","Not Available","Not Available","Not Available","0.878956","0 out of 10","1 out of 9","1 out of 10","0.874924","0 out of 10","2 out of 9","2 out of 10","0.396973","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","Dadeville","AL","36853","TALLAPOOSA","0.853937","Not Available","Not Available","Not Available","0.878275","Not Available","Not Available","Not Available","0.888354","3 out of 10","Not Available","3 out of 10","0.495973","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010054","DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS","1874 BELTLINE RD SW","Decatur","AL","35601","MORGAN","0.859066","Not Available","Not Available","Not Available","0.883762","2 out of 10","0 out of 9","2 out of 10","0.869807","0 out of 10","0 out of 9","0 out of 10","0.442053","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","Dothan","AL","36302","HOUSTON","0.834094","0 out of 10","0 out of 9","0 out of 10","0.864074","0 out of 10","0 out of 9","0 out of 10","0.913868","10 out of 10","9 out of 9","10 out of 10","0.451171","9 out of 10","0 out of 9","9 out of 10","0.590","0 out of 10","0 out of 9","0 out of 10"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","Birmingham","AL","35205","JEFFERSON","0.851330","3 out of 10","4 out of 9","4 out of 10","0.871807","0 out of 10","0 out of 9","0 out of 10","0.903508","9 out of 10","9 out of 9","9 out of 10","0.439382","10 out of 10","9 out of 9","10 out of 10","0.430","1 out of 10","5 out of 9","5 out of 10"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","Moulton","AL","35650","LAWRENCE","0.858447","Not Available","Not Available","Not Available","0.878816","Not Available","Not Available","Not Available","0.887566","3 out of 10","0 out of 9","3 out of 10","0.493652","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","Scottsboro","AL","35768","JACKSON","0.849715","Not Available","Not Available","Not Available","0.881729","1 out of 10","2 out of 9","2 out of 10","0.881353","0 out of 10","4 out of 9","4 out of 10","0.510284","6 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","Geneva","AL","36340","GENEVA","0.850869","Not Available","Not Available","Not Available","0.872955","Not Available","Not Available","Not Available","0.888810","3 out of 10","4 out of 9","4 out of 10","0.471433","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","Alexander City","AL","35010","TALLAPOOSA","0.864800","Not Available","Not Available","Not Available","0.876562","0 out of 10","0 out of 9","0 out of 10","0.886120","2 out of 10","7 out of 9","7 out of 10","0.608250","1 out of 10","5 out of 9","5 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","Eufaula","AL","36027","BARBOUR","0.858378","Not Available","Not Available","Not Available","0.884983","2 out of 10","Not Available","2 out of 10","0.881741","0 out of 10","3 out of 9","3 out of 10","0.472288","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","Ashland","AL","36251","CLAY","0.852722","Not Available","Not Available","Not Available","0.874683","Not Available","Not Available","Not Available","0.895620","6 out of 10","8 out of 9","8 out of 10","0.490791","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","Anniston","AL","36207","CALHOUN","0.840583","0 out of 10","0 out of 9","0 out of 10","0.871775","0 out of 10","0 out of 9","0 out of 10","0.903294","9 out of 10","9 out of 9","9 out of 10","0.931545","0 out of 10","0 out of 9","0 out of 10","0.931","0 out of 10","4 out of 9","4 out of 10"
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","Athens","AL","35611","LIMESTONE","0.857710","Not Available","Not Available","Not Available","0.868800","0 out of 10","0 out of 9","0 out of 10","0.876481","0 out of 10","0 out of 9","0 out of 10","0.520044","6 out of 10","5 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","Foley","AL","36535","BALDWIN","0.853664","4 out of 10","Not Available","4 out of 10","0.888423","4 out of 10","6 out of 9","6 out of 10","0.862578","0 out of 10","0 out of 9","0 out of 10","0.575537","3 out of 10","2 out of 9","3 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","Decatur","AL","35601","MORGAN","0.858689","Not Available","Not Available","Not Available","0.885229","2 out of 10","6 out of 9","6 out of 10","0.870056","0 out of 10","1 out of 9","1 out of 10","0.464949","9 out of 10","8 out of 9","9 out of 10","0.591","0 out of 10","7 out of 9","7 out of 10"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","Winfield","AL","35594","MARION","0.855932","Not Available","Not Available","Not Available","0.884863","Not Available","Not Available","Not Available","0.894882","6 out of 10","7 out of 9","7 out of 10","0.508129","6 out of 10","2 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","Mobile","AL","36617","MOBILE","0.856240","Not Available","Not Available","Not Available","0.881263","Not Available","Not Available","Not Available","0.877529","Not Available","Not Available","Not Available","0.681625","0 out of 10","0 out of 9","0 out of 10","0.557","0 out of 10","0 out of 9","0 out of 10"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","Jasper","AL","35502","WALKER","0.868917","Not Available","Not Available","Not Available","0.883798","2 out of 10","0 out of 9","2 out of 10","0.885868","2 out of 10","0 out of 9","2 out of 10","0.729033","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","Mobile","AL","36608","MOBILE","0.840554","0 out of 10","1 out of 9","1 out of 10","0.869154","0 out of 10","0 out of 9","0 out of 10","0.901374","8 out of 10","0 out of 9","8 out of 10","0.684441","0 out of 10","0 out of 9","0 out of 10","0.192","6 out of 10","2 out of 9","6 out of 10"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","Grove Hill","AL","36451","CLARKE","0.855464","Not Available","Not Available","Not Available","0.873739","0 out of 10","Not Available","0 out of 10","0.863904","Not Available","Not Available","Not Available","0.494753","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","Tuscaloosa","AL","35401","TUSCALOOSA","0.878493","10 out of 10","9 out of 9","10 out of 10","0.875393","0 out of 10","1 out of 9","1 out of 10","0.882255","0 out of 10","1 out of 9","1 out of 10","0.506921","6 out of 10","5 out of 9","6 out of 10","0.557","0 out of 10","3 out of 9","3 out of 10"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","Wetumpka","AL","36092","ELMORE","Not Available","Not Available","Not Available","Not Available","0.881865","Not Available","Not Available","Not Available","0.882011","Not Available","Not Available","Not Available","0.498322","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","Brewton","AL","36426","ESCAMBIA","0.849055","Not Available","Not Available","Not Available","0.879061","Not Available","Not Available","Not Available","0.877647","0 out of 10","0 out of 9","0 out of 10","0.448272","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","Fairhope","AL","36532","BALDWIN","0.846323","0 out of 10","2 out of 9","2 out of 10","0.864621","0 out of 10","0 out of 9","0 out of 10","0.885926","2 out of 10","4 out of 9","4 out of 10","0.850076","0 out of 10","0 out of 9","0 out of 10","0.234","5 out of 10","2 out of 9","5 out of 10"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","Talladega","AL","35160","TALLADEGA","0.858555","Not Available","Not Available","Not Available","0.878583","0 out of 10","3 out of 9","3 out of 10","0.868086","0 out of 10","Not Available","0 out of 10","0.585265","2 out of 10","0 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","Birmingham","AL","35211","JEFFERSON","0.821735","0 out of 10","0 out of 9","0 out of 10","0.864208","0 out of 10","0 out of 9","0 out of 10","0.890862","4 out of 10","5 out of 9","5 out of 10","0.766237","0 out of 10","0 out of 9","0 out of 10","0.186","6 out of 10","7 out of 9","7 out of 10"
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","Birmingham","AL","35213","JEFFERSON","0.860070","8 out of 10","9 out of 9","9 out of 10","0.874476","0 out of 10","3 out of 9","3 out of 10","0.830151","0 out of 10","0 out of 9","0 out of 10","0.872043","0 out of 10","0 out of 9","0 out of 10","0.345","2 out of 10","0 out of 9","2 out of 10"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","Prattville","AL","36067","AUTAUGA","0.858367","Not Available","Not Available","Not Available","0.881218","0 out of 10","3 out of 9","3 out of 10","0.853559","0 out of 10","0 out of 9","0 out of 10","0.501676","7 out of 10","6 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON DRIVE","Carrollton","AL","35447","PICKENS","0.857174","Not Available","Not Available","Not Available","0.883265","Not Available","Not Available","Not Available","0.868855","0 out of 10","0 out of 9","0 out of 10","0.481252","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","105 HIGHWAY 80 EAST","Demopolis","AL","36732","MARENGO","Not Available","Not Available","Not Available","Not Available","0.879957","Not Available","Not Available","Not Available","0.878869","0 out of 10","0 out of 9","0 out of 10","0.468828","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","Mobile","AL","36607","MOBILE","0.850439","2 out of 10","4 out of 9","4 out of 10","0.883697","2 out of 10","0 out of 9","2 out of 10","0.890099","4 out of 10","6 out of 9","6 out of 10","0.613515","1 out of 10","1 out of 9","1 out of 10","0.196","5 out of 10","0 out of 9","5 out of 10"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","Bessemer","AL","35022","JEFFERSON","0.858191","7 out of 10","4 out of 9","7 out of 10","0.887241","3 out of 10","1 out of 9","3 out of 10","0.886586","2 out of 10","3 out of 9","3 out of 10","0.655365","0 out of 10","6 out of 9","6 out of 10","0.240","5 out of 10","0 out of 9","5 out of 10"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","Selma","AL","36701","DALLAS","0.850613","2 out of 10","0 out of 9","2 out of 10","0.887230","3 out of 10","0 out of 9","3 out of 10","0.892120","4 out of 10","3 out of 9","4 out of 10","0.456298","9 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","Monroeville","AL","36460","MONROE","0.854493","Not Available","Not Available","Not Available","0.886621","Not Available","Not Available","Not Available","0.865607","0 out of 10","1 out of 9","1 out of 10","0.557979","4 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","Haleyville","AL","35565","WINSTON","0.854209","Not Available","Not Available","Not Available","0.873812","Not Available","Not Available","Not Available","0.894357","5 out of 10","5 out of 9","5 out of 10","0.479008","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","Troy","AL","36081","PIKE","0.853063","Not Available","Not Available","Not Available","0.866126","Not Available","Not Available","Not Available","0.892917","5 out of 10","5 out of 9","5 out of 10","0.439622","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","Bay Minette","AL","36507","BALDWIN","0.851930","Not Available","Not Available","Not Available","0.874387","Not Available","Not Available","Not Available","0.884231","Not Available","Not Available","Not Available","0.607067","1 out of 10","4 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","Pell City","AL","35125","SAINT CLAIR","0.857951","Not Available","Not Available","Not Available","0.869853","0 out of 10","Not Available","0 out of 10","0.879958","0 out of 10","0 out of 9","0 out of 10","0.484651","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","Huntsville","AL","35801","MADISON","0.851644","3 out of 10","4 out of 9","4 out of 10","0.892238","6 out of 10","6 out of 9","6 out of 10","0.869931","0 out of 10","0 out of 9","0 out of 10","0.507160","6 out of 10","8 out of 9","8 out of 10","1.923","0 out of 10","1 out of 9","1 out of 10"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","Birmingham","AL","35209","JEFFERSON","0.852575","4 out of 10","3 out of 9","4 out of 10","0.893311","6 out of 10","6 out of 9","6 out of 10","0.870934","0 out of 10","1 out of 9","1 out of 10","0.458840","9 out of 10","9 out of 9","9 out of 10","0.869","0 out of 10","0 out of 9","0 out of 10"
"010144","SPRINGHILL MEMORIAL HOSPITAL","3719 DAUPHIN STREET","Mobile","AL","36608","MOBILE","0.842959","0 out of 10","0 out of 9","0 out of 10","0.885938","3 out of 10","0 out of 9","3 out of 10","0.890596","4 out of 10","7 out of 9","7 out of 10","0.602550","1 out of 10","5 out of 9","5 out of 10","0.244","4 out of 10","0 out of 9","4 out of 10"
"010146","RMC JACKSONVILLE","1701 SOUTH PELHAM ROAD","Jacksonville","AL","36265","CALHOUN","0.853160","Not Available","Not Available","Not Available","0.881482","Not Available","Not Available","Not Available","0.837466","0 out of 10","0 out of 9","0 out of 10","0.488133","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","Evergreen","AL","36401","CONECUH","0.856906","Not Available","Not Available","Not Available","0.887117","3 out of 10","0 out of 9","3 out of 10","0.873694","Not Available","Not Available","Not Available","0.487741","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","Montgomery","AL","36117","MONTGOMERY","0.852802","Not Available","Not Available","Not Available","0.892378","6 out of 10","0 out of 9","6 out of 10","0.900115","8 out of 10","7 out of 9","8 out of 10","0.382318","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","Greenville","AL","36037","BUTLER","0.853279","Not Available","Not Available","Not Available","0.884188","Not Available","Not Available","Not Available","0.886669","Not Available","Not Available","Not Available","0.464968","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","Muscle Shoals","AL","35661","COLBERT","Not Available","Not Available","Not Available","Not Available","0.880294","Not Available","Not Available","Not Available","0.871669","0 out of 10","0 out of 9","0 out of 10","0.538219","5 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","Russellville","AL","35653","FRANKLIN","0.849458","Not Available","Not Available","Not Available","0.890222","5 out of 10","6 out of 9","6 out of 10","0.889164","3 out of 10","5 out of 9","5 out of 10","0.577518","3 out of 10","1 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","Sylacauga","AL","35150","TALLADEGA","0.852794","Not Available","Not Available","Not Available","0.884023","2 out of 10","5 out of 9","5 out of 10","0.871276","0 out of 10","1 out of 9","1 out of 10","0.620194","0 out of 10","1 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available"
