time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-07-02T02:18:27.000Z,60.9657,-147.4064,23.8,3.7,ml,,,,0.55,ak,ak11639524,2015-07-02T03:01:09.571Z,"60km WSW of Valdez, alaska",earthquake
2015-07-02T01:56:11.220Z,27.749,85.2992,10,4.2,mb,,120,0.039,0.96,us,us10002mxq,2015-07-02T09:42:31.008Z,"5km NNW of Kathmandu, Nepal",earthquake
2015-07-02T01:35:49.100Z,19.6,-67.8811,44,3.4,Md,7,327.6,1.34118472,0.18,pr,pr15183000,2015-07-02T09:38:31.557Z,"125km NNE of Punta Cana, Dominican Republic",earthquake
2015-07-01T23:20:13.000Z,56.1872,-153.5558,12,4.3,ml,,,,0.71,ak,ak11639423,2015-07-02T21:15:08.040Z,"118km S of Larsen Bay, alaska",earthquake
2015-07-01T21:59:53.860Z,36.0803,-97.4545,2.23,3,mb_lg,,65,0.283,0.29,us,us10002mx3,2015-07-02T02:21:52.713Z,"18km NE of Crescent, Oklahoma",earthquake
2015-07-01T19:35:21.050Z,-10.9949,162.5624,8.95,5.8,mwb,,40,3.002,1.04,us,us10002mw0,2015-07-02T13:57:30.000Z,"92km SE of Kirakira, Solomon Islands",earthquake
2015-07-01T18:32:52.880Z,44.1173,-66.2896,5,3.4,mb_lg,,168,1.024,0.63,us,us10002mvh,2015-07-03T01:58:21.111Z,"34km NNW of Yarmouth, Canada",earthquake
2015-07-01T18:24:42.070Z,-60.387,-35.3197,13.89,5.3,mb,,63,6.152,1.16,us,us10002mvf,2015-07-02T02:27:20.935Z,"Scotia Sea",earthquake
2015-07-01T17:15:47.890Z,36.1132,-97.1127,5.45,3.5,mb_lg,,87,0.273,0.31,us,us10002mv7,2015-07-02T18:11:47.352Z,"4km W of Stillwater, Oklahoma",earthquake
2015-07-01T15:05:20.060Z,-26.1956,-11.5677,10,4.9,mb,,62,27.739,0.83,us,us10002mtk,2015-07-01T23:08:04.740Z,"Southern Mid-Atlantic Ridge",earthquake
2015-07-01T14:44:45.800Z,19.5575,-64.3766,78,3.1,Md,5,313.2,1.06001204,0.07,pr,pr15182005,2015-07-01T22:47:25.364Z,"128km N of Road Town, British Virgin Islands",earthquake
2015-07-01T14:30:21.690Z,-52.2123,159.6073,10,5.7,mb,,53,2.323,0.99,us,usd0005u42,2015-07-02T13:57:28.000Z,"256km N of Macquarie Island, Australia",earthquake
2015-07-01T12:15:29.000Z,60.2437,-153.2407,137.5,3.1,ml,,,,0.7,ak,ak11639060,2015-07-01T20:18:03.604Z,"38km SW of Redoubt Volcano, Alska",earthquake
2015-07-01T07:48:30.000Z,63.0999,-150.8821,135.5,3,ml,,,,0.45,ak,ak11638978,2015-07-01T20:00:48.852Z,"95km NNW of Talkeetna, alaska",earthquake
2015-07-01T06:54:59.070Z,-13.0201,169.2641,640.98,4.5,mb,,59,7.953,0.82,us,us10002mra,2015-07-01T14:57:35.354Z,"208km ENE of Sola, Vanuatu",earthquake
2015-07-01T05:55:25.020Z,6.8452,-73.0401,137.87,4.6,mb,,59,0.946,1.06,us,us10002mr1,2015-07-01T06:29:54.605Z,"15km S of Piedecuesta, Colombia",earthquake
2015-07-01T04:03:37.000Z,58.0945,-153.7615,60.8,3.6,ml,,,,0.89,ak,ak11638923,2015-07-01T19:44:53.160Z,"63km NNE of Larsen Bay, Alaka",earthquake
2015-07-01T03:16:50.580Z,44.0031,148.7023,47.4,4.5,mb,,168,4.404,1.4,us,us10002mqg,2015-07-01T11:19:28.696Z,"151km SSE of Kuril'sk, Russia",earthquake
2015-07-01T02:41:31.050Z,21.6417,143.0623,299.63,4.4,mb,,64,5.488,0.71,us,us10002mq0,2015-07-01T10:44:08.715Z,"226km WNW of Farallon de Pajaros, Northern Mariana Islands",earthquake
2015-07-01T02:25:42.730Z,63.8806,-23.0399,10,4.5,mb,,68,1.146,0.95,us,us10002mpu,2015-07-01T02:52:42.717Z,"23km SW of Sandgerdi, Iceland",earthquake
2015-07-01T02:23:58.800Z,63.9922,-23.2531,10,4.4,mb,,143,1.13,0.96,us,us10002mq6,2015-07-01T10:26:40.520Z,"27km W of Sandgerdi, Iceland",earthquake
2015-07-01T00:44:50.290Z,-23.9383,-66.8112,206.06,4,mb,,54,2.338,0.99,us,us10002mpq,2015-07-01T08:47:26.096Z,"58km WNW of San Antonio de los Cobres, Argentina",earthquake
2015-07-01T00:07:23.000Z,63.0805,-150.97,129,3.3,ml,,,,0.59,ak,ak11638868,2015-07-01T08:10:01.178Z,"95km NNW of Talkeetna, Alaa",earthquake
2015-06-30T22:14:34.510Z,-21.2153,169.8895,35,4.8,mb,,113,2.513,0.8,us,us10002mnw,2015-07-01T06:17:03.128Z,"195km SSE of Isangel, Vanuatu",earthquake
2015-06-30T21:47:44.320Z,32.354,-115.208,26.059,3.24,ml,20,178,0.1049,0.29,ci,ci37194935,2015-07-01T14:59:49.993Z,"1km W of Delta, B.C., MX",earthquake
2015-06-30T15:42:54.680Z,42.1474,-85.0482,5,3.3,mb_lg,,33,0.501,0.34,us,us10002mly,2015-07-03T03:36:27.180Z,"11km NE of Union City, Michigan",earthquake
2015-06-30T12:19:16.430Z,-32.3474,-177.8171,10,5.2,mb,,57,3.094,0.8,us,us10002mjx,2015-06-30T20:21:54.124Z,"144km SE of L'Esperance Rock, New Zealand",earthquake
2015-06-30T11:57:37.070Z,-6.2801,154.466,35,4.8,mb,,64,3.092,0.69,us,us10002mjt,2015-06-30T20:00:13.138Z,"112km W of Panguna, Papua New Guinea",earthquake
2015-06-30T11:38:18.000Z,51.7586,177.1263,52.5,3.3,ml,,,,0.61,ak,ak11638447,2015-06-30T19:40:58.046Z,"50km SW of Kiska Volcano, Alaska",earthquake
2015-06-30T11:20:07.860Z,35.6119,-97.3893,5.45,3,mb_lg,,30,0.041,0.49,us,us10002mjl,2015-07-01T00:05:26.272Z,"9km ESE of Edmond, Oklahoma",earthquake
2015-06-30T11:05:03.000Z,-9.7111,165.7258,10,4.8,mb,,239,5.705,0.69,us,us10002mjf,2015-06-30T19:07:43.173Z,"111km N of Lata, Solomon Islands",earthquake
2015-06-30T10:46:55.770Z,-21.5384,-174.2926,10,5.3,mb,,86,8.347,1.44,us,us10002mje,2015-06-30T18:49:36.813Z,"71km ESE of `Ohonua, Tonga",earthquake
2015-06-30T10:34:11.290Z,51.9553,177.1431,66.01,5.2,mb,,118,1.462,0.9,us,us10002mj9,2015-06-30T18:36:40.404Z,"35km WSW of Kiska Volcano, Alaska",earthquake
2015-06-30T09:17:30.600Z,18.736,-65.1985,67,3,Md,13,205.2,0.43298797,0.18,pr,pr15181001,2015-06-30T17:20:08.133Z,"49km NNE of Culebra, Puerto Rico",earthquake
2015-06-30T08:47:31.160Z,26.0886,142.6169,35.47,4.8,mb,,127,1.075,0.69,us,us10002miw,2015-06-30T16:50:01.803Z,"117km SSE of Chichi-shima, Japan",earthquake
2015-06-30T08:43:15.580Z,30.8233,142.0328,28.6,4.6,mb,,106,5.608,0.68,us,us10002mit,2015-06-30T16:45:55.349Z,"Izu Islands, Japan region",earthquake
2015-06-30T07:40:04.390Z,71.1009,-7.6984,10,5,mb,,46,4.746,0.98,us,us10002mig,2015-06-30T15:42:32.807Z,"42km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake
2015-06-30T07:05:00.060Z,27.1116,141.3482,98.86,4.6,mb,,98,0.745,0.51,us,us10002mif,2015-06-30T15:07:32.965Z,"86km W of Chichi-shima, Japan",earthquake
2015-06-30T06:44:07.440Z,32.9691,-88.0469,5,3.8,mb_lg,,63,0.229,0.43,us,us10002mia,2015-06-30T21:59:27.780Z,"20km NW of Eutaw, Alabama",earthquake
2015-06-30T06:07:22.970Z,36.795,21.5548,10,4.6,mb,,104,0.484,1.49,us,us10002mi3,2015-06-30T14:10:05.770Z,"13km WSW of Methoni, Greece",earthquake
2015-06-30T03:39:28.950Z,-5.4522,151.6015,35,6,mwb,,22,1.372,1.35,us,us10002mhg,2015-07-02T20:29:05.000Z,"142km SSW of Kokopo, Papua New Guinea",earthquake
2015-06-30T00:44:35.220Z,-35.4084,-179.427,35,4.6,mb,,252,2.82,1.11,us,us10002mgs,2015-06-30T08:47:11.138Z,"East of the North Island of New Zealand",earthquake
2015-06-29T22:51:19.000Z,19.642,-66.1166,66,3.4,Md,13,284.4,1.2226071,0.3,pr,pr15180008,2015-06-30T06:54:00.952Z,"130km N of San Juan, Puerto Rico",earthquake
2015-06-29T22:47:54.610Z,2.4102,91.9951,15.68,4.3,mb,,193,5.678,0.85,us,us10002mg4,2015-06-30T06:50:38.116Z,"Off the west coast of northern Sumatra",earthquake
2015-06-29T22:20:55.110Z,45.9885,27.1955,12.12,4.2,mb,,52,1.007,0.68,us,us10002mfv,2015-06-30T02:45:44.249Z,"1km SSW of Pufesti, Romania",earthquake
2015-06-29T22:07:48.050Z,36.6932,71.2837,189.53,5.5,mb,,44,0.712,0.96,us,us10002mft,2015-06-30T13:56:20.000Z,"22km W of Ashkasham, Afghanistan",earthquake
2015-06-29T21:46:25.030Z,27.5452,85.7453,15.04,4.3,mb,,141,0.416,0.67,us,us10002mfm,2015-06-30T05:49:10.892Z,"23km E of Panaoti, Nepal",earthquake
2015-06-29T20:55:04.390Z,39.9248,33.1348,2,3.3,ml,,,,0.52,us,us10002mfj,2015-06-29T21:31:43.152Z,"8km W of Elmadag, Turkey",earthquake
2015-06-29T19:22:15.000Z,53.788,-148.7545,25,3.5,ml,,,,0.69,ak,ak11637959,2015-06-30T03:24:50.259Z,"South of Alaska",earthquake
2015-06-29T17:42:43.590Z,27.8834,85.7279,10,4,mb,,112,0.403,1.04,us,us10002mfa,2015-06-29T21:17:21.142Z,"23km WSW of Kodari, Nepal",earthquake
2015-06-29T17:05:16.200Z,18.7794,-64.6632,40,3.2,Md,13,237.6,0.36381769,0.23,pr,pr15180007,2015-06-30T01:08:08.107Z,"40km N of Road Town, British Virgin Islands",earthquake
2015-06-29T15:58:39.000Z,52.0391,175.2847,61.2,3.6,ml,,,,0.6,ak,ak11637876,2015-06-30T00:01:22.049Z,"56km SW of Buldir Island, Alaska",earthquake
2015-06-29T14:14:07.930Z,0.3154,123.924,218.59,4.4,mb,,147,1.773,0.93,us,us10002mcg,2015-06-29T22:17:03.796Z,"10km SW of Molibagu, Indonesia",earthquake
2015-06-29T13:55:20.400Z,-17.4755,167.8831,33.91,4.9,mb,,187,3.34,0.94,us,us10002mca,2015-06-29T21:58:03.846Z,"54km WNW of Port-Vila, Vanuatu",earthquake
2015-06-29T13:52:33.620Z,53.5736,163.2931,35.89,4.4,mb,,140,2.84,0.85,us,us10002mcd,2015-06-29T21:55:09.502Z,"251km SW of Nikol'skoye, Russia",earthquake
2015-06-29T13:23:01.520Z,32.56,-90.0704,5,3.2,mb_lg,,51,0.509,0.45,us,us10002mc3,2015-07-01T12:27:39.420Z,"6km SSW of Canotn, Mississippi",earthquake
2015-06-29T10:13:01.000Z,57.4929,-154.1531,56.7,4.5,ml,,,,0.91,ak,ak11637738,2015-06-29T14:08:47.238Z,"11km WSW of Larsen Bay, Alaska",earthquake
2015-06-29T09:09:15.610Z,-16.0151,-74.2109,23.72,5.5,mb,,92,4.377,1.06,us,us10002mb3,2015-07-01T20:59:24.000Z,"77km SSE of Acari, Peru",earthquake
2015-06-29T09:01:15.100Z,19.127,-64.7125,38,3,Md,10,262.8,0.69709266,0.18,pr,pr15180003,2015-06-29T17:05:08.647Z,"79km N of Road Town, British Virgin Islands",earthquake
2015-06-29T08:47:48.300Z,19.135,-64.6785,41,3.2,Md,13,266.4,0.69170277,0.14,pr,pr15180002,2015-06-29T16:50:25.680Z,"79km N of Road Town, British Virgin Islands",earthquake
2015-06-29T06:30:38.560Z,4.6579,127.4573,123.33,4.5,mb,,161,3.038,0.69,us,us10002mae,2015-06-29T14:33:05.938Z,"235km ESE of Sarangani, Philippines",earthquake
2015-06-29T06:08:42.550Z,36.733,-117.2486667,2.714,3.26,ml,25,53,0.2193,0.18,ci,ci37193303,2015-06-30T21:28:52.926Z,"17km NNW of Stovepipe Wells, Calfiornia",earthquake
2015-06-29T04:46:39.850Z,-24.3063,-67.1255,166.31,4.1,mb,,39,2.351,1.23,us,us10002ma3,2015-06-29T12:49:17.506Z,"82km W of San Antonio de los Cobres, Argentina",earthquake
2015-06-29T04:15:14.880Z,19.9455,-70.3697,10,4.2,mb,,77,0.616,1.28,us,us10002ma0,2015-06-29T12:17:54.916Z,"22km N of Cabarete, Dominican Republic",earthquake
2015-06-29T04:12:38.360Z,36.8997,-97.8208,4.17,3.2,mb_lg,,23,0.151,0.63,us,us10002m9z,2015-06-29T08:22:54.642Z,"12km NW of Medford, Oklahoma",earthquake
2015-06-29T02:15:23.700Z,19.7031,-67.3295,60,3.1,Md,8,291.6,1.24506498,0.25,pr,pr15180000,2015-06-29T10:17:51.830Z,"136km NNW of Isabela, Puerto Rico",earthquake
2015-06-29T01:51:50.480Z,-19.5796,-177.583,546.1,4.5,mb,,93,4.521,1.05,us,us10002m9g,2015-06-29T09:54:21.399Z,"166km NE of Ndoi Island, Fiji",earthquake
2015-06-28T23:57:15.530Z,28.0316,86.056,10,4.7,mb,,94,0.728,1.26,us,us10002m90,2015-06-29T23:19:53.207Z,"8km NE of Zham, China",earthquake
2015-06-28T22:38:25.400Z,36.3203,-96.8228,3.41,3.1,ml,,93,,0.51,us,us10002mei,2015-06-29T22:01:08.728Z,"2km SW of Pawnee, Oklahoma",earthquake
2015-06-28T15:54:42.410Z,16.7122,-94.5585,91.65,5.4,mwb,,65,2.362,0.74,us,us10002m7u,2015-06-29T18:28:12.419Z,"17km NNE of Niltepec, Mexico",earthquake
2015-06-28T15:36:50.700Z,36.0789,-97.5853,5.642,3.1,ml,,84,,0.28,us,us10002mej,2015-07-01T17:45:23.427Z,"14km N of Crescent, Oklahoma",earthquake
2015-06-28T15:21:51.110Z,39.2593,72.3655,10,4.4,mb,,78,0.489,1.02,us,us10002m7q,2015-06-28T23:25:15.493Z,"72km E of Karakenja, Tajikistan",earthquake
2015-06-28T15:21:12.570Z,82.6319,118.9978,10,4.4,mb,,111,15.081,0.66,us,us10002m7r,2015-06-28T23:23:40.742Z,"North of Severnaya Zemlya",earthquake
2015-06-28T14:44:19.200Z,-18.158,-178.4198,623.29,4.4,mb,,86,3.382,0.91,us,us10002m7j,2015-06-28T22:47:01.936Z,"277km N of Ndoi Island, Fiji",earthquake
2015-06-28T14:37:15.290Z,36.293,-97.5156,5,3.4,mb_lg,,85,0.432,0.28,us,us10002m7g,2015-06-29T03:55:38.092Z,"20km W of Perry, Oklahoma",earthquake
2015-06-28T14:03:04.390Z,42.7406,139.0395,218.8,4.1,mb,,45,1.774,0.7,us,us10002m7e,2015-06-28T22:05:48.650Z,"122km WSW of Iwanai, Japan",earthquake
2015-06-28T12:53:49.940Z,-32.2164,-178.0186,10,5.2,mb,,74,2.962,1.31,us,us10002m7a,2015-06-28T20:56:23.455Z,"120km SE of L'Esperance Rock, New Zealand",earthquake
2015-06-28T12:36:30.000Z,60.6421,-151.9833,79.1,3.4,ml,,,,0.84,ak,ak11636373,2015-06-28T21:01:38.401Z,"38km W of Nikiski, Alaska",earthquake
2015-06-28T11:37:41.140Z,-8.391,116.0147,10,4.3,mb,,134,1.844,0.6,us,us10002m94,2015-06-30T11:43:34.723Z,"9km W of Karangsubagan, Indonesia",earthquake
2015-06-28T09:15:03.350Z,47.391,-70.0837,9.52,3.3,mb_lg,,180,0.769,0.33,us,us10002m6v,2015-06-28T21:33:25.741Z,"5km NNW of La Pocatiere, Candaa",earthquake
2015-06-28T08:54:47.480Z,19.3125,-155.2041667,8.88,3.2,ml,52,102,0.03663,0.09,hv,hv60968306,2015-06-28T21:54:09.601Z,"13km SSE of Volcano, Hawaii",earthquake
2015-06-28T08:10:10.480Z,19.335,-155.2093333,8.55,5.2,ml,63,74,0.03902,0.09,hv,hv60968241,2015-07-02T08:59:52.588Z,"13km S of Volcano, Hawaii",earthquake
2015-06-28T02:09:18.000Z,63.3236,-150.5339,139.1,3.1,ml,,,,0.37,ak,ak11635963,2015-06-28T10:11:44.685Z,"79km W of Cantwell, Alaska",earthquake
2015-06-28T01:35:19.850Z,36.6565,-98.1488,5,3.6,mb_lg,,91,0.155,0.75,us,us10002m68,2015-06-28T18:25:04.040Z,"16km NE of Helena, Oklahoma",earthquake
2015-06-28T01:05:28.640Z,26.6165,90.4387,26,5.5,mb,,36,1.648,1.05,us,us10002m67,2015-07-02T13:07:28.835Z,"17km NNE of Basugaon, India",earthquake
2015-06-28T00:18:00.310Z,35.7717,-97.3875,4.14,3.1,mb_lg,,37,0.06,0.66,us,us10002m5w,2015-06-28T00:43:38.055Z,"12km SSE of Guthrie, Oklahoma",earthquake
2015-06-27T23:48:43.640Z,-17.9193,65.3481,10,4.9,mb,,73,12.53,0.65,us,us10002m5u,2015-06-28T07:51:11.630Z,"282km NE of Port Mathurin, Mauritius",earthquake
2015-06-27T23:29:33.210Z,-31.2667,-177.6172,10,4.7,mb,,186,2.033,1.08,us,us10002m5n,2015-06-28T07:32:13.747Z,"123km E of L'Esperance Rock, New Zealand",earthquake
2015-06-27T22:49:07.010Z,36.5785,-97.5627,1.3,3.1,mb_lg,,40,0.333,0.49,us,us10002m5e,2015-06-28T06:51:36.355Z,"25km WSW of Tonkawa, Oklahoma",earthquake
2015-06-27T22:42:12.710Z,-5.9831,147.1779,56.45,4.5,mb,,79,3.918,0.75,us,us10002m5c,2015-06-28T01:21:02.736Z,"84km NNE of Lae, Papua New Guinea",earthquake
2015-06-27T21:53:54.810Z,3.7866,122.41,596.88,4.4,mb,,77,3.115,0.62,us,us10002m54,2015-06-28T05:56:31.652Z,"254km SE of Latung, Philippines",earthquake
2015-06-27T21:30:08.600Z,-5.4286,152.2692,35,4.9,mb,,95,1.233,1.34,us,us10002m4v,2015-06-28T05:32:42.305Z,"119km S of Kokopo, Papua New Guinea",earthquake
2015-06-27T19:03:46.690Z,-23.7705,-177.371,186.36,4.5,mb,,121,7.366,0.79,us,us10002m40,2015-06-28T03:06:27.477Z,"South of the Fiji Islands",earthquake
2015-06-27T18:37:20.210Z,36.5189,71.1522,82.7,4.3,mb,,110,0.761,1.2,us,us10002m3w,2015-06-28T02:39:55.921Z,"38km WSW of Ashkasham, Afghanistan",earthquake
2015-06-27T16:21:16.430Z,-5.2784,153.0494,46.82,5,mb,,140,1.395,0.83,us,us10002m3p,2015-06-28T00:23:59.918Z,"89km S of Taron, Papua New Guinea",earthquake
2015-06-27T15:35:06.450Z,-25.1049,-179.0778,405.03,4.7,mb,,79,4.248,1.01,us,us10002m3g,2015-06-27T23:37:35.913Z,"South of the Fiji Islands",earthquake
2015-06-27T15:34:02.490Z,29.0253,34.6977,11.14,5.2,mb,,82,2.391,0.89,us,us10002m3f,2015-07-01T20:54:17.760Z,"4km SE of Nuwaybi`a, Egypt",earthquake
2015-06-27T15:16:01.300Z,13.8674,-90.29,104.7,4.7,mb,,153,1.044,1.25,us,us10002m37,2015-06-27T23:18:37.675Z,"15km SW of Pasaco, Guatemala",earthquake
2015-06-27T15:00:14.470Z,-5.3134,153.2882,30.21,4.7,mb,,150,1.58,0.77,us,us10002m33,2015-06-27T23:02:52.035Z,"97km SSE of Taron, Papua New Guinea",earthquake
2015-06-27T13:03:03.330Z,36.5218,-97.7238,5,3,mb_lg,,40,0.209,0.45,us,us10002m2t,2015-06-27T18:08:40.991Z,"19km NE of Enid, Oklahoma",earthquake
2015-06-27T12:24:04.160Z,-5.1482,153.315,44.08,5.2,mb,,51,1.49,1.24,us,us10002m2r,2015-06-27T20:26:34.203Z,"81km SSE of Taron, Papua New Guinea",earthquake
2015-06-27T11:52:41.680Z,52.2714,-170.6183,26.02,4.6,mb,,163,1.283,0.85,us,us10002m2p,2015-06-27T19:55:08.940Z,"40km S of Yunaska Island, Alaska",earthquake
2015-06-27T07:28:53.960Z,-48.9908,121.4286,10,5.1,mb,,83,16.354,1.06,us,us10002m1x,2015-06-27T18:56:19.000Z,"Western Indian-Antarctic Ridge",earthquake
2015-06-27T04:05:36.330Z,36.1924,70.5756,121.13,4.1,mb,,88,0.931,0.73,us,us10002m1l,2015-06-27T22:59:36.478Z,"25km NW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake
2015-06-27T03:31:28.570Z,36.7183,-98.187,5,3.6,mb_lg,,87,0.087,0.36,us,us10002m1j,2015-06-27T14:53:07.040Z,"15km ESE of Cherokee, Oklahoma",earthquake
2015-06-27T02:51:23.680Z,-52.3875,-4.6763,10,5.2,mb,,87,19.372,0.67,us,us10002m1h,2015-06-27T10:53:58.185Z,"Southern Mid-Atlantic Ridge",earthquake
2015-06-27T01:41:59.970Z,-52.2532,-4.7116,10,4.8,mb,,87,19.507,0.93,us,us10002m1g,2015-06-27T09:44:35.398Z,"Southern Mid-Atlantic Ridge",earthquake
2015-06-27T01:35:41.930Z,53.5483,-163.7024,11.17,5,mb,,162,1.321,0.92,us,us10002m1f,2015-06-27T09:38:17.347Z,"146km S of False Pass, Alaska",earthquake
2015-06-26T23:33:19.000Z,56.2341,-155.9944,56.2,3.7,ml,,,,0.79,ak,ak11635222,2015-06-30T01:41:08.040Z,"51km NNW of Chirikof Island, Alaska",earthquake
2015-06-26T23:32:35.550Z,-28.3445,-68.902,63.83,4,mwr,,51,1.396,1.44,us,us10002m17,2015-06-28T03:24:30.384Z,"82km NW of Vinchina, Argentina",earthquake
2015-06-26T20:39:23.780Z,28.3191,129.415,41.32,4.6,mb,,133,1.791,1.49,us,us10002m0v,2015-06-27T04:41:56.717Z,"8km SW of Naze, Japan",earthquake
2015-06-26T18:30:09.210Z,44.0276,146.9279,74.6,4.9,mb,,134,3.125,1.25,us,us10002lzp,2015-06-27T02:32:53.832Z,"30km NNE of Shikotan, Russia",earthquake
2015-06-26T17:41:59.240Z,36.4702,69.3009,29.5,4.8,mb,,66,1.214,1.16,us,us10002lzb,2015-06-27T01:44:33.290Z,"28km SE of Khanabad, Afghanistan",earthquake
2015-06-26T16:16:38.730Z,25.0216,123.4383,109.87,4.7,mb,,99,0.674,1.08,us,us10002lwv,2015-06-27T00:19:22.557Z,"75km NE of Yonakuni, Japan",earthquake
2015-06-26T10:49:59.040Z,35.7568,-97.4003,5.96,3.3,mb_lg,,32,0.059,0.4,us,us10002luq,2015-06-26T17:33:29.950Z,"13km NNE of Edmond, Oklahoma",earthquake
2015-06-26T10:38:01.940Z,41.4779,142.1079,54.96,4.5,mwr,,133,0.951,1.1,us,us10002lup,2015-06-26T18:08:23.040Z,"77km ENE of Mutsu, Japan",earthquake
2015-06-26T10:18:36.040Z,36.1134,-97.336,2.81,3,mb_lg,,54,0.33,0.54,us,us10002luk,2015-06-26T18:21:09.871Z,"20km SSW of Perry, Oklahoma",earthquake
2015-06-26T09:26:08.390Z,12.8037,-88.6054,35,4.4,mb,,166,1.068,1.37,us,us10002lua,2015-06-26T17:28:39.691Z,"53km S of Puerto El Triunfo, El Salvador",earthquake
2015-06-26T08:50:10.970Z,0.6318,121.7047,103.68,4.8,mb,,60,1.038,1.02,us,us10002ltz,2015-06-26T16:53:49.717Z,"17km NE of Lemito, Indonesia",earthquake
2015-06-26T07:48:13.470Z,35.7645,-97.3977,5,3,mb_lg,,67,0.056,0.48,us,us10002ltj,2015-06-26T10:08:41.932Z,"12km S of Guthrie, Oklahoma",earthquake
2015-06-26T07:35:14.900Z,18.6944,-64.5999,13,3,Md,7,248.4,0.27578279,0.07,pr,pr15177003,2015-06-26T15:37:55.334Z,"30km N of Road Town, British Virgin Islands",earthquake
2015-06-26T07:17:43.440Z,-32.126,-178.0244,10,4.8,mb,,129,2.872,0.69,us,us10002lte,2015-06-26T15:20:17.807Z,"113km SE of L'Esperance Rock, New Zealand",earthquake
2015-06-26T06:19:23.400Z,35.7594,-97.3892,5.2,3.3,mb_lg,,65,0.065,0.43,us,us10002lse,2015-06-26T09:01:41.364Z,"13km SSE of Guthrie, Oklahoma",earthquake
2015-06-26T06:05:16.600Z,-25.0229,-64.8768,46.59,4,md,,112,4.233,0.68,us,us10002m83,2015-06-28T21:35:02.773Z,"45km NNW of El Galpon, Argentina",earthquake
